"gender","genderID","greek","homeTown","ethnicity","religion","religious","GPA","partyHr","drinks","sexPartners","relationships","firstKissAge","callParents","socialMedia","texts","goodOrWell","expectedIncome","indepVsRespect","curiosityVsManners","selfRelianceVsObedience","considerateVsWellBehaved","primary","UScitizen","president","execttiveOrder","liberal","politicalParty","gradeVsLearning","parentRelationship","workHr","tuition","career","section"
"Female","Female","No","Big City","East Asian","Buddhist",8,3.9,6,0,10,1,26,12,6,9,8,120,"independence","good manners","self-reliance","being considerate","Hillary Clinton","No","Not eligible to vote",0,2,"Democratic",1,9,0,100,3,"L1"
"Male","Male","No","Big City Subrub","White","Atheist",0,3.8,0,0,1,1,16,2,1,3,5,120,"respect for their elders","curiosity","self-reliance","being considerate","Other Party","Yes","Hillary Clinton",0,3,"Democratic",6,5,15,80,7,"L1"
"Female","Female","No","Medium City","South Asian","Hindu",5,2.9,5,6,3,0,16,10,6,3,4,95,"independence","curiosity","self-reliance","being considerate","Bernie Sanders","Yes","Hillary Clinton",1,5,"Democratic",3,7,0,0,7,"L1"
"Female","Female","Yes","Medium City","White","Agnostic",0,3.1,1,3,6,1,18,8,6,4,0,50,"respect for their elders","good manners","self-reliance","being considerate","Hillary Clinton","Yes","Hillary Clinton",0,3,"Democratic",4,10,15,70,8,"L1"
"Female","Female","Yes","Big City Subrub","White","Christian",5,3.8,8,6,1,1,13,4,2,18,5,70,"respect for their elders","good manners","self-reliance","being considerate","Hillary Clinton","Yes","Chose not to vote",2,4,"Libertarian",5,8,0,100,8,"L1"
"Female","Female","No","Big City","East Asian","Buddhist",3,3.6,0,1,2,3,15,2,5,4,8,30,"respect for their elders","good manners","self-reliance","being considerate","Hillary Clinton","No","Chose not to vote",5,5,"Other",3,6,0,100,2,"L1"
"Female","Female","Yes","Big City Subrub","White","Christian",5,3.8,12,8,0,1,15,5,4,7,5,100,"independence","curiosity","self-reliance","being considerate","Other Republican","Yes","Hillary Clinton",0,3,"Libertarian",5,9,0,100,9,"L1"
"Female","Female","No","Big City","White","Christian",8,2.9,6,10,5,2,14,7,2,3,10,10000,"respect for their elders","good manners","obedience","being considerate","Other Republican","Yes","Chose not to vote",5,8,"Republican",5,9,35,0,0,"L1"
"Female","Female","Yes","Big City Subrub","White","Christian",6,3.9,12,15,0,0,17,1,8,20,8,80,"respect for their elders","good manners","self-reliance","well-behaved","Unsure","Yes","Chose not to vote",3,6,"Republican",3,7,0,80,2,"L1"
"Female","Female","Yes","Big City Subrub","White","Christian",2,4,12,12,1,2,14,2,2,5,6,90,"independence","good manners","self-reliance","being considerate","Other Republican","Yes","Donald Trump",8,6,"Republican",2,8,0,100,1,"L1"
"Female","Female","No","Big City","East Asian","Atheist",0,3.8,4,5,1,1,14,0,3,20,8,1000,"respect for their elders","good manners","self-reliance","being considerate","Hillary Clinton","Yes","Not eligible to vote",0,0,"Democratic",5,10,0,100,1,"L1"
"Male","Male","No","Medium City","Other","Agnostic",3,3.3,0,0,2,3,15,0,2,3,3,77,"independence","curiosity","self-reliance","being considerate","Bernie Sanders","Yes","Hillary Clinton",2,4,"Other",7,6,5,50,7,"L1"
"Female","Female","No","Big City Subrub","White","Atheist",0,3.7,5,5,9,2,16,0,2,3,7,88,"independence","curiosity","self-reliance","being considerate","Bernie Sanders","Yes","Hillary Clinton",0,3,"Democratic",4,9,0,90,8,"L1"
"Female","Female","No","Medium City","Black","Christian",9,3.7,0,0,0,1,17,1,1,4,5,50,"respect for their elders","good manners","obedience","being considerate","Unsure","Yes","Hillary Clinton",2,4,"Other",6,8,0,0,3,"L1"
"Female","Female","Yes","Big City Subrub","White","Atheist",0,3.8,6,2,4,3,13,8,4,7,5,100,"independence","good manners","obedience","being considerate","Bernie Sanders","Yes","Hillary Clinton",0,0,"Democratic",2,7,0,50,10,"L1"
"Female","Female","No","Big City","Black","Christian",5,3.4,10,10,1,1,15,1,5,4,8,150,"independence","good manners","self-reliance","well-behaved","Hillary Clinton","Yes","Hillary Clinton",0,5,"Democratic",3,7,0,80,5,"L1"
"Female","Female","No","Big City Subrub","Black","Christian",5,3.7,3,0,0,0,16,3,6,4,5,200,"respect for their elders","good manners","self-reliance","well-behaved","Hillary Clinton","Yes","Hillary Clinton",0,2,"Democratic",1,9,0,100,8,"L1"
"Female","Female","No","Big City Subrub","East Asian","Atheist",0,3.5,10,0,0,0,26,0,10,1,7,99999,"independence","good manners","self-reliance","well-behaved","Donald Trump","No","Not eligible to vote",5,5,"Republican",2,10,0,100,10,"L1"
"Male","Male","Yes","Big City","Hispanic","Christian",5,1,5,0,4,1,16,7,3,7,10,200,"independence","good manners","self-reliance","well-behaved","Unsure","Yes","Chose not to vote",3,5,"Democratic",5,10,0,50,5,"L1"
"Male","Male","No","Big City","East Asian","Buddhist",5,1.4,0,0,0,0,26,5,6,6,5,110,"respect for their elders","good manners","self-reliance","being considerate","Bernie Sanders","Yes","Chose not to vote",0,5,"Democratic",6,8,0,100,4,"L1"
"Female","Female","No","Big City Subrub","Black","Christian",6,3.4,4,1,1,1,15,15,2,5,5,300,"independence","good manners","self-reliance","being considerate","Hillary Clinton","Yes","Hillary Clinton",0,3,"Democratic",2,10,0,100,9,"L1"
"Female","Female","No","Small Town","Other","Christian",5,2.7,6,16,3,1,17,3,2,2,10,800,"respect for their elders","curiosity","self-reliance","being considerate","Donald Trump","Yes","Donald Trump",4,6,"Republican",5,10,0,100,10,"L1"
"Female","Female","No","Big City Subrub","Black","Christian",6,3.3,5,2,10,3,15,4,3,5,5,300,"respect for their elders","curiosity","obedience","being considerate","Hillary Clinton","Yes","Hillary Clinton",0,3,"Democratic",5,6,0,100,6,"L1"
"Female","Female","Yes","Big City","White","Christian",5,3.7,25,15,10,0,13,2,2,6,6,50,"respect for their elders","good manners","obedience","being considerate","Hillary Clinton","Yes","Hillary Clinton",3,4,"Democratic",3,8,0,100,6,"L1"
"Male","Male","Yes","Big City Subrub","White","Jewish",5,2.5,5,8,5,2,14,10,2,10,9,999,"respect for their elders","good manners","obedience","well-behaved","Donald Trump","Yes","Chose not to vote",2,7,"Republican",6,9,0,100,3,"L1"
"Female","Female","No","Big City","Hispanic","Christian",5,3.7,2,0,1,1,15,10,6,6,4,60,"respect for their elders","good manners","self-reliance","being considerate","Bernie Sanders","Yes","Hillary Clinton",0,0,"Democratic",7,10,10,40,9,"L1"
"Male","Male","Yes","Small Town","White","Christian",2,3.3,8,18,4,3,13,5,1,5,6,120,"independence","good manners","self-reliance","well-behaved","Other Republican","Yes","Donald Trump",5,6,"Republican",6,9,20,80,6,"L1"
"Male","Male","No","Big City","Black","Christian",7,1.9,4,1,3,1,14,7,2,4,10,200,"respect for their elders","good manners","obedience","well-behaved","Bernie Sanders","Yes","Hillary Clinton",0,0,"Democratic",5,10,0,20,5,"L1"
"Female","Female","No","Big City Subrub","White","Christian",4,2.8,5,10,3,0,18,7,10,8,8,75,"respect for their elders","good manners","self-reliance","well-behaved","Unsure","Yes","Chose not to vote",0,5,"Other",4,10,20,80,6,"L1"
"Female","Female","No","Big City Subrub","South Asian","Christian",6,3.7,10,7,0,1,16,2,2,5,5,100,"respect for their elders","curiosity","self-reliance","being considerate","Hillary Clinton","Yes","Chose not to vote",2,5,"Democratic",4,5,0,100,7,"L1"
"Female","Female","No","Big City","Black","Religious but not one of the above",0,2.1,0,0,0,0,16,15,6,7,8,99999,"independence","curiosity","obedience","well-behaved","Bernie Sanders","Yes","Hillary Clinton",0,3,"Democratic",5,0,0,0,10,"L1"
"Female","Female","No","Big City Subrub","White","Jewish",3,3.8,1,1,0,1,14,5,3,5,1,100,"respect for their elders","curiosity","self-reliance","being considerate","Hillary Clinton","Yes","Hillary Clinton",0,2,"Democratic",5,7,0,100,6,"L1"
"Male","Male","No","Big City Subrub","White","Christian",5,2.5,8,4,0,0,15,1,4,3,7,150,"independence","curiosity","self-reliance","being considerate","Bernie Sanders","Yes","Hillary Clinton",3,0,"Libertarian",4,8,0,10,4,"L1"
"Male","Male","No","Big City","Hispanic","Christian",4,2.3,2,0,2,2,15,2,5,5,4,86,"independence","good manners","obedience","well-behaved","Unsure","Yes","Hillary Clinton",3,7,"Democratic",5,9,10,30,3,"L1"
"Female","Female","No","Big City","Black","Christian",5,3.1,4,0,4,3,15,4,10,5,5,80,"respect for their elders","good manners","obedience","being considerate","Bernie Sanders","Yes","Hillary Clinton",0,3,"Democratic",5,6,25,0,8,"L1"
"Male","Male","No","Big City Subrub","Black","Christian",5,2.6,5,2,3,1,6,2,2,3,7,7000,"respect for their elders","good manners","self-reliance","being considerate","Bernie Sanders","Yes","Hillary Clinton",0,5,"Democratic",7,8,15,10,6,"L1"
"Female","Female","No","Big City","Other","Christian",3,3.6,4,1,1,2,13,4,10,2,5,90,"respect for their elders","good manners","obedience","being considerate","Hillary Clinton","Yes","Hillary Clinton",0,4,"Democratic",5,1,10,0,10,"L1"
"Male","Male","No","Big City Subrub","White","Christian",9,3.6,0,0,0,0,26,1,1,4,2,90,"respect for their elders","good manners","self-reliance","being considerate","Other Republican","Yes","Donald Trump",6,7,"Independent",7,9,0,100,3,"L1"
"Female","Female","No","Big City","Hispanic","Christian",6,3,2,0,1,1,15,3,3,5,8,30,"respect for their elders","good manners","self-reliance","well-behaved","Unsure","Yes","Chose not to vote",0,5,"Democratic",4,9,0,100,5,"L1"
"Female","Female","Yes","Big City","Black","Christian",1,3.7,2,2,2,2,15,0,2,4,3,50,"independence","curiosity","self-reliance","being considerate","Bernie Sanders","Yes","Hillary Clinton",0,2,"Democratic",5,3,0,100,10,"L1"
"Female","Female","No","Big City","White","Christian",8,2.6,4,6,0,0,26,7,4,1,9,80,"respect for their elders","good manners","self-reliance","being considerate","Bernie Sanders","Yes","Hillary Clinton",0,4,"Democratic",5,8,0,0,1,"L1"
"Female","Female","Yes","Big City Subrub","White","Jewish",1,3.5,5,5,0,0,14,2,1,9,5,100,"independence","good manners","self-reliance","being considerate","Unsure","Yes","Chose not to vote",4,5,"Independent",6,7,0,100,0,"L1"
"Female","Female","Yes","Big City Subrub","White","Christian",5,3.5,12,30,1,0,15,2,3,10,3,150,"independence","good manners","self-reliance","being considerate","Other Republican","Yes","Hillary Clinton",5,7,"Republican",2,10,0,100,0,"L1"
"Female","Female","No","Big City Subrub","Other","Christian",7,2.7,6,9,2,1,14,9,4,3,9,300,"respect for their elders","good manners","self-reliance","well-behaved","Bernie Sanders","Yes","Hillary Clinton",0,5,"Democratic",5,8,25,0,5,"L1"
"Male","Male","No","Big City","Other","Christian",8,3.6,3,4,1,2,16,3,0,2,1,40,"independence","curiosity","self-reliance","being considerate","Bernie Sanders","Yes","Hillary Clinton",0,2,"Democratic",6,8,0,100,8,"L1"
"Female","Female","Yes","Big City Subrub","White","Christian",7,3.8,15,10,1,2,15,5,3,5,4,80,"respect for their elders","good manners","self-reliance","being considerate","Other Party","Yes","Gary Johnson",1,6,"Other",5,7,0,80,2,"L1"
"Male","Male","No","Small Town","White","Christian",0,3.3,4,3,0,0,14,3,2,5,7,150,"respect for their elders","good manners","self-reliance","being considerate","Bernie Sanders","Yes","Chose not to vote",0,3,"Democratic",3,9,0,100,8,"L1"
"Female","Female","Yes","Big City Subrub","White","Christian",7,3.9,3,10,1,1,15,7,6,12,5,90,"respect for their elders","good manners","obedience","being considerate","Donald Trump","Yes","Donald Trump",6,6,"Republican",6,8,0,90,7,"L1"
"Male","Male","No","Medium City","South Asian","Atheist",0,3.2,5,5,0,0,16,1,4,5,7,125,"respect for their elders","curiosity","obedience","being considerate","Bernie Sanders","Yes","Hillary Clinton",1,3,"Independent",5,9,0,100,6,"L1"
"Male","Male","No","Big City Subrub","Other","Atheist",0,3.4,5,3,1,1,13,1,1,3,10,120,"independence","good manners","self-reliance","being considerate","Bernie Sanders","Yes","Hillary Clinton",0,0,"Democratic",4,3,0,0,0,"L1"
"Female","Female","No","Big City","Black","Religious but not one of the above",5,3,2,0,1,2,15,3,6,2,8,650,"independence","good manners","self-reliance","being considerate","Bernie Sanders","Yes","Hillary Clinton",0,3,"Democratic",5,8,20,10,10,"L1"
"Female","Female","No","Big City","Hispanic","Agnostic",3,2.3,2,2,2,1,13,2,3,2,3,90,"respect for their elders","curiosity","self-reliance","being considerate","Bernie Sanders","Yes","Hillary Clinton",0,0,"Democratic",5,5,0,30,6,"L1"
"Male","Male","Yes","Big City Subrub","White","Christian",1,3.4,1,1,1,1,18,7,2,9,10,200,"independence","curiosity","self-reliance","being considerate","Bernie Sanders","Yes","Chose not to vote",2,6,"Other",5,10,0,80,2,"L1"
"Male","Male","No","Big City","White","Atheist",0,3.8,7,4,4,0,14,1,1,3,10,100,"independence","curiosity","self-reliance","being considerate","Bernie Sanders","Yes","Hillary Clinton",0,2,"Democratic",3,4,0,100,3,"L1"
"Male","Male","No","Big City Subrub","East Asian","Atheist",1,2.5,1,1,1,0,15,1,3,4,5,500,"respect for their elders","good manners","self-reliance","being considerate","Bernie Sanders","Yes","Chose not to vote",0,4,"Independent",5,5,30,0,4,"L1"
"Female","Female","No","Big City Subrub","Hispanic","Religious but not one of the above",8,3.3,7,1,0,0,18,3,10,5,5,70,"respect for their elders","good manners","obedience","well-behaved","Hillary Clinton","Yes","Chose not to vote",0,4,"Democratic",5,9,10,80,5,"L1"
"Female","Female","No","Small Town","Hispanic","Agnostic",0,3.5,0,0,13,5,15,6,2,2,5,250,"respect for their elders","good manners","self-reliance","well-behaved","Other Party","Yes","Chose not to vote",2,0,"Other",5,10,30,0,9,"L1"
"Female","Female","Yes","Big City Subrub","White","Christian",6,3.9,10,10,2,2,13,2,2,4,5,300,"independence","good manners","self-reliance","being considerate","Unsure","Yes","Chose not to vote",2,5,"Democratic",4,5,0,100,1,"L1"
"Female","Female","No","Medium City","South Asian","Christian",10,3.2,2,3,0,1,13,3,3,4,3,150,"respect for their elders","good manners","self-reliance","being considerate","Bernie Sanders","Yes","Chose not to vote",0,5,"Democratic",3,5,5,90,7,"L1"
"Male","Male","Yes","Big City Subrub","South Asian","Hindu",8,3.9,3,6,1,0,26,1,2,5,8,160,"respect for their elders","good manners","obedience","well-behaved","Bernie Sanders","Yes","Hillary Clinton",3,3,"Democratic",4,7,0,100,7,"L1"
"Female","Female","Yes","Medium City","White","Christian",6,3.2,5,0,0,1,15,7,3,6,5,60,"independence","curiosity","self-reliance","being considerate","Bernie Sanders","Yes","Hillary Clinton",1,3,"Democratic",4,8,0,100,3,"L1"
"Female","Female","No","Big City Subrub","South Asian","Hindu",2,3.8,4,4,6,2,14,10,2,5,5,150,"respect for their elders","good manners","self-reliance","being considerate","Bernie Sanders","Yes","Hillary Clinton",2,2,"Democratic",5,8,0,0,9,"L1"
"Male","Male","Yes","Big City Subrub","Other","Religious but not one of the above",0,3.2,30,40,15,3,11,10,2,10,10,500,"respect for their elders","curiosity","self-reliance","being considerate","Unsure","Yes","Chose not to vote",4,10,"Democratic",5,10,0,100,10,"L1"
"Female","Female","No","Big City","Hispanic","Christian",7,3.3,7,10,6,1,16,5,3,4,8,50,"respect for their elders","curiosity","self-reliance","being considerate","Bernie Sanders","Yes","Hillary Clinton",0,1,"Democratic",7,9,0,10,6,"L1"
"Female","Female","No","Medium City","Other","Christian",7,3.4,0,0,0,0,12,0,6,4,7,20,"respect for their elders","curiosity","obedience","being considerate","Hillary Clinton","Yes","Hillary Clinton",0,0,"Democratic",5,9,0,10,0,"L1"
"Female","Female","Yes","Big City Subrub","White","Christian",6,2.8,10,16,0,1,14,3,4,8,10,200,"respect for their elders","good manners","obedience","well-behaved","Donald Trump","Yes","Donald Trump",6,8,"Republican",5,10,0,50,0,"L1"
"Male","Male","No","Big City Subrub","White","Atheist",0,3.5,3,7,2,2,14,3,2,10,8,130,"independence","curiosity","obedience","being considerate","Bernie Sanders","Yes","Hillary Clinton",0,2,"Democratic",8,9,0,100,4,"L1"
"Female","Female","Yes","Medium City","White","Agnostic",2,3.6,14,24,4,3,12,2,3,12,7,100,"independence","curiosity","self-reliance","being considerate","Unsure","Yes","Hillary Clinton",1,3,"Libertarian",5,9,0,10,6,"L1"
"Female","Female","No","Big City","Hispanic","Christian",7,3.6,0,0,2,2,14,1,1,2,5,80,"respect for their elders","good manners","self-reliance","being considerate","Other Republican","Yes","Donald Trump",9,9,"Republican",5,7,0,90,8,"L1"
"Female","Female","No","Big City","Black","Christian",7,2.5,4,0,11,0,13,1,5,3,5,98,"respect for their elders","good manners","self-reliance","being considerate","Bernie Sanders","Yes","Chose not to vote",5,4,"Democratic",5,9,20,0,1,"L1"
"Female","Female","No","Big City Subrub","White","Atheist",0,3.9,0,0,0,0,17,7,1,5,1,70,"independence","curiosity","self-reliance","being considerate","Bernie Sanders","Yes","Hillary Clinton",0,1,"Democratic",7,10,0,90,10,"L1"
"Male","Male","Yes","Big City","White","Atheist",0,3.6,8,15,4,3,13,6,3,5,5,100,"respect for their elders","curiosity","self-reliance","being considerate","Bernie Sanders","Yes","Hillary Clinton",0,3,"Democratic",4,9,0,100,7,"L1"
"Male","Male","No","Big City","East Asian","Atheist",0,2.3,0,0,2,2,14,3,2,5,7,90,"respect for their elders","good manners","obedience","being considerate","Hillary Clinton","Yes","Chose not to vote",0,0,"Republican",10,10,0,90,5,"L1"
"Female","Female","Yes","Big City Subrub","White","Jewish",7,4,6,6,0,0,15,4,3,5,5,100,"respect for their elders","good manners","self-reliance","being considerate","Hillary Clinton","Yes","Hillary Clinton",0,0,"Democratic",5,10,0,100,7,"L1"
"Female","Female","No","Big City","Hispanic","Christian",2,2,8,8,7,2,15,6,3,5,6,80,"independence","curiosity","self-reliance","well-behaved","Bernie Sanders","Yes","Hillary Clinton",0,0,"Democratic",4,10,0,20,0,"L1"
"Female","Female","No","Big City","East Asian","Atheist",0,4,5,8,1,1,13,0,3,5,5,80,"independence","curiosity","self-reliance","being considerate","Bernie Sanders","Yes","Hillary Clinton",0,0,"Democratic",2,3,0,0,6,"L1"
"Male","Male","No","Big City Subrub","Black","Christian",6,3.7,5,1,2,1,15,5,1,7,5,100,"respect for their elders","good manners","self-reliance","being considerate","Bernie Sanders","Yes","Hillary Clinton",0,2,"Democratic",6,10,10,100,5,"L1"
"Female","Female","No","Big City","Hispanic","Christian",10,2.3,0,0,0,0,20,2,2,1,5,60,"independence","good manners","self-reliance","being considerate","Bernie Sanders","Yes","Chose not to vote",0,4,"Other",4,10,20,0,7,"L1"
"Male","Male","Yes","Medium City","White","Christian",4,3.4,10,15,1,0,16,2,2,3,10,120,"independence","good manners","self-reliance","being considerate","Donald Trump","Yes","Chose not to vote",5,10,"Republican",5,6,0,0,6,"L1"
"Male","Male","No","Big City Subrub","East Asian","Agnostic",0,2.4,13,18,0,0,19,1,1,3,10,3000,"independence","good manners","self-reliance","well-behaved","Bernie Sanders","Yes","Donald Trump",3,5,"Democratic",5,7,0,0,7,"L1"
"Female","Female","No","Big City","East Asian","Buddhist",1,3.1,5,3,1,2,16,2,3,2,10,90,"independence","good manners","obedience","being considerate","Unsure","No","Chose not to vote",6,1,"Other",7,0,0,30,7,"L1"
"Male","Male","Yes","Big City Subrub","Black","Christian",6,3.6,10,35,12,2,15,3,3,5,8,100,"respect for their elders","good manners","self-reliance","well-behaved","Bernie Sanders","Yes","Hillary Clinton",5,5,"Democratic",6,5,10,20,3,"L1"
"Male","Male","No","Big City Subrub","South Asian","Hindu",5,3.9,3,0,0,0,26,5,1,8,7,10000,"independence","curiosity","self-reliance","being considerate","Other Republican","Yes","Donald Trump",3,5,"Democratic",5,10,0,50,5,"L1"
"Female","Female","Yes","Big City Subrub","White","Jewish",2,2.8,15,15,2,0,15,2,10,8,6,250,"independence","curiosity","self-reliance","being considerate","Bernie Sanders","Yes","Hillary Clinton",0,2,"Democratic",6,8,0,10,4,"L1"
"Female","Female","No","Big City Subrub","White","Christian",7,3.1,3,8,0,1,17,5,5,6,5,40,"respect for their elders","good manners","obedience","being considerate","Bernie Sanders","Yes","Hillary Clinton",1,5,"Democratic",4,9,0,0,10,"L1"
"Male","Male","No","Big City Subrub","White","Agnostic",1,3.1,2,10,2,0,14,1,2,7,7,900,"independence","curiosity","self-reliance","being considerate","Other Party","Yes","Gary Johnson",5,6,"Libertarian",9,8,0,100,1,"L1"
"Female","Female","Yes","Big City Subrub","White","Christian",3,3.5,10,15,3,1,15,7,3,8,8,100,"respect for their elders","good manners","obedience","being considerate","Donald Trump","Yes","Donald Trump",6,5,"Republican",2,8,0,100,4,"L1"
"Female","Female","No","Big City","Hispanic","Christian",5,3.3,1,3,0,0,19,1,4,3,7,70,"respect for their elders","good manners","obedience","being considerate","Hillary Clinton","Yes","Hillary Clinton",1,3,"Democratic",6,6,10,0,6,"L1"
"Male","Male","No","Big City Subrub","Other","Christian",2,3.9,2,1,0,0,26,1,2,5,0,80,"independence","curiosity","obedience","being considerate","Hillary Clinton","Yes","Chose not to vote",0,2,"Democratic",7,7,0,100,6,"L1"
"Male","Male","No","Big City Subrub","South Asian","Hindu",5,3,2,0,4,0,19,5,1,5,5,100,"respect for their elders","good manners","self-reliance","well-behaved","Unsure","No","Not eligible to vote",0,0,"Other",4,10,0,100,7,"L1"
"Female","Female","No","Big City Subrub","White","Christian",0,3.9,1,0,0,0,18,10,2,5,0,70,"respect for their elders","good manners","self-reliance","well-behaved","Bernie Sanders","Yes","Hillary Clinton",0,4,"Democratic",6,10,40,10,10,"L1"
"Female","Female","Yes","Medium City","South Asian","Hindu",2,3.3,8,15,0,1,16,15,3,4,5,150,"independence","curiosity","self-reliance","being considerate","Bernie Sanders","Yes","Not eligible to vote",0,0,"Democratic",5,2,0,50,5,"L1"
"Male","Male","No","Big City Subrub","Hispanic","Christian",8,2.7,5,1,5,2,16,3,1,2,5,90,"respect for their elders","good manners","self-reliance","being considerate","Other Party","Yes","Chose not to vote",0,10,"Democratic",9,8,5,0,8,"L1"
"Female","Female","No","Big City","Black","Christian",7,2.4,3,0,1,1,16,14,1,5,10,150,"respect for their elders","good manners","obedience","well-behaved","Bernie Sanders","Yes","Hillary Clinton",0,0,"Democratic",5,10,20,20,0,"L1"
"Female","Female","No","Big City","Hispanic","Religious but not one of the above",8,3,9,4,2,0,15,10,8,4,5,70,"independence","good manners","obedience","being considerate","Bernie Sanders","Yes","Chose not to vote",0,3,"Democratic",5,10,0,0,6,"L1"
"Female","Female","Yes","Big City Subrub","White","Christian",7,3.9,0,0,1,1,15,3,1,2,3,80,"respect for their elders","curiosity","self-reliance","being considerate","Other Republican","Yes","Chose not to vote",1,5,"Independent",5,7,5,100,8,"L1"
"Female","Female","Yes","Big City Subrub","White","Christian",1,2.9,6,10,2,2,13,7,2,5,1,72,"independence","curiosity","self-reliance","being considerate","Bernie Sanders","Yes","Hillary Clinton",0,1,"Democratic",6,7,0,90,8,"L1"
"Male","Male","Yes","Big City","Hispanic","Atheist",0,2.7,40,50,11,2,13,1,3,2,3,90,"independence","curiosity","self-reliance","being considerate","Bernie Sanders","Yes","Hillary Clinton",0,3,"Independent",10,9,0,50,5,"L1"
"Male","Male","Yes","Big City Subrub","South Asian","Christian",8,3.8,35,30,6,2,12,5,2,10,2,500,"respect for their elders","good manners","obedience","being considerate","Other Party","Yes","Gary Johnson",3,7,"Republican",5,10,30,70,6,"L1"
"Female","Female","No","Big City","Black","Christian",7,2.7,4,0,3,2,17,14,3,6,5,10000,"respect for their elders","good manners","obedience","well-behaved","Bernie Sanders","Yes","Hillary Clinton",0,7,"Democratic",5,9,10,0,7,"L1"
"Male","Male","Yes","Big City","East Asian","Christian",6,3.5,10,24,0,0,16,1,4,2,10,70,"independence","curiosity","self-reliance","being considerate","Unsure","Yes","Hillary Clinton",0,4,"Democratic",0,5,0,100,3,"L1"
"Female","Female","Yes","Big City","East Asian","Religious but not one of the above",5,3.1,12,10,1,3,12,9,2,2,2,80,"independence","good manners","self-reliance","being considerate","Hillary Clinton","Yes","Hillary Clinton",0,0,"Democratic",4,10,15,100,10,"L1"
"Female","Female","Yes","Big City Subrub","Hispanic","Christian",2,3.2,7,5,2,0,17,2,5,3,8,50,"respect for their elders","good manners","obedience","being considerate","Bernie Sanders","Yes","Hillary Clinton",0,7,"Democratic",4,9,10,10,5,"L1"
"Female","Female","Yes","Big City Subrub","White","Christian",6,3.8,10,6,0,0,15,10,5,10,5,150,"respect for their elders","curiosity","self-reliance","being considerate","Other Republican","Yes","Hillary Clinton",0,5,"Republican",4,10,0,100,3,"L1"
"Male","Male","No","Big City Subrub","Other","Christian",2,3.5,4,5,0,0,13,1,3,2,7,120,"respect for their elders","good manners","obedience","being considerate","Bernie Sanders","Yes","Chose not to vote",3,4,"Democratic",4,7,0,50,6,"L1"
"Female","Female","No","Big City","Hispanic","Religious but not one of the above",3,3.6,5,5,0,0,18,3,5,3,4,90,"independence","good manners","self-reliance","being considerate","Bernie Sanders","Yes","Hillary Clinton",0,0,"Democratic",8,6,0,20,7,"L1"
"Female","Female","No","Small Town","White","Agnostic",1,2.6,5,7,11,0,16,2,3,6,7,70,"independence","good manners","self-reliance","being considerate","Bernie Sanders","Yes","Hillary Clinton",0,0,"Democratic",7,10,20,0,6,"L1"
"Female","Female","No","Small Town","White","Religious but not one of the above",7,3.9,0,0,0,0,17,2,4,6,6,100,"respect for their elders","good manners","obedience","being considerate","Donald Trump","Yes","Donald Trump",4,5,"Republican",5,10,0,10,7,"L1"
"Female","Female","Yes","Big City","Hispanic","Agnostic",3,3.6,6,18,24,0,13,7,4,6,8,300,"independence","curiosity","self-reliance","being considerate","Bernie Sanders","Yes","Hillary Clinton",0,0,"Democratic",0,10,5,0,8,"L1"
"Female","Female","Yes","Big City Subrub","White","Jewish",6,3.5,8,6,1,1,13,7,6,8,2,35,"respect for their elders","good manners","self-reliance","being considerate","Hillary Clinton","Yes","Hillary Clinton",0,5,"Democratic",3,9,5,100,10,"L1"
"Female","Female","No","Big City Subrub","Other","Christian",7,3.2,0,0,2,1,16,0,3,4,7,125,"respect for their elders","good manners","self-reliance","being considerate","Bernie Sanders","Yes","Hillary Clinton",0,4,"Independent",6,9,0,0,3,"L1"
"Female","Female","No","Big City","East Asian","Atheist",0,3.1,0,0,1,2,17,1,10,4,4,44,"respect for their elders","good manners","self-reliance","being considerate","Unsure","Yes","Chose not to vote",0,5,"Other",3,10,10,0,6,"L1"
"Female","Female","No","Big City","East Asian","Atheist",0,3.7,0,0,0,0,26,3,4,5,5,80,"respect for their elders","curiosity","self-reliance","being considerate","Bernie Sanders","Yes","Hillary Clinton",2,3,"Democratic",5,6,5,90,3,"L1"
"Male","Male","No","Big City","Hispanic","Atheist",0,3.2,0,0,2,2,19,7,5,7,0,100,"respect for their elders","good manners","self-reliance","well-behaved","Bernie Sanders","Yes","Hillary Clinton",0,0,"Democratic",5,5,10,70,10,"L1"
"Male","Male","No","Big City","Hispanic","Religious but not one of the above",2,3.4,1,2,0,1,16,2,2,3,5,99,"independence","curiosity","self-reliance","being considerate","Bernie Sanders","Yes","Hillary Clinton",0,5,"Democratic",5,7,30,50,6,"L1"
"Female","Female","Yes","Small Town","White","Agnostic",1,2.8,8,5,9,2,14,0,4,3,8,150,"independence","good manners","self-reliance","being considerate","Bernie Sanders","Yes","Not eligible to vote",2,4,"Other",5,9,0,90,7,"L1"
"Male","Male","Yes","Small Town","White","Christian",4,3.8,10,15,2,1,17,3,3,10,5,250,"respect for their elders","good manners","self-reliance","being considerate","Unsure","Yes","Chose not to vote",4,5,"Independent",5,9,20,50,5,"L1"
"Male","Male","No","Medium City","White","Christian",5,3,4,3,0,3,15,7,2,5,5,120,"respect for their elders","good manners","self-reliance","being considerate","Unsure","Yes","Donald Trump",3,5,"Independent",7,10,0,80,8,"L1"
