"gender","greek","homeTown","highSchool","age","major","ethnicity","belief","religion","religious","expectedIncome","followElection","president","liberal","environment","terrorism","economicInequality","racism","genderEquality","security","familyVal","gunControl","taxes","bigMoney","illegalImmigrants","farRightPol","farLeftPol","religiousFanatics","terrorists","foreignPowers","notVote","politicalParty","voteMar","voteNov","gradeVsLearning","parentRelationship","workHr","tuition","voteParent"
"Female","No","Big City","No",19,"Undeclared","Hispanic","Divine Guidance","Christian",6,150,"some","Bernie Sanders",3,8,5,8,7,8,6,3,7,7,9,3,10,5,7,5,5,8,"Democrat",10,10,5,7,0,0,"Unsure"
"Female","No","Small Town","Yes",18,"Community Health","White","Divine Guidance","Christian",3,200,"some","Bernie Sanders",4,5,10,3,7,0,3,7,1,0,10,3,5,5,2,4,1,1,"Democrat",0,3,5,10,0,0,"Unsure"
"Male","No","Medium City","In some classes",18,"Economics","Asian","Evolution","Atheist",0,20,"some","John Kacich",4,6,5,0,6,3,6,0,0,0,5,0,0,0,0,0,0,0,"Other",0,4,10,7,0,100,"Unsure"
"Male","No","Big City Subrub","Yes",19,"Undeclared","Black","Divine Guidance","Christian",8,999,"some","Bernie Sanders",5,4,8,8,8,4,5,8,7,7,3,2,5,5,1,6,5,0,"Democrat",0,0,5,9,30,0,"Yes"
"Female","No","Big City","Yes",22,"english","Hispanic","Evolution","Agnostic",0,40,"very closely","Bernie Sanders",3,10,10,7,10,10,10,0,10,5,1,8,3,7,5,2,4,6,"Democrat",10,10,4,10,10,10,"No"
"Female","Yes","Big City Subrub","Not Sure",18,"Special Education","White","Creationism","Christian",7,60,"some","Bernie Sanders",5,8,10,9,10,10,8,5,9,10,9,2,5,5,5,10,8,7,"Republican",10,10,2,10,0,100,"Yes"
"Female","Yes","Big City","Yes",19,"Speech and Hearing Sciences","Asian","Divine Guidance","Christian",8,70,"closely","Bernie Sanders",4,6,7,5,7,6,4,3,3,5,10,5,5,5,6,7,6,8,"Democrat",8,9,4,9,0,50,"No"
"Female","No","Big City","In some classes",18,"Creative Writing","Hispanic","Evolution","Christian",2,60,"closely","Bernie Sanders",1,9,6,10,10,10,10,5,7,8,10,1,9,0,6,5,5,5,"Democrat",10,10,1,5,0,50,"Yes"
"Male","No","Big City Subrub","Yes",18,"Undeclared","Asian","Evolution","Christian",2,200,"some","Bernie Sanders",4,8,6,8,9,5,5,2,6,6,8,4,5,7,8,7,5,4,"Democrat",0,0,3,6,0,100,"No"
"Female","No","Big City","Yes",20,"I-Health","Black","Divine Guidance","Christian",9,42,"some","Bernie Sanders",5,5,6,10,10,10,7,10,10,6,6,0,10,9,4,5,8,7,"Democrat",10,10,4,7,15,30,"No"
"Female","No","Big City Subrub","Yes",20,"Advertising","Asian","Divine Guidance","Christian",8,80,"very closely","Hillary Clinton",3,8,8,4,6,6,5,3,9,9,5,6,9,8,3,9,6,3,"Democrat",0,10,4,7,5,90,"Yes"
"Female","Yes","Big City Subrub","Not Sure",19,"Psychology","Asian","Evolution","Muslim",4,70,"some","Bernie Sanders",3,2,6,7,9,7,2,0,6,5,5,0,0,7,7,4,1,3,"Democrat",7,10,4,8,0,90,"Yes"
"Male","Yes","Big City Subrub","Yes",20,"Comp Sci","White","Evolution","Christian",4,90,"some","Bernie Sanders",3,6,7,6,3,2,1,4,7,2,10,0,4,2,5,7,4,1,"Democrat",0,2,2,8,0,100,"Unsure"
"Female","No","Big City","No",19,"Accounting","Asian","Divine Guidance","Other Religion",3,1000,"some","Unsure",5,5,6,9,4,7,3,2,10,8,10,5,9,9,7,9,5,8,"Independent",-1,-1,8,9,10,100,"Unsure"
"Female","No","Big City Subrub","Yes",19,"Accountancy","Asian","Creationism","Christian",8,10000,"some","Hillary Clinton",4,1,7,6,1,6,2,4,4,2,3,7,5,4,1,2,7,1,"Republican",2,4,2,5,15,50,"Yes"
"Male","No","Big City Subrub","Yes",20,"writing","White","Evolution","Christian",1,100,"some","Bernie Sanders",5,0,5,7,8,4,6,5,5,8,10,7,5,5,2,4,3,1,"Democrat",10,10,10,6,15,20,"Unsure"
"Male","No","Big City Subrub","Not Sure",19,"Community Health","Asian","None of the above","Atheist",1,100,"some","Unsure",3,4,10,6,7,4,5,2,0,7,4,1,9,3,5,7,5,1,"Other",0,0,1,6,0,80,"Unsure"
"Female","No","Big City","Yes",18,"Human Development and Family Studies","Black","None of the above","Christian",9,900,"some","Bernie Sanders",4,10,7,10,10,8,2,6,10,6,4,5,10,6,7,4,8,4,"Democrat",9,9,10,6,10,20,"Yes"
"Male","Yes","Big City Subrub","Yes",18,"tsm","White","Divine Guidance","Christian",3,900,"some","Marco Rubio",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,"Republican",2,1,5,8,0,90,"Yes"
"Male","Yes","Big City Subrub","Yes",19,"Kinesiology","White","Evolution","Christian",5,65,"closely","Bernie Sanders",2,5,7,7,7,8,6,6,9,7,8,6,7,3,6,6,4,4,"Democrat",5,10,8,10,20,10,"Yes"
"Female","No","Big City","Yes",18,"Global Studies","Asian","Evolution","Atheist",1,500,"some","Bernie Sanders",4,10,10,9,10,10,9,9,10,9,8,8,9,9,6,7,8,5,"Other",-1,-1,5,10,10,100,"Yes"
"Male","No","Big City Subrub","Yes",20,"DGS","White","Evolution","Agnostic",0,90,"some","Bernie Sanders",2,7,3,6,9,9,3,1,7,5,9,2,8,6,9,5,5,10,"Independent",10,10,7,8,15,50,"Yes"
"Male","No","Big City Subrub","Yes",19,"advertising","White","Evolution","Jewish",3,110,"closely","Ben Carson",6,8,10,7,5,4,7,7,8,7,10,8,5,5,8,10,9,4,"Republican",0,0,4,8,0,0,"Yes"
"Female","No","Big City","Yes",18,"chlh","Black","None of the above","Christian",6,100,"some","Bernie Sanders",7,7,9,9,10,5,4,9,9,9,5,7,7,5,7,8,8,8,"Democrat",8,8,5,9,15,0,"Unsure"
"Male","No","Big City","Yes",19,"DGS","Asian","None of the above","Agnostic",3,6000,"some","Hillary Clinton",4,6,4,6,5,3,5,5,8,3,3,6,5,4,8,4,9,7,"Other",3,3,7,9,10,80,"No"
"Male","No","Big City Subrub","Not Sure",22,"Psychology","Asian","Evolution","Hindu",2,5000,"some","Bernie Sanders",3,10,6,6,5,5,5,0,10,8,9,1,10,3,9,8,2,9,"Democrat",-1,10,4,8,0,70,"Unsure"
"Male","Yes","Big City Subrub","No",19,"Economics","White","Evolution","Christian",1,600,"some","John Kacich",3,8,5,4,3,1,4,6,5,8,9,7,4,4,5,2,6,7,"Republican",2,3,4,7,15,70,"No"
"Male","No","Big City Subrub","Yes",19,"Undecided","Asian","Creationism","Christian",0,150,"some","Hillary Clinton",2,6,7,7,5,5,5,3,3,8,4,4,5,2,5,8,6,1,"Democrat",3,10,3,10,0,90,"Yes"
"Male","No","Big City","Yes",21,"Mathematics & Computer Science","Asian","Evolution","Atheist",0,99999,"some","Hillary Clinton",0,10,10,0,10,10,10,10,10,10,10,10,10,10,10,10,0,0,"Republican",-1,-1,10,8,0,100,"Unsure"
"Female","No","Big City","Yes",19,"DGS","Asian","Evolution","Other Religion",2,100,"Not at all","Marco Rubio",2,6,8,4,8,8,5,7,7,3,3,5,5,5,6,6,7,2,"Independent",-1,-1,10,5,0,100,"Unsure"
"Male","No","Big City Subrub","Not Sure",19,"Political science","White","Creationism","Christian",8,80,"very closely","Ted Cruz",10,0,8,2,5,2,8,9,0,10,3,8,0,10,0,10,4,9,"Republican",10,10,5,7,35,0,"Unsure"
"Female","No","Big City","Yes",18,"Undeclared/ DGS","Asian","None of the above","Agnostic",1,75,"some","Bernie Sanders",2,7,6,7,8,9,7,3,8,7,8,2,8,3,7,5,5,7,"Democrat",10,10,2,5,0,90,"Unsure"
"Female","Yes","Big City Subrub","Yes",21,"Community Health","White","Divine Guidance","Christian",3,85,"some","Bernie Sanders",3,4,8,8,10,10,6,5,8,4,10,0,10,0,10,10,10,5,"Democrat",10,10,8,10,20,100,"No"
"Female","Yes","Big City Subrub","In some classes",19,"Elementary education","White","Evolution","Jewish",4,100,"closely","Bernie Sanders",0,7,5,6,6,6,3,5,8,10,10,1,10,10,8,2,3,4,"Democrat",10,10,8,8,0,100,"Yes"
"Male","Yes","Big City","Yes",23,"RST","Asian","Evolution","Buddhist",6,300,"closely","Bernie Sanders",5,10,10,10,10,10,10,10,5,10,10,5,5,5,5,10,10,3,"Democrat",0,10,8,7,0,0,"Unsure"
"Male","No","Medium City","Yes",18,"Education (Pre-law)","White","Evolution","Jewish",5,100,"very closely","Ted Cruz",8,2,10,5,4,4,4,4,5,6,2,2,2,2,2,8,7,1,"Republican",10,10,5,10,10,20,"Yes"
"Male","Yes","Big City Subrub","Yes",19,"Food Science","White","Evolution","Muslim",7,500,"closely","Hillary Clinton",5,10,5,5,7,7,3,6,6,8,8,2,8,8,6,5,7,8,"Republican",2,9,2,7,0,100,"Yes"
"Female","No","Medium City","Yes",19,"undeclared","White","Creationism","Christian",9,50,"closely","Ted Cruz",9,5,9,6,8,7,9,8,4,6,7,10,3,3,2,10,9,5,"Republican",9,10,7,6,0,0,"Yes"
"Female","Yes","Medium City","Yes",18,"LLS and Spanish","Hispanic","Evolution","Other Religion",5,80,"some","Bernie Sanders",3,3,3,10,10,10,10,5,6,5,7,0,10,3,0,2,4,10,"Democrat",10,10,0,7,10,100,"No"
"Female","No","Big City Subrub","Yes",19,"Psychology","White","Evolution","Christian",6,250,"some","Bernie Sanders",5,8,7,3,3,6,4,2,7,4,7,2,5,5,8,7,5,3,"Democrat",10,10,5,8,0,0,"No"
"Male","No","Small Town","Not Sure",19,"Computer Engineering","White","Divine Guidance","Christian",6,99,"some","Bernie Sanders",6,6,0,5,5,7,5,2,0,3,2,2,10,10,10,0,0,7,"Independent",0,4,7,4,0,60,"Unsure"
"Female","Yes","Big City Subrub","Yes",18,"Psychology","White","None of the above","Christian",4,100,"some","Unsure",2,1,7,10,9,3,4,7,9,9,8,10,5,5,5,9,9,0,"Democrat",0,0,5,10,0,20,"No"
"Female","No","Big City Subrub","Yes",19,"DGS","Asian","Creationism","Buddhist",5,30,"some","Unsure",5,7,8,7,5,5,3,5,9,7,7,5,5,5,4,8,3,5,"Other",-1,-1,6,8,0,100,"Yes"
"Female","Yes","Big City","Yes",19,"Kinesiology","Asian","Evolution","Christian",8,100,"some","Bernie Sanders",5,7,7,7,7,8,9,10,9,7,8,6,5,5,7,9,7,8,"Democrat",10,10,5,10,0,80,"Unsure"
"Female","Yes","Big City Subrub","Yes",19,"Community Health","White","Creationism","Christian",8,80,"some","Unsure",5,6,10,7,7,10,7,10,10,10,6,7,6,6,3,10,6,10,"Republican",4,4,3,10,0,70,"Yes"
"Female","No","Big City","Yes",18,"undecleared","Hispanic","Creationism","Christian",4,40,"some","Bernie Sanders",5,2,5,7,9,9,4,7,10,10,10,7,5,5,5,8,4,9,"Democrat",10,10,10,10,0,10,"Yes"
"Female","No","Big City","Not Sure",22,"English","Black","Divine Guidance","Christian",7,130,"closely","Bernie Sanders",3,8,10,10,10,10,5,2,10,9,10,5,7,5,2,8,5,10,"Democrat",8,10,8,10,15,0,"Yes"
"Female","No","Big City Subrub","Yes",18,"kinesiology","White","Evolution","Christian",1,70,"some","Hillary Clinton",4,7,8,7,8,9,6,5,7,7,7,2,5,5,4,6,4,7,"Democrat",-1,6,5,7,0,100,"No"
"Female","No","Medium City","In some classes",19,"Anthropology","Asian","Evolution","Muslim",3,70,"some","Bernie Sanders",2,6,7,7,8,8,4,1,3,5,7,2,7,4,8,8,8,4,"Democrat",-1,-1,8,4,0,100,"No"
"Female","No","Big City Subrub","Yes",19,"Psychology","White","Evolution","Agnostic",0,250,"closely","John Kacich",6,3,6,0,7,9,9,2,2,10,10,6,6,6,10,7,4,3,"Republican",10,10,1,7,0,100,"No"
"Male","No","Medium City","No",19,"Undeclared","White","Divine Guidance","Christian",5,100,"some","Marco Rubio",7,5,8,6,6,6,2,1,8,2,5,2,1,1,1,10,2,1,"Republican",4,5,7,10,10,100,"Yes"
"Male","Yes","Big City Subrub","Yes",19,"Specialized Chemistry","White","Evolution","Jewish",4,120,"closely","Bernie Sanders",5,8,4,4,4,4,0,1,7,7,6,3,10,10,5,3,3,1,"Independent",10,9,5,7,0,0,"Unsure"
"Male","Yes","Big City Subrub","Yes",23,"Technical Systems Management","White","Evolution","Atheist",1,120,"closely","Bernie Sanders",3,10,8,9,10,9,5,3,8,6,7,3,5,5,4,8,3,2,"Independent",0,1,0,8,10,0,"Yes"
"Male","Yes","Small Town","No",19,"DGS","White","Evolution","Christian",3,150,"very closely","Donald Trump",8,5,3,8,4,2,7,6,6,9,9,7,5,8,3,2,9,1,"Republican",9,10,3,9,0,100,"No"
"Male","No","Medium City","Yes",18,"Undeclared","White","Creationism","Christian",10,75,"closely","Bernie Sanders",6,0,8,8,8,8,8,8,8,4,9,4,9,9,9,10,8,8,"Republican",10,10,8,10,35,0,"No"
"Male","No","Big City Subrub","Yes",20,"undeclared","Asian","Divine Guidance","Jewish",2,1111,"some","Ben Carson",5,1,1,1,1,1,1,1,0,4,6,2,1,5,6,0,4,3,"Other",7,4,10,4,25,10,"No"
"Female","No","Big City","Yes",22,"architecture","Asian","None of the above","Buddhist",6,10,"some","Bernie Sanders",7,4,6,7,6,7,7,10,8,10,7,4,7,7,7,9,6,2,"Democrat",-1,3,3,9,0,100,"Yes"
"Male","No","Big City Subrub","Yes",18,"Elementary Education","Asian","Creationism","Christian",6,50,"some","Bernie Sanders",2,10,4,6,5,5,4,5,6,10,5,5,5,5,5,5,5,6,"Independent",1,1,6,5,10,90,"Unsure"
"Female","No","Big City Subrub","Yes",19,"Biochem","Asian","Evolution","Hindu",5,150,"closely","Hillary Clinton",0,7,8,10,6,10,3,5,10,6,0,0,10,0,8,7,0,9,"Democrat",10,10,2,10,5,80,"Unsure"
"Female","No","Big City","No",19,"Undecided","Hispanic","Divine Guidance","Other Religion",3,80,"closely","Bernie Sanders",3,10,10,10,10,10,10,3,7,8,0,0,0,1,0,10,0,1,"Democrat",4,10,2,5,10,40,"Yes"
"Female","No","Big City Subrub","Not Sure",20,"DGS","White","Creationism","Christian",6,90,"some","Unsure",5,9,9,9,2,9,8,4,5,7,9,8,5,5,5,8,5,5,"Democrat",0,0,5,10,0,10,"Unsure"
"Female","No","Big City Subrub","Yes",19,"Business","Asian","None of the above","Christian",7,200,"some","Unsure",5,5,6,6,7,7,6,6,8,5,6,5,5,6,5,5,6,0,"Other",0,0,5,10,0,100,"No"
"Male","No","Big City","Not Sure",19,"Undecided","Hispanic","Divine Guidance","Other Religion",5,80,"some","Bernie Sanders",5,10,5,10,10,7,10,10,10,8,5,0,5,5,2,7,7,7,"Independent",5,10,7,9,10,10,"Yes"
"Female","No","Big City","Yes",18,"DGS","Asian","Evolution","Atheist",0,10000,"Not at all","Hillary Clinton",0,7,7,7,7,10,5,4,8,5,5,5,5,5,5,5,5,5,"Other",-1,-1,5,5,0,50,"Unsure"
"Male","No","Small Town","No",22,"RST","White","Divine Guidance","Christian",10,100,"some","Ted Cruz",10,9,10,8,10,4,7,10,10,5,6,5,4,4,10,7,3,4,"Republican",0,0,5,10,0,0,"Yes"
"Female","No","Big City","No",19,"Communications","Other","Evolution","Christian",2,80,"some","Bernie Sanders",1,8,5,10,10,10,5,1,9,7,7,2,9,0,9,5,5,8,"Democrat",8,10,5,10,0,100,"Unsure"
"Female","Yes","Big City Subrub","Yes",18,"Advertising","White","Evolution","Atheist",0,100,"some","Bernie Sanders",2,8,7,5,10,10,3,5,10,5,10,2,10,3,8,10,10,10,"Democrat",10,10,5,10,0,100,"Yes"
"Female","No","Big City","Yes",21,"NRES","White","Evolution","Christian",7,60,"some","John Kacich",7,10,7,6,0,4,6,0,0,4,10,3,10,10,10,8,3,3,"Republican",5,8,6,10,20,0,"Unsure"
"Female","No","Small Town","No",21,"Atmospheric Sciences","White","Divine Guidance","Christian",8,87,"closely","Bernie Sanders",7,9,8,7,7,8,8,2,3,2,6,3,7,7,4,10,8,2,"Republican",0,8,3,8,0,0,"No"
"Female","Yes","Big City Subrub","Yes",20,"Food Science","White","Evolution","Agnostic",0,80,"some","Bernie Sanders",2,9,5,7,10,9,0,1,9,2,5,0,7,1,5,2,2,10,"Democrat",10,10,2,6,0,10,"Unsure"
"Female","Yes","Big City Subrub","Yes",18,"Developmental Psychology","White","Divine Guidance","Christian",8,80,"some","John Kacich",8,6,7,10,10,10,7,3,8,8,6,6,3,10,5,2,2,5,"Republican",7,10,5,9,0,100,"Yes"
"Female","No","Big City","Not Sure",20,"DGS","Hispanic","Divine Guidance","Other Religion",7,900,"some","Bernie Sanders",2,10,7,9,7,10,6,6,1,5,4,0,1,9,7,9,4,5,"Democrat",8,8,5,10,15,10,"Yes"
"Female","No","Big City Subrub","Not Sure",21,"nursing","White","Divine Guidance","Christian",5,100,"some","Ted Cruz",5,5,10,7,7,7,7,5,5,8,6,6,6,6,6,9,9,0,"Republican",0,10,6,10,5,10,"Yes"
"Female","Yes","Big City Subrub","Yes",19,"Advertising","White","Divine Guidance","Christian",6,70,"some","Marco Rubio",5,10,10,0,7,8,4,3,7,5,7,5,10,10,7,9,9,3,"Democrat",0,2,5,8,40,30,"Yes"
"Female","No","Big City Subrub","Yes",18,"Human Development and Family Studies (HDFS)","Asian","None of the above","Hindu",8,100,"some","Hillary Clinton",3,10,10,8,10,10,8,8,8,8,8,5,7,7,6,10,8,5,"Democrat",5,7,5,7,0,90,"Unsure"
"Female","Yes","Big City","In some classes",18,"psychology","Hispanic","Evolution","Agnostic",2,60,"some","Bernie Sanders",3,5,8,7,9,9,3,4,8,4,6,2,7,4,9,8,4,8,"Democrat",-1,10,5,2,0,100,"Unsure"
"Female","No","Big City Subrub","No",20,"painting","Other","Evolution","Other Religion",3,100,"closely","Bernie Sanders",0,10,3,9,10,10,0,0,7,7,10,0,8,2,6,2,2,10,"Democrat",10,10,5,8,15,80,"Yes"
"Male","Yes","Big City Subrub","Not Sure",19,"Bizness","White","None of the above","Atheist",2,80,"some","Bernie Sanders",4,8,2,5,2,3,4,0,7,5,4,3,7,3,10,3,1,0,"Democrat",2,7,6,7,15,90,"Unsure"
"Female","No","Small Town","Yes",18,"math","Asian","Divine Guidance","Christian",7,90,"some","Bernie Sanders",5,10,10,10,10,10,8,7,10,10,10,8,8,8,9,9,10,10,"Democrat",4,4,5,10,0,90,"Unsure"
"Male","Yes","Big City Subrub","Yes",19,"Integrative Biology","White","Evolution","Agnostic",5,70,"some","Bernie Sanders",5,9,6,3,3,0,0,0,5,4,10,5,6,3,2,3,3,2,"Democrat",-1,-1,8,9,0,20,"Yes"
"Female","No","Big City","Yes",18,"mathematics","White","None of the above","Other Religion",6,65,"some","Bernie Sanders",5,6,10,5,7,5,7,6,10,6,5,7,0,0,1,10,3,2,"Democrat",10,10,4,8,0,10,"Yes"
"Male","No","Big City Subrub","Not Sure",19,"Advertising","White","Divine Guidance","Other Religion",2,85,"closely","Bernie Sanders",2,7,6,9,10,7,5,1,9,8,10,5,9,3,4,7,5,9,"Democrat",10,10,4,10,15,20,"Yes"
"Female","Yes","Big City Subrub","Yes",18,"Kinesiology","White","Divine Guidance","Christian",2,80,"closely","Bernie Sanders",7,8,10,5,7,4,7,10,6,6,5,7,4,4,4,10,6,7,"Other",5,10,6,10,5,100,"Yes"
"Female","No","Big City Subrub","Yes",19,"MCB","Asian","Evolution","Hindu",3,200,"very closely","Bernie Sanders",1,8,5,7,10,10,7,0,10,6,9,1,10,2,8,0,2,9,"Democrat",10,10,0,3,0,100,"No"
"Female","No","Big City","Not Sure",19,"Accountancy","Asian","Creationism","Atheist",0,3,"some","Hillary Clinton",5,7,7,7,6,7,6,4,9,3,6,7,5,5,7,10,6,3,"Democrat",-1,-1,4,8,0,100,"Unsure"
"Female","No","Big City","Not Sure",19,"Biology","Asian","Divine Guidance","Christian",5,80,"closely","Bernie Sanders",0,10,10,10,10,10,7,8,10,9,10,3,5,5,6,10,7,10,"Democrat",10,10,3,9,0,100,"Yes"
"Female","No","Big City Subrub","Yes",19,"Psychology","White","Evolution","Christian",2,105,"closely","Bernie Sanders",3,8,4,4,6,8,2,3,5,5,10,1,7,3,6,3,1,7,"Democrat",0,8,10,5,5,80,"No"
"Female","No","Big City Subrub","Yes",19,"Psychology","White","Divine Guidance","Christian",8,200,"closely","Marco Rubio",6,5,7,8,6,9,7,9,4,8,8,4,5,7,4,8,8,4,"Republican",8,10,7,7,0,0,"Unsure"
"Female","No","Big City Subrub","Yes",19,"English","Other","Evolution","Christian",7,90,"some","Bernie Sanders",4,5,8,8,9,9,8,0,5,6,8,3,7,7,6,8,10,4,"Independent",1,9,8,9,15,70,"No"
"Male","Yes","Big City Subrub","Yes",20,"Political Science","Other","Divine Guidance","Christian",4,10,"closely","Bernie Sanders",3,10,8,8,7,1,4,1,3,5,9,1,4,4,4,2,1,7,"Democrat",7,10,3,9,0,100,"Unsure"
"Female","No","Big City Subrub","Yes",19,"Undecided","White","Creationism","Christian",6,150,"some","Unsure",6,4,10,8,8,4,6,6,0,9,7,7,7,7,8,10,8,6,"Republican",5,10,7,10,0,0,"Unsure"
"Female","No","Big City Subrub","Yes",19,"Nutrition","White","Creationism","Christian",7,100,"closely","Donald Trump",8,1,8,4,2,2,0,9,8,7,2,9,1,8,0,9,7,8,"Republican",0,8,10,8,0,100,"Yes"
"Female","No","Big City","Yes",20,"FSHN","White","Divine Guidance","Christian",5,80,"some","Unsure",3,10,10,4,10,10,6,0,5,5,5,5,5,5,5,7,7,7,"Independent",2,2,4,10,0,100,"Yes"
"Male","No","Big City Subrub","Yes",19,"Accounting","Asian","Divine Guidance","Christian",1,100,"some","Marco Rubio",8,0,7,4,4,3,4,1,2,8,7,3,5,5,2,4,8,3,"Republican",6,7,3,2,0,40,"Unsure"
"Female","Yes","Big City","Yes",19,"Undecided","White","Divine Guidance","Christian",6,70,"closely","Donald Trump",4,3,8,2,3,2,6,7,2,4,6,8,3,3,3,7,5,5,"Republican",7,8,4,9,20,50,"No"
"Female","No","Big City","Yes",19,"Psychology","Black","None of the above","Christian",7,75,"very closely","Bernie Sanders",5,5,5,5,5,7,4,5,6,8,2,3,6,6,3,4,4,7,"Democrat",5,9,5,6,30,30,"Yes"
"Female","No","Medium City","Yes",19,"Communications","White","Divine Guidance","Christian",7,100,"some","Bernie Sanders",5,8,10,3,9,7,1,0,4,2,10,2,9,9,9,7,2,6,"Independent",10,10,6,9,0,40,"No"
"Male","No","Small Town","Yes",19,"Kinesiology","Asian","Evolution","Other Religion",6,70,"some","Bernie Sanders",5,7,10,5,10,8,4,8,9,7,9,3,5,5,2,7,6,1,"Democrat",5,6,3,10,0,100,"Yes"
"Female","No","Small Town","Yes",19,"undecided","White","Divine Guidance","Christian",5,80,"some","Ted Cruz",3,3,9,6,5,7,6,0,0,8,8,5,6,7,10,9,8,6,"Republican",0,4,4,5,0,50,"Unsure"
"Male","No","Big City","Yes",23,"chemistry","Asian","Evolution","Atheist",0,1000,"Not at all","Hillary Clinton",5,6,6,7,6,5,4,5,5,7,7,4,7,7,7,5,7,5,"Democrat",-1,-1,5,3,0,80,"Unsure"
"Male","No","Big City Subrub","In some classes",20,"Technical Systems Management","Asian","None of the above","Christian",8,70,"some","Bernie Sanders",4,8,6,5,7,3,3,2,2,7,6,3,5,5,6,7,8,6,"Democrat",10,10,5,5,0,0,"Unsure"
"Male","No","Big City Subrub","Yes",18,"Nuclear Engineering transferring to Investment banking","Asian","Evolution","Agnostic",0,600,"closely","Hillary Clinton",2,4,1,2,1,0,4,0,2,9,0,1,7,7,8,4,8,2,"Republican",-1,-1,4,8,0,100,"Yes"
"Female","No","Small Town","Yes",19,"Undeclared","White","Evolution","Agnostic",0,60,"very closely","Bernie Sanders",2,10,7,10,10,6,6,0,5,8,10,2,10,4,5,3,0,10,"Independent",10,10,5,10,15,0,"Unsure"
"Female","No","Small Town","Yes",18,"Pre-Nursing","White","Divine Guidance","Christian",5,90,"some","Donald Trump",8,6,9,7,10,4,9,5,1,3,7,6,0,0,2,5,4,3,"Republican",0,8,5,10,10,10,"Unsure"
"Female","Yes","Big City Subrub","Yes",20,"animal science","White","None of the above","Christian",6,90,"Not at all","Bernie Sanders",5,8,8,5,8,8,5,5,5,8,5,5,5,5,5,5,5,4,"Other",0,0,5,8,15,100,"Unsure"
"Male","No","Big City","Yes",20,"Community Health","Asian","Divine Guidance","Muslim",0,300,"closely","Bernie Sanders",0,10,10,10,10,10,4,4,6,7,10,0,7,3,10,10,7,10,"Independent",5,8,0,10,0,30,"Yes"
"Female","Yes","Big City Subrub","Not Sure",19,"Food Science","White","Divine Guidance","Jewish",4,100,"some","Bernie Sanders",2,9,9,8,8,8,6,4,6,9,9,4,8,8,7,8,7,7,"Democrat",4,7,5,8,10,100,"Unsure"
"Male","No","Big City Subrub","Yes",18,"DGS","Other","Evolution","Agnostic",0,100,"some","Bernie Sanders",3,8,9,9,10,10,10,0,9,9,8,0,10,10,10,10,6,0,"Democrat",0,0,10,8,0,100,"Yes"
"Female","No","Big City","Yes",18,"Mathematics","Hispanic","Divine Guidance","Christian",7,56,"very closely","Bernie Sanders",2,10,8,10,10,10,10,8,7,10,10,1,10,2,5,5,5,10,"Democrat",10,10,7,10,10,40,"Yes"
"Female","No","Big City Subrub","Not Sure",18,"Undeclared","Black","Creationism","Agnostic",4,100,"some","Bernie Sanders",2,4,0,9,10,8,1,3,2,5,10,3,4,2,1,5,6,9,"Democrat",6,10,6,8,0,0,"Unsure"
"Female","No","Big City Subrub","Yes",18,"Kinesiology","White","Evolution","Christian",3,70,"some","Bernie Sanders",7,5,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,"Democrat",3,3,7,8,30,10,"Unsure"
"Female","No","Big City Subrub","Yes",18,"UNDECLARED","Black","Creationism","Christian",8,647,"some","Bernie Sanders",0,5,6,7,10,10,2,1,5,8,10,3,5,5,5,8,7,10,"Democrat",10,10,5,6,10,20,"Unsure"
"Female","No","Big City Subrub","Yes",20,"nutrition","Asian","Evolution","Agnostic",4,60,"some","Bernie Sanders",2,8,6,8,8,8,5,1,8,8,8,5,8,5,5,2,4,8,"Democrat",9,10,4,5,10,20,"No"
"Female","No","Big City Subrub","Yes",18,"Food Science","Asian","None of the above","Agnostic",0,99,"Not at all","Unsure",7,6,6,5,4,3,2,5,5,2,3,3,3,3,0,3,1,4,"Other",-1,-1,3,10,0,100,"Unsure"
"Female","Yes","Big City Subrub","Yes",18,"undeclaired","White","Divine Guidance","Christian",7,100,"some","Ted Cruz",7,2,9,5,7,8,3,7,2,9,4,1,1,1,6,8,1,0,"Republican",0,2,4,10,0,90,"Yes"
"Female","Yes","Big City Subrub","Yes",19,"Special Education","White","Creationism","Christian",8,30,"some","Marco Rubio",10,2,10,2,8,8,8,10,8,5,1,6,0,10,0,9,4,10,"Republican",10,10,8,8,0,100,"Yes"
"Female","Yes","Big City Subrub","Yes",18,"Advertising","White","Creationism","Christian",7,100,"very closely","John Kacich",7,4,8,5,10,9,7,6,10,4,2,4,7,7,5,10,8,5,"Republican",10,10,5,10,0,70,"Yes"
"Female","No","Medium City","Yes",20,"Middle Grades Education","White","Divine Guidance","Christian",8,50,"some","Hillary Clinton",5,7,7,5,8,8,5,3,7,5,7,4,7,7,6,10,7,6,"Independent",6,10,8,9,0,20,"Yes"
"Male","No","Big City","Yes",19,"Agricultural consumer economics","Asian","Divine Guidance","Buddhist",3,3000,"some","Bernie Sanders",5,7,8,9,9,5,5,7,8,6,6,3,7,7,5,3,3,8,"Other",-1,-1,2,8,0,100,"No"
"Female","No","Big City","Yes",20,"Undeclared","Black","None of the above","Christian",9,100,"some","Hillary Clinton",7,6,10,10,10,8,9,8,10,8,9,2,3,10,7,10,8,10,"Democrat",10,10,7,9,15,0,"Yes"
