"gender","greek","homeTown","ethnicity","religion","religious","ACT","GPA","partyHr","drinks","sexPartners","relationships","firstKissAge","favLifePeriod","hoursCallParents","socialMedia","texts","gayMarriage","triedGaySex","abortion","politics","poverty","goodOrWell","parentRelationship","workHr","tuition","career"
"Female","No","big_city","Asian","Muslim",6,31,3.5,3,0,0,0,"still_waiting","High_School",4,3,20,5,"No",4,3,3,5,6,0,100,"Nervous"
"Male","Yes","suburbs","White","Christian",5,31,3.1,15,40,0,1,"13","High_School",2,2,9,1,"No",0,8,5,5,5,0,80,"Grad School"
"Female","No","Medium_City","Asian","Hindu",10,29,3.8,0,0,0,0,"still_waiting","High_School",20,0,2,5,"No",8,5,6,8,9,0,100,"Nervous"
"Female","Yes","suburbs","White","Christian",2,27,3.8,7,10,0,0,"16","College",13,4,5,5,"No",5,5,7,8,10,0,90,"Grad School"
"Female","Yes","Medium_City","White","Christian",7,30,3.5,4,3,1,1,"16","High_School",20,4,6,6,"No",9,7,7,5,10,5,90,"Some Idea"
"Female","No","Medium_City","Asian","Christian",1,36,3.2,1,0,0,0,"still_waiting","middle_school",1,3,4,5,"No",0,7,7,7,8,0,100,"Nervous"
"Female","No","suburbs","Black","Christian",8,26,3.7,1,0,0,1,"15","High_School",1,2,4,1,"No",1,1,5,5,9,30,30,"Grad School"
"Male","No","suburbs","Other","Christian",7,25,3.3,2,0,0,0,"still_waiting","College",1,2,8,6,"No",2,5,7,5,9,0,50,"Concrete Plan"
"Female","No","big_city","Asian","Christian",0,31,2.7,0,1,3,2,"18","College",0,3,9,4,"No",5,4,8,8,8,0,100,"Some Idea"
"Male","No","big_city","Asian","Christian",9,25,1.5,5,0,0,0,"still_waiting","College",1,3,11,10,"No",6,7,5,4,7,10,90,"Nervous"
"Female","Yes","Small_Town","White","Agnostic",2,27,3.5,4,4,0,2,"14","College",4,2,5,0,"No",4,4,2,5,5,0,90,"Some Idea"
"Female","Yes","suburbs","White","Other",2,27,3.2,4,3,3,1,"14","College",1,1,4,0,"No",0,5,5,5,8,0,70,"Some Idea"
"Female","Yes","Medium_City","Other","Other",8,34,3.9,4,2,0,2,"15","College",3,1,4,0,"No",9,4,4,4,10,0,60,"Concrete Plan"
"Female","No","big_city","Asian","Atheist",0,30,3.7,3,0,0,0,"still_waiting","College",1,2,10,0,"No",0,4,6,8,8,0,100,"Some Idea"
"Female","No","suburbs","Asian","Christian",7,30,3.3,10,5,0,1,"18","1st_5th_grade",11,5,7,5,"No",7,5,4,0,5,0,30,"Concrete Plan"
"Female","Yes","Small_Town","White","Christian",1,34,3.9,2,1,0,0,"still_waiting","College",1,1,3,0,"No",5,7,3,6,4,0,40,"Some Idea"
"Female","No","Medium_City","White","Christian",7,21,3.5,15,25,1,0,"16","High_School",2,1,2,7,"Yes",5,5,5,2,3,0,10,"Some Idea"
"Female","Yes","big_city","White","Christian",8,28,3.3,15,12,5,1,"14","College",2,5,6,0,"No",9,7,6,7,8,15,100,"Grad School"
"Female","No","Medium_City","Asian","Atheist",0,31,4,1,0,0,1,"still_waiting","middle_school",5,3,10,4,"No",5,5,8,7,9,0,100,"Some Idea"
"Female","Yes","big_city","White","Jewish",5,26,3.1,5,4,0,0,"15","middle_school",10,7,5,2,"No",3,5,5,5,9,0,70,"No Idea"
"Male","No","big_city","Asian","Christian",10,26,3.4,0,0,0,0,"3","0_Kindergarten",0,0,0,0,"Yes",0,0,0,0,0,0,0,"No Idea"
"Female","Yes","suburbs","Asian","Agnostic",0,30,3.4,15,22,1,1,"12","College",6,9,7,0,"No",5,0,3,5,10,0,100,"Nervous"
"Female","No","suburbs","Asian","Other",2,31,2.7,5,3,0,0,"still_waiting","0_Kindergarten",10,4,6,0,"Yes",0,3,5,5,10,15,100,"No Idea"
"Female","Yes","Small_Town","White","Jewish",5,33,3.5,12,15,8,2,"16","College",6,4,10,0,"No",0,5,4,7,9,0,90,"Nervous"
"Female","No","suburbs","Asian","Christian",4,32,3.4,0,0,0,1,"17","College",0,2,2,5,"Yes",5,5,5,3,10,0,90,"Nervous"
"Female","Yes","suburbs","Hispanic","Christian",2,21,3.1,4,4,5,5,"13","College",5,5,2,0,"No",5,5,7,4,9,0,90,"Concrete Plan"
"Female","No","big_city","Black","Other",1,22,2.8,10,5,10,0,"16","middle_school",0,5,5,0,"Yes",0,2,5,4,1,15,0,"Nervous"
"Female","Yes","big_city","White","Atheist",0,31,2,15,25,12,4,"12","College",0,3,4,0,"Yes",1,0,3,3,0,0,100,"Nervous"
"Female","No","big_city","White","Atheist",0,36,3.8,0,0,4,1,"17","1st_5th_grade",7,2,5,0,"Yes",0,0,0,0,6,0,80,"Grad School"
"Female","No","Small_Town","Asian","Hindu",6,32,3.8,0,0,0,0,"still_waiting","College",7,0,4,5,"No",5,5,5,5,8,0,100,"Other"
"Male","No","suburbs","Asian","Buddhist",5,31,3.8,0,0,0,1,"16","High_School",0,5,5,2,"No",0,5,7,9,8,0,100,"Grad School"
"Female","No","suburbs","White","Christian",4,32,3.6,0,0,0,0,"still_waiting","High_School",3,5,4,0,"No",3,7,6,7,10,0,80,"Grad School"
"Male","No","Small_Town","White","Christian",0,27,3.2,0,0,0,0,"17","1st_5th_grade",1,3,3,0,"No",2,1,5,8,10,0,90,"Nervous"
"Female","Yes","suburbs","White","Christian",7,25,4,15,20,0,0,"18","College",2,2,7,9,"No",1,4,5,5,10,0,70,"Grad School"
"Female","No","big_city","Black","Christian",10,16,3.5,1,0,2,2,"13","High_School",4,5,6,0,"No",3,5,0,10,7,15,60,"Nervous"
"Female","Yes","Small_Town","Hispanic","Christian",8,25,3.5,0,0,1,1,"15","High_School",6,2,3,7,"No",8,10,8,5,9,0,60,"No Idea"
"Male","No","suburbs","Black","Christian",5,24,1.8,13,37,1,1,"15","College",1,2,4,2,"No",0,1,4,8,8,0,100,"Grad School"
"Female","No","Small_Town","White","Agnostic",0,31,3.5,0,0,2,2,"16","1st_5th_grade",5,2,5,0,"No",0,0,5,0,10,0,0,"Grad School"
"Male","Yes","suburbs","Black","Christian",4,22,2.8,4,3,5,4,"14","College",7,4,1,5,"No",5,5,5,5,4,15,30,"Nervous"
"Female","No","suburbs","Black","Christian",7,25,3.5,12,5,2,0,"16","High_School",2,4,4,2,"No",0,3,5,5,7,0,100,"Nervous"
"Female","No","big_city","Asian","Buddhist",3,32,3.3,2,0,10,3,"16","High_School",14,5,0,10,"No",5,5,5,5,5,0,10,"Nervous"
"Male","No","Medium_City","Asian","Agnostic",0,30,2.6,0,0,0,1,"15","High_School",7,2,4,5,"No",5,5,5,5,5,0,0,"Other"
"Female","Yes","big_city","Black","Christian",6,19,3.6,10,8,0,1,"still_waiting","College",4,3,4,0,"Yes",0,0,0,5,8,20,10,"Some Idea"
"Female","No","Small_Town","Other","Atheist",0,26,3.6,6,10,9,1,"14","College",1,2,3,0,"No",0,4,7,3,6,0,0,"Nervous"
"Male","No","suburbs","White","Agnostic",1,28,3.9,0,0,0,0,"19","College",0,2,1,0,"No",0,1,7,1,10,0,100,"Grad School"
"Male","Yes","suburbs","Hispanic","Christian",8,26,3.6,6,25,2,2,"13","High_School",10,1,4,10,"No",10,10,10,8,10,0,100,"Grad School"
"Male","No","Medium_City","Asian","Hindu",5,31,3.6,8,16,0,0,"still_waiting","0_Kindergarten",5,1,15,0,"No",3,3,2,3,6,5,30,"Nervous"
"Female","Yes","suburbs","White","Christian",3,24,3.3,9,10,1,2,"14","College",6,2,3,0,"No",0,2,5,4,10,5,10,"Nervous"
"Female","No","suburbs","Other","Atheist",0,28,3.5,4,5,1,1,"14","College",4,1,4,0,"No",0,2,3,7,8,0,0,"Grad School"
"Male","No","suburbs","Asian","Muslim",10,29,3.5,1,0,0,0,"18","College",7,1,12,10,"No",10,3,4,0,7,0,100,"Grad School"
"Female","Yes","Small_Town","White","Christian",6,29,3.6,18,30,4,1,"16","College",1,2,50,2,"No",2,3,8,6,3,0,50,"No Idea"
"Female","No","big_city","Asian","Muslim",7,32,3.5,4,0,0,0,"still_waiting","College",6,1,4,0,"No",0,4,4,5,7,10,0,"Nervous"
"Female","Yes","suburbs","White","Jewish",3,28,3.9,6,8,0,0,"16","High_School",5,2,6,0,"No",0,2,4,3,9,0,100,"Grad School"
"Female","No","Medium_City","Asian","Agnostic",5,29,3.6,0,0,0,1,"15","0_Kindergarten",0,2,3,5,"No",5,5,5,7,9,0,100,"Grad School"
"Male","No","Medium_City","White","Christian",1,32,2.5,5,4,2,1,"16","College",1,1,4,0,"No",5,5,5,5,9,0,50,"Nervous"
"Female","Yes","suburbs","White","Christian",6,29,2.8,15,20,1,0,"15","College",1,3,6,2,"No",3,4,3,5,9,0,80,"Some Idea"
"Male","Yes","Medium_City","Asian","Christian",10,34,3.7,0,0,2,2,"18","College",1,4,0,10,"No",10,2,7,5,10,15,0,"No Idea"
"Female","Yes","Small_Town","White","Christian",7,25,2.8,6,10,3,2,"16","College",4,5,6,5,"Yes",10,8,6,6,8,20,50,"Concrete Plan"
"Female","No","suburbs","Asian","Agnostic",0,29,3.5,0,0,0,0,"19","1st_5th_grade",0,0,2,0,"No",0,5,5,5,9,0,100,"Grad School"
"Female","No","suburbs","Asian","Buddhist",0,30,3.3,5,0,1,1,"14","College",1,8,2,0,"Yes",0,2,4,7,8,15,20,"Grad School"
"Female","No","Medium_City","Asian","Muslim",6,27,3.2,2,0,0,0,"13","1st_5th_grade",2,4,3,5,"No",4,6,4,5,7,0,100,"Grad School"
"Male","No","suburbs","Asian","Muslim",7,30,3,2,0,0,1,"still_waiting","1st_5th_grade",1,1,10,3,"No",4,3,3,6,8,5,60,"Grad School"
"Female","No","Medium_City","White","Christian",5,31,3.7,2,0,2,0,"still_waiting","College",7,2,6,1,"No",1,0,5,4,7,5,100,"Other"
"Female","No","big_city","Other","Agnostic",2,29,3.1,25,10,5,3,"13","High_School",4,4,10,0,"Yes",0,1,3,5,10,0,80,"Nervous"
"Female","Yes","suburbs","White","Christian",4,29,3.5,7,5,0,1,"16","College",1,2,5,0,"No",2,7,2,1,9,15,10,"Nervous"
"Female","No","Small_Town","White","Christian",8,25,2.9,5,4,1,1,"14","College",6,2,4,0,"No",9,4,4,3,10,10,20,"Nervous"
"Female","Yes","suburbs","Black","Christian",7,21,3.3,10,5,3,0,"18","High_School",3,5,4,0,"Yes",0,0,5,5,4,5,0,"Nervous"
"Female","Yes","Small_Town","White","Christian",10,32,3.8,3,0,0,0,"14","College",7,1,15,10,"No",10,5,5,0,10,5,0,"Grad School"
"Male","Yes","suburbs","White","Other",5,33,2.8,2,6,22,3,"14","College",2,0,3,0,"No",0,8,6,8,9,0,100,"Other"
"Female","No","suburbs","White","Christian",10,30,3.9,1,0,0,0,"18","High_School",1,1,6,10,"No",10,7,5,2,7,0,100,"Concrete Plan"
"Female","No","Medium_City","White","Christian",6,24,3,0,0,1,1,"12","High_School",5,2,2,2,"No",0,9,7,5,10,20,80,"Nervous"
"Male","No","big_city","Hispanic","Agnostic",0,21,3.6,0,1,5,5,"15","College",1,1,1,0,"No",0,5,5,5,8,0,0,"Concrete Plan"
"Female","No","suburbs","Asian","Muslim",8,32,3.2,3,0,0,0,"still_waiting","High_School",1,5,6,0,"No",5,1,5,8,3,10,100,"Concrete Plan"
"Male","No","big_city","Asian","Agnostic",0,26,2.9,0,0,0,0,"still_waiting","0_Kindergarten",7,4,1,9,"No",2,6,2,10,10,10,20,"Some Idea"
"Female","Yes","Medium_City","White","Christian",6,26,3.4,5,5,0,0,"16","1st_5th_grade",2,3,10,0,"No",1,5,6,5,7,0,100,"No Idea"
"Female","Yes","suburbs","White","Christian",5,33,2.9,6,6,5,0,"17","College",1,1,8,0,"No",2,5,5,4,4,0,100,"Nervous"
"Female","Yes","Medium_City","White","Christian",6,26,3.4,16,10,1,2,"15","1st_5th_grade",2,2,3,0,"No",1,5,5,7,8,0,100,"Grad School"
"Female","Yes","suburbs","White","Christian",7,30,3.8,15,25,0,0,"15","College",1,5,8,0,"No",1,2,2,4,9,0,100,"Grad School"
"Female","No","Small_Town","White","Other",3,28,3.2,5,5,1,1,"18","College",1,2,2,4,"No",8,5,8,3,10,15,10,"Nervous"
"Male","No","Medium_City","Asian","Hindu",5,24,3,0,0,1,0,"still_waiting","High_School",1,3,2,7,"No",3,5,7,2,9,0,100,"Nervous"
"Male","No","suburbs","Asian","Christian",8,32,4,0,0,0,1,"17","High_School",0,5,15,9,"No",8,8,5,5,7,0,100,"Nervous"
"Female","Yes","big_city","Black","Christian",10,21,3,2,1,5,3,"14","College",15,3,4,0,"No",0,0,5,0,10,15,0,"Grad School"
"Female","Yes","suburbs","White","Christian",3,30,2.7,12,15,1,1,"14","High_School",2,6,13,0,"Yes",2,6,5,6,9,0,100,"Grad School"
"Female","No","big_city","Black","Christian",2,27,3,5,0,1,2,"16","College",5,3,5,0,"No",0,2,3,7,10,0,0,"Nervous"
"Female","No","Small_Town","Black","Christian",7,25,3.5,2,0,0,1,"18","College",0,2,1,5,"No",8,5,7,6,8,0,40,"Concrete Plan"
"Female","Yes","suburbs","White","Christian",6,27,3.4,7,5,4,1,"13","College",7,1,5,2,"No",2,5,5,6,10,10,90,"Nervous"
"Female","Yes","suburbs","White","Christian",8,31,3.6,10,15,5,2,"14","College",4,4,5,0,"No",4,6,6,5,10,0,80,"Grad School"
"Male","No","big_city","Black","Christian",10,18,2.5,10,5,1,0,"15","College",50,10,20,5,"No",8,5,5,10,10,0,0,"Grad School"
"Female","No","suburbs","Asian","Christian",10,32,4,8,0,0,0,"still_waiting","1st_5th_grade",3,3,1,10,"No",6,2,8,3,10,0,0,"Nervous"
"Female","No","suburbs","Asian","Christian",10,28,3.6,2,1,0,1,"18","middle_school",14,1,3,10,"No",10,7,4,5,10,0,100,"Grad School"
"Male","Yes","suburbs","White","Christian",3,29,2.3,12,30,21,2,"12","High_School",1,1,4,0,"No",0,3,3,7,7,0,100,"Nervous"
"Male","No","big_city","Asian","Agnostic",0,30,3.9,0,0,5,4,"18","1st_5th_grade",2,1,1,5,"No",5,3,3,6,9,10,90,"Concrete Plan"
"Female","Yes","big_city","Other","Christian",5,31,3.4,4,5,0,0,"18","College",2,1,9,0,"No",2,2,4,4,9,0,50,"Grad School"
"Female","No","Small_Town","Asian","Agnostic",0,33,3.5,6,4,0,0,"18","College",2,3,4,1,"Yes",1,3,4,3,7,0,80,"Some Idea"
"Female","No","Small_Town","White","Christian",0,25,3.9,7,5,1,1,"15","College",1,1,7,0,"No",2,0,1,0,5,0,100,"No Idea"
"Male","No","suburbs","Asian","Hindu",6,33,4,2,0,0,0,"still_waiting","College",7,2,10,0,"No",3,4,3,5,10,0,70,"Grad School"
"Female","Yes","big_city","White","Jewish",6,28,3.9,16,18,8,0,"13","College",1,3,6,0,"No",0,3,7,6,9,5,100,"Nervous"
"Male","No","big_city","Asian","Atheist",0,29,3.6,0,0,0,0,"still_waiting","middle_school",0,0,2,0,"No",2,5,5,8,7,0,90,"No Idea"
"Female","Yes","suburbs","White","Christian",6,27,2.7,8,8,6,0,"15","College",3,2,14,3,"No",1,4,2,5,7,0,100,"Grad School"
"Female","Yes","suburbs","Other","Christian",5,28,3.5,6,3,0,0,"18","College",7,10,10,2,"No",3,3,5,6,10,0,80,"Nervous"
"Female","Yes","Small_Town","White","Christian",8,30,4,1,0,0,2,"15","College",7,3,3,3,"No",8,8,7,5,9,0,100,"Nervous"
"Female","Yes","suburbs","White","Christian",5,26,3.6,5,8,0,0,"17","High_School",2,4,9,0,"No",1,1,4,2,9,0,60,"Some Idea"
"Male","No","Medium_City","Asian","Other",5,28,3,0,0,2,5,"12","High_School",9,2,2,3,"Yes",6,6,6,6,3,5,100,"Some Idea"
"Male","Yes","big_city","Hispanic","Christian",6,26,3.4,6,10,0,0,"13","College",2,1,7,8,"No",7,3,5,6,9,0,10,"Nervous"
"Female","No","suburbs","Black","Agnostic",1,26,2.8,0,1,0,0,"14","middle_school",1,2,3,10,"Yes",7,1,5,3,6,20,0,"No Idea"
"Male","No","suburbs","White","Christian",8,31,2.8,0,0,1,0,"16","High_School",2,1,3,0,"No",5,7,7,3,9,10,30,"Nervous"
"Male","No","Small_Town","White","Christian",5,29,2.6,8,9,2,1,"14","High_School",3,2,3,2,"No",4,7,8,5,10,0,0,"Nervous"
"Female","No","big_city","Asian","Muslim",8,26,3.5,0,0,0,1,"16","middle_school",6,6,4,4,"No",10,4,5,4,9,10,20,"Nervous"
"Female","Yes","Medium_City","White","Christian",6,27,3.4,17,25,3,1,"14","College",1,4,10,9,"No",6,8,6,7,5,0,100,"No Idea"
"Male","No","big_city","Asian","Christian",6,26,3.9,0,0,0,1,"still_waiting","High_School",1,3,2,7,"No",9,5,6,8,8,0,100,"Nervous"
"Female","No","Small_Town","White","Christian",8,31,3,5,5,1,1,"16","College",2,1,7,1,"No",5,8,4,2,6,0,70,"Nervous"
"Female","Yes","Medium_City","White","Christian",4,27,2.8,1,5,1,1,"16","College",3,2,4,3,"No",3,7,5,9,9,10,100,"Nervous"
"Female","Yes","big_city","White","Christian",7,25,3.6,27,17,23,1,"14","College",1,5,4,1,"No",0,0,4,9,6,0,90,"Concrete Plan"
"Male","No","big_city","White","Christian",0,25,3.2,15,30,9,2,"14","College",10,10,15,0,"No",0,10,10,10,10,0,90,"No Idea"
"Male","No","Small_Town","White","Christian",5,21,3.6,4,8,10,2,"13","College",1,1,10,6,"No",8,8,9,6,7,0,0,"Some Idea"
"Female","No","suburbs","Other","Agnostic",4,22,3.1,16,12,10,3,"10","College",3,3,3,0,"Yes",0,0,0,0,6,10,0,"Nervous"
"Male","No","suburbs","White","Christian",8,32,2.7,15,15,2,1,"17","College",10,2,7,2,"No",0,5,5,5,7,0,40,"Grad School"
"Female","No","big_city","Hispanic","Other",4,22,2.4,4,0,2,1,"14","College",7,4,3,0,"No",5,5,6,0,0,10,20,"Other"
"Female","No","suburbs","Asian","Muslim",6,33,3.3,5,0,2,1,"16","College",8,2,6,2,"No",1,3,3,0,2,0,100,"Grad School"
"Female","No","big_city","Black","Christian",8,22,3.2,0,0,2,0,"18","College",15,1,3,0,"Yes",0,5,5,5,9,20,0,"Nervous"
"Male","No","big_city","Black","Other",3,21,2.8,0,0,1,3,"11","College",1,1,3,0,"No",3,4,3,5,8,5,10,"Nervous"
"Female","No","suburbs","Hispanic","Christian",3,27,3.8,4,9,2,1,"17","High_School",3,5,2,0,"No",3,3,7,7,9,0,90,"Nervous"
"Female","No","suburbs","White","Agnostic",0,31,3.2,10,5,4,2,"15","middle_school",3,3,3,0,"No",0,2,5,4,4,10,20,"Nervous"
"Male","No","suburbs","Asian","Agnostic",2,27,3.4,6,5,0,0,"still_waiting","College",2,3,4,0,"No",0,4,8,7,10,0,100,"Other"
"Female","No","suburbs","Asian","Christian",3,28,3.5,1,4,1,1,"14","1st_5th_grade",6,2,2,0,"Yes",3,2,3,8,8,0,100,"Nervous"
"Female","No","suburbs","Asian","Christian",1,31,2.6,4,2,10,2,"15","College",3,4,2,0,"No",0,0,3,4,8,10,100,"No Idea"
"Male","Yes","suburbs","White","Agnostic",0,34,2.8,7,15,3,1,"17","College",0,1,5,0,"Yes",0,1,3,5,8,0,90,"Nervous"
"Male","No","suburbs","White","Atheist",0,30,3.5,6,10,1,1,"16","College",1,5,7,0,"No",0,3,5,9,9,0,70,"Nervous"
"Male","Yes","big_city","Hispanic","Agnostic",0,29,2.6,6,0,3,1,"12","0_Kindergarten",6,1,4,0,"No",5,3,4,1,9,15,50,"Some Idea"
"Female","No","big_city","Asian","Atheist",0,29,2.1,5,5,0,0,"still_waiting","High_School",7,3,7,0,"No",0,2,0,6,10,0,100,"Some Idea"
"Female","No","big_city","Hispanic","Christian",7,24,3.3,10,4,4,1,"15","High_School",2,2,5,2,"Yes",5,5,5,5,5,5,50,"No Idea"
"Female","No","big_city","Black","Other",5,17,2.5,2,1,1,0,"10","College",1,0,10,0,"No",10,10,5,7,10,15,0,"Concrete Plan"
"Female","No","big_city","White","Christian",6,25,3.7,20,20,0,0,"16","High_School",15,4,5,0,"No",0,3,5,6,10,0,70,"Concrete Plan"
"Female","Yes","suburbs","White","Christian",7,25,3.7,7,16,2,2,"15","1st_5th_grade",8,2,6,0,"No",0,5,10,0,9,0,100,"Nervous"
"Female","No","suburbs","White","Other",8,25,3.8,0,0,1,1,"16","1st_5th_grade",2,1,5,0,"Yes",1,5,8,0,9,0,0,"Some Idea"
"Male","Yes","Small_Town","Other","Atheist",10,12,1,50,50,49,2,"3","0_Kindergarten",50,0,50,0,"Yes",5,0,10,5,5,50,100,"Other"
"Female","No","Medium_City","Other","Agnostic",0,31,4,0,0,50,0,"3","0_Kindergarten",50,0,0,0,"No",0,2,3,4,0,20,0,"Other"
"Female","No","big_city","Asian","Buddhist",0,31,3.3,0,5,1,1,"18","College",0,2,5,0,"Yes",0,0,1,0,2,5,30,"Grad School"
"Female","Yes","suburbs","Other","Atheist",0,27,3.2,8,14,8,2,"15","College",2,2,4,0,"No",0,2,2,2,8,0,100,"Some Idea"
"Female","Yes","suburbs","White","Christian",2,32,2.8,22,20,8,0,"18","College",3,2,11,0,"No",3,2,7,4,9,0,20,"Nervous"
"Female","No","Medium_City","Black","Christian",8,30,3.8,8,7,0,1,"18","College",6,2,8,8,"No",10,5,3,3,8,0,70,"Nervous"
"Female","No","suburbs","Black","Christian",7,26,2.8,13,13,7,4,"13","College",7,3,6,0,"No",2,3,4,5,8,15,80,"Grad School"
"Female","No","big_city","Hispanic","Christian",8,26,2.7,0,0,1,1,"13","High_School",2,5,6,0,"No",10,0,3,3,8,0,80,"Some Idea"
"Female","Yes","Small_Town","White","Christian",7,26,3.5,16,8,0,1,"14","College",5,5,10,4,"No",3,5,4,6,9,15,30,"Nervous"
"Female","No","suburbs","Asian","Christian",10,33,3.9,0,0,0,0,"still_waiting","College",1,5,3,10,"No",10,5,7,3,8,0,30,"Nervous"
"Male","No","big_city","Asian","Muslim",5,30,3.4,0,0,0,0,"still_waiting","College",6,0,4,5,"No",5,8,9,8,7,0,10,"Other"
"Female","No","Medium_City","White","Christian",7,30,3.1,2,1,0,0,"still_waiting","High_School",5,2,4,7,"No",2,6,5,4,10,0,100,"Nervous"
"Female","Yes","suburbs","White","Christian",6,30,1.8,12,12,1,1,"15","High_School",3,4,11,0,"No",3,5,5,7,8,0,100,"Some Idea"
"Female","No","Medium_City","White","Christian",5,24,3,10,10,2,1,"13","High_School",4,3,5,2,"No",9,9,5,5,9,0,90,"Nervous"
"Female","No","big_city","White","Agnostic",5,27,3.1,8,8,0,0,"15","middle_school",2,5,7,2,"Yes",4,3,3,7,8,0,100,"Some Idea"
"Female","No","big_city","White","Atheist",3,32,3.9,0,0,2,1,"17","College",9,1,5,0,"No",3,3,4,3,3,0,100,"Concrete Plan"
"Female","No","Medium_City","Asian","Christian",7,29,3.4,0,0,2,2,"18","College",6,0,2,1,"No",8,3,6,6,9,0,50,"Nervous"
"Female","No","suburbs","Asian","Christian",7,23,3.5,0,1,3,0,"13","College",4,3,4,5,"Yes",10,3,8,4,8,10,80,"Grad School"
"Female","No","big_city","Asian","Other",0,30,3.8,1,0,0,0,"still_waiting","High_School",3,5,6,3,"No",4,2,4,7,8,0,100,"Some Idea"
"Female","No","big_city","Asian","Agnostic",1,27,3.3,3,3,1,1,"14","High_School",3,4,6,0,"No",0,4,5,5,8,10,10,"Grad School"
"Female","No","Small_Town","White","Jewish",1,30,2.7,2,4,2,1,"15","College",1,3,6,0,"No",1,5,4,2,7,0,0,"Some Idea"
"Female","No","Small_Town","Other","Agnostic",7,29,3.7,0,1,2,2,"15","High_School",2,2,6,0,"No",0,3,3,3,10,0,100,"Grad School"
"Female","No","Small_Town","White","Christian",8,24,2.8,2,2,2,0,"21","College",0,2,5,1,"Yes",6,5,4,8,7,0,0,"Concrete Plan"
"Female","Yes","suburbs","Hispanic","Other",1,29,3,9,15,13,3,"16","College",7,3,7,0,"Yes",0,1,3,1,10,20,50,"Concrete Plan"
"Female","No","big_city","Hispanic","Christian",8,28,1.6,8,3,0,1,"14","College",7,4,2,0,"No",5,5,7,4,10,0,100,"Concrete Plan"
"Male","No","suburbs","White","Christian",1,24,3.1,0,0,1,1,"14","College",3,2,8,3,"No",1,6,8,9,9,0,20,"Concrete Plan"
"Female","Yes","suburbs","White","Christian",6,27,4,4,10,1,1,"16","College",3,2,11,2,"Yes",0,6,8,1,10,0,20,"Concrete Plan"
"Female","No","Medium_City","Asian","Buddhist",10,30,3.6,1,0,1,4,"still_waiting","middle_school",2,3,10,5,"No",5,5,5,5,5,5,80,"Some Idea"
"Female","Yes","Small_Town","White","Christian",4,28,2.3,8,10,6,0,"18","College",1,1,5,10,"No",4,6,8,2,10,10,90,"Nervous"
"Female","Yes","suburbs","Other","Christian",7,24,3.4,16,40,3,0,"15","College",3,3,3,0,"No",3,7,5,10,7,0,80,"No Idea"
"Female","No","suburbs","White","Atheist",0,31,3.3,0,0,2,2,"16","College",2,4,3,0,"Yes",0,2,3,1,9,0,10,"Grad School"
"Female","Yes","suburbs","White","Christian",4,29,3.5,1,3,1,1,"14","High_School",3,0,7,0,"No",0,3,8,3,8,0,100,"Concrete Plan"
"Male","Yes","big_city","Asian","Christian",6,34,3.8,3,5,5,2,"19","High_School",3,4,4,7,"No",6,5,5,5,5,10,100,"Grad School"
"Male","Yes","suburbs","Hispanic","Christian",5,29,3.1,15,16,6,1,"14","College",1,2,3,0,"No",0,5,5,3,10,0,90,"Nervous"
"Female","Yes","suburbs","White","Jewish",3,30,3.9,18,25,4,0,"15","1st_5th_grade",3,5,5,0,"No",5,3,7,5,9,10,50,"Nervous"
"Male","Yes","suburbs","Asian","Hindu",7,25,3,4,4,1,1,"14","College",5,5,1,5,"No",0,5,5,10,8,0,100,"Nervous"
"Male","Yes","suburbs","White","Jewish",4,30,2,2,8,0,0,"13","High_School",5,0,3,0,"No",3,3,3,3,8,0,100,"No Idea"
"Male","Yes","suburbs","White","Christian",8,24,3.8,10,16,0,1,"14","High_School",6,3,5,1,"No",2,2,8,6,10,0,90,"Some Idea"
"Female","No","suburbs","Black","Christian",1,23,2.9,10,10,0,1,"12","College",1,4,5,5,"No",1,1,2,9,10,0,0,"Concrete Plan"
"Male","No","suburbs","White","Christian",3,21,3.5,8,5,0,2,"17","College",3,4,3,4,"No",2,3,6,5,10,0,60,"Nervous"
"Male","Yes","suburbs","White","Christian",5,28,3.7,24,50,15,1,"13","College",3,3,2,8,"No",4,7,8,10,8,0,100,"Nervous"
"Female","Yes","suburbs","White","Christian",4,29,3.5,8,13,1,1,"16","High_School",1,4,10,0,"No",4,5,6,4,7,0,80,"Nervous"
"Female","No","big_city","Black","Christian",7,21,2.8,0,1,5,2,"15","High_School",21,10,6,0,"Yes",3,8,6,5,7,0,20,"Grad School"
"Female","No","Medium_City","Black","Christian",5,20,3.8,3,2,0,0,"17","middle_school",2,0,3,2,"No",10,3,8,2,8,5,20,"Nervous"
"Female","No","big_city","Black","Christian",10,25,2.8,2,12,1,1,"14","College",8,4,8,0,"No",0,0,3,5,9,0,10,"Grad School"
"Male","No","big_city","Hispanic","Christian",8,27,2.6,2,0,0,0,"still_waiting","High_School",2,5,7,3,"No",9,5,9,3,10,0,100,"No Idea"
"Male","No","suburbs","Asian","Hindu",7,33,3.4,6,6,2,1,"13","College",1,3,3,10,"No",4,3,4,5,9,0,100,"Concrete Plan"
"Female","Yes","Medium_City","White","Jewish",3,33,3.5,10,7,3,1,"15","0_Kindergarten",2,3,7,0,"No",0,1,2,3,3,5,100,"Grad School"
"Female","No","suburbs","Asian","Hindu",9,31,3.5,4,0,0,0,"17","College",4,2,8,1,"No",5,4,5,3,9,0,100,"Grad School"
