"gender","greek","homeTown","ethnicity","religion","religious","ACT","GPA","partyHr","drinks","sexPartners","relationships","firstKissAge","favLifePeriod","hoursCallParents","tweets","gayMarriage","triedGaySex","abortion","politics","poverty","goodOrWell","parentRelationship","workHr","tuition"
"Female","Yes","Small_Town","Black","Christian",3,23,2.2,2,0,2,2,"16","High_School",7,1,3,"Yes",3,3,5,5,8,15,70
"Female","No","suburbs","Black","Christian",7,23,2.5,8,6,0,1,"14","College",7,10,5,"No",5,5,0,0,10,10,60
"Female","No","big_city","Black","Christian",7,17,3.7,0,0,6,4,"15","middle_school",20,1,2,"No",2,0,5,0,9,10,0
"Male","No","big_city","Black","Christian",8,24,3.3,6,0,7,4,"13","High_School",4,8,6,"No",6,10,3,0,10,0,0
"Female","No","suburbs","Black","Christian",8,24,2.8,5,0,0,0,"14","High_School",2,2,9,"No",8,3,4,5,9,10,0
"Female","Yes","Medium_City","Black","Christian",6,28,3.5,14,15,3,1,"13","College",0,2,5,"No",9,8,8,0,7,15,0
"Female","No","big_city","Black","Christian",7,18,2.9,0,0,0,0,"16","College",1,1,0,"No",0,3,5,4,8,0,0
"Female","No","suburbs","Black","Christian",8,22,1.8,3,0,0,1,"16","middle_school",5,3,10,"Yes",10,0,6,5,9,5,10
"Male","No","big_city","Black","Christian",8,23,2.8,4,1,3,2,"11","College",1,0,5,"Yes",5,5,4,6,8,0,20
"Female","No","big_city","Black","Christian",7,28,3.7,4,1,1,1,"16","College",2,10,4,"No",0,2,5,5,8,10,10
"Female","No","Small_Town","Black","Christian",5,20,3.2,4,1,1,2,"14","middle_school",3,0,5,"No",3,5,10,10,6,10,40
"Male","No","Small_Town","Black","Muslim",3,30,3.1,0,0,2,0,"still_waiting","College",6,5,2,"No",1,2,3,7,9,0,80
"Male","No","big_city","Black","Christian",1,19,3.4,0,0,2,0,"12","High_School",10,25,5,"No",0,5,5,8,9,0,0
"Female","No","big_city","Black","Christian",6,17,3,1,0,14,3,"15","High_School",3,0,10,"No",7,5,6,10,5,15,50
"Female","No","big_city","Black","Christian",8,19,3,4,2,0,1,"17","College",3,4,9,"No",10,2,5,10,9,0,10
"Female","No","suburbs","Black","Christian",4,26,3.1,3,1,3,2,"18","College",15,4,9,"No",5,9,6,8,9,5,100
"Male","No","big_city","Black","Christian",7,21,2.8,5,0,30,1,"16","High_School",1,4,5,"No",5,5,3,0,8,10,0
"Female","No","Small_Town","Black","Christian",1,21,3,5,5,9,0,"13","High_School",7,2,0,"No",0,0,5,7,7,25,0
"Female","No","big_city","Black","Christian",6,20,3.2,5,1,1,2,"12","College",7,5,2,"No",0,2,5,5,9,15,30
"Female","No","Medium_City","Black","Other",1,21,3.6,5,0,0,1,"13","High_School",3,10,0,"No",3,5,5,5,4,0,0
"Male","No","Medium_City","Black","Christian",7,15,2.4,1,1,20,4,"9","High_School",4,10,5,"No",5,5,5,5,5,0,0
"Male","No","big_city","Black","Christian",6,22,3.2,3,4,1,2,"12","College",2,4,1,"No",8,4,7,6,10,0,20
"Female","No","Medium_City","Black","Christian",10,18,3.2,0,1,4,1,"14","College",9,0,10,"Yes",8,4,5,3,8,0,10
"Female","No","big_city","Black","Christian",3,26,3.3,4,1,0,0,"18","middle_school",5,0,2,"No",3,3,5,5,8,15,10
"Female","No","Medium_City","Black","Christian",6,21,2.8,1,0,1,1,"15","College",7,0,0,"No",5,0,5,0,9,10,0
"Male","No","big_city","Black","Christian",9,21,3.5,3,2,0,0,"still_waiting","College",2,0,10,"No",1,5,7,8,10,0,100
"Female","No","suburbs","Black","Christian",7,23,2.7,10,4,1,0,"17","1st_to_5th_grade",14,0,2,"No",6,4,5,6,9,0,10
"Male","No","suburbs","Black","Christian",3,26,3.2,4,0,11,5,"5","College",2,0,0,"No",5,4,4,0,8,5,20
"Female","No","suburbs","Black","Christian",6,21,3.3,4,2,1,1,"18","middle_school",4,2,10,"No",8,4,6,0,9,40,10
"Male","No","Medium_City","Black","Christian",7,25,2.4,6,1,0,0,"still_waiting","High_School",3,0,2,"No",4,2,2,5,8,0,90
"Female","No","suburbs","Black","Christian",8,27,3.3,10,10,2,1,"10","College",8,0,2,"Yes",4,3,5,6,6,15,20
"Female","No","big_city","Black","Christian",2,23,3,3,0,1,2,"3","College",5,6,1,"No",2,2,3,3,2,15,10
"Female","No","Small_Town","Black","Christian",8,18,2.9,1,1,3,2,"14","High_School",4,1,5,"No",2,5,5,0,9,0,0
"Male","No","big_city","Black","Other",3,20,2.8,1,0,1,2,"18","College",2,4,6,"No",0,3,9,4,10,10,0
"Female","No","suburbs","Hispanic","Christian",6,28,3.3,4,4,0,1,"16","College",4,0,7,"No",8,4,5,9,5,5,40
"Female","No","Medium_City","Hispanic","Other",7,22,3.4,1,1,2,2,"14","College",2,1,2,"No",2,2,5,0,9,5,100
"Female","Yes","big_city","Hispanic","Christian",5,22,3.3,4,10,1,1,"14","0_to_Kindergarten",3,0,0,"No",0,0,5,3,10,0,20
"Male","No","big_city","Hispanic","Other",6,23,3.7,12,10,1,1,"14","High_School",5,0,2,"No",2,3,6,8,9,15,10
"Female","No","big_city","Hispanic","Christian",2,26,3.1,0,0,0,0,"19","0_to_Kindergarten",14,0,0,"No",0,3,1,0,10,20,0
"Male","No","suburbs","Hispanic","Christian",0,21,2.6,0,0,15,2,"14","High_School",3,10,10,"No",5,5,4,10,9,0,70
"Male","No","suburbs","Hispanic","Christian",5,35,2.9,2,2,5,2,"15","High_School",10,0,10,"No",9,10,10,5,8,15,90
"Female","Yes","suburbs","Hispanic","Atheist",1,25,3.4,20,40,5,1,"11","College",3,3,1,"No",0,2,4,7,6,0,100
"Female","Yes","big_city","Hispanic","Christian",5,23,3.4,6,10,2,1,"19","College",20,0,0,"No",5,5,10,0,10,0,0
"Male","No","big_city","Hispanic","Other",4,17,3.3,2,4,2,1,"11","College",7,0,0,"Yes",2,3,5,5,10,0,0
"Female","No","big_city","Hispanic","Other",8,23,3.7,2,1,0,1,"18","College",7,0,0,"No",5,3,4,2,8,10,0
"Female","No","big_city","Hispanic","Christian",5,25,3.4,16,6,1,2,"15","College",7,0,1,"No",10,3,7,3,9,0,0
"Female","No","suburbs","Hispanic","Christian",3,24,3.6,3,0,9,2,"12","middle_school",3,0,0,"Yes",5,0,5,6,9,0,0
"Female","No","big_city","Hispanic","Christian",5,21,3.1,0,0,2,2,"16","High_School",7,3,0,"No",0,0,4,3,8,20,30
"Male","No","suburbs","Hispanic","Christian",4,23,3.3,5,3,3,2,"17","middle_school",1,0,0,"No",5,5,3,8,7,15,10
"Male","No","big_city","Hispanic","Christian",5,27,3.6,15,30,8,2,"13","High_School",3,7,2,"No",5,0,0,8,8,0,100
"Female","Yes","big_city","Hispanic","Other",0,24,2.8,3,3,3,1,"12","College",2,0,2,"No",0,5,7,0,8,0,100
"Female","No","suburbs","Hispanic","Other",3,27,3,24,20,2,1,"19","College",2,50,2,"No",0,2,5,5,9,10,90
"Female","No","big_city","Hispanic","Other",8,24,3.6,0,0,0,0,"still_waiting","middle_school",0,5,0,"No",0,3,10,2,10,0,0
"Female","No","suburbs","Hispanic","Other",7,21,2.8,1,0,0,1,"10","middle_school",2,0,1,"No",7,4,10,7,10,0,20
"Male","No","suburbs","Hispanic","Buddhist",0,33,3.8,0,0,0,1,"18","High_School",3,0,2,"No",2,7,7,6,8,0,60
"Male","No","Medium_City","Hispanic","Christian",8,23,3.6,0,0,0,1,"18","middle_school",1,0,5,"No",5,5,5,5,8,10,100
"Male","No","big_city","Hispanic","Christian",8,23,2.6,6,10,3,3,"13","College",1,0,0,"No",4,1,3,10,10,0,0
"Female","No","suburbs","Hispanic","Christian",5,20,3.3,0,0,1,2,"15","High_School",15,0,4,"No",7,4,5,6,10,10,10
"Female","Yes","suburbs","Hispanic","Christian",8,28,3.6,13,25,7,5,"13","High_School",6,4,0,"No",0,8,8,10,5,0,100
"Male","No","big_city","Hispanic","Christian",3,27,3.5,4,50,7,2,"7","College",1,0,0,"No",1,2,3,5,9,0,100
"Female","Yes","big_city","Hispanic","Agnostic",2,25,3.5,10,25,20,3,"13","High_School",5,0,0,"Yes",2,2,5,5,2,30,40
"Female","No","suburbs","Hispanic","Christian",7,28,3.7,5,1,1,1,"17","High_School",1,0,0,"Yes",2,4,1,4,10,0,0
"Female","Yes","suburbs","Hispanic","Other",5,25,3.1,4,5,5,2,"13","College",2,2,0,"No",0,3,5,5,9,10,0
"Female","Yes","Medium_City","Hispanic","Other",2,26,3.3,15,25,1,1,"16","College",1,1,0,"Yes",0,6,4,5,10,10,90
"Male","No","suburbs","Hispanic","Christian",0,23,3.6,4,5,50,4,"14","College",1,0,0,"Yes",0,2,7,1,10,0,0
"Female","No","Small_Town","Hispanic","Agnostic",0,25,3.4,0,0,1,0,"14","1st_to_5th_grade",3,0,0,"No",5,0,1,0,10,0,70
"Female","No","big_city","Hispanic","Atheist",0,27,3.6,0,0,1,1,"18","College",1,0,0,"Yes",0,0,5,7,7,20,0
"Female","No","big_city","Hispanic","Christian",5,21,3.4,5,1,1,2,"14","College",7,0,0,"No",0,1,2,2,9,0,0
"Female","No","suburbs","Hispanic","Christian",5,25,3.5,10,10,1,1,"17","High_School",3,3,6,"No",1,5,8,5,10,10,80
"Male","Yes","Medium_City","Hispanic","Atheist",0,27,3.6,0,0,6,2,"15","High_School",4,4,5,"No",0,6,5,5,10,0,10
"Female","No","Medium_City","Hispanic","Other",6,23,3.4,10,12,2,1,"17","College",5,3,0,"No",6,5,8,7,10,5,100
"Female","No","big_city","Hispanic","Christian",3,21,3.6,12,15,2,1,"15","College",2,5,0,"No",5,5,7,4,9,0,100
"Female","Yes","big_city","Hispanic","Other",4,23,3.8,8,10,1,0,"15","College",7,3,0,"No",0,2,5,0,10,0,0
"Female","No","big_city","Hispanic","Other",0,25,3.1,5,5,5,2,"13","College",5,0,0,"Yes",4,3,5,2,8,0,90
"Female","Yes","big_city","Hispanic","Other",2,23,3.6,3,2,2,1,"15","College",1,0,1,"No",0,2,4,3,6,5,10
"Female","No","suburbs","Hispanic","Christian",2,26,3,6,5,10,3,"16","College",3,0,0,"No",0,2,5,7,9,10,0
"Female","No","big_city","Hispanic","Christian",5,24,3.4,2,0,0,1,"16","College",14,0,0,"No",4,3,0,5,10,5,30
"Female","No","big_city","Hispanic","Atheist",0,26,2.6,4,2,6,2,"14","College",0,0,0,"No",3,4,5,7,8,0,10
"Female","No","Small_Town","Hispanic","Christian",8,24,3.5,10,10,0,1,"15","College",3,6,3,"No",2,5,8,7,10,0,80
"Male","Yes","suburbs","Hispanic","Atheist",0,24,3.8,5,6,1,1,"16","College",1,0,0,"No",9,2,7,3,10,5,50
"Female","No","suburbs","Hispanic","Christian",8,25,2.4,5,8,0,0,"12","High_School",14,0,1,"No",4,5,5,5,9,0,40
"Female","No","big_city","Hispanic","Christian",7,23,3.1,6,6,1,1,"16","High_School",3,0,4,"No",3,3,6,2,3,0,0
"Female","No","suburbs","Hispanic","Christian",6,30,4,10,6,1,1,"16","0_to_Kindergarten",5,0,0,"No",2,2,5,5,8,0,10
"Male","No","suburbs","Hispanic","Christian",2,23,2.6,4,5,5,0,"14","College",2,0,5,"No",5,5,4,10,10,0,70
"Male","No","suburbs","Hispanic","Atheist",0,30,3.8,0,0,1,2,"14","College",6,14,0,"No",0,4,3,3,9,5,0
"Female","No","Small_Town","Hispanic","Christian",7,26,3.9,4,2,0,1,"14","High_School",5,0,4,"No",6,5,6,4,9,10,10
"Female","No","big_city","Hispanic","Other",5,19,3.4,4,5,1,0,"18","College",2,0,10,"No",0,5,9,0,8,15,20
"Female","No","suburbs","Hispanic","Christian",6,29,3.4,0,1,1,1,"15","College",10,0,2,"No",7,6,5,2,9,0,100
"Female","No","Small_Town","Hispanic","Christian",10,24,2.5,6,3,0,0,"still_waiting","College",0,5,10,"Yes",10,10,6,8,9,0,40
"Female","Yes","big_city","Hispanic","Christian",5,21,3,4,4,1,1,"17","College",1,0,6,"No",5,4,4,4,6,0,40
"Female","No","big_city","Hispanic","Christian",5,18,3.5,8,10,6,2,"12","High_School",2,3,0,"No",0,2,6,5,10,10,90
"Male","No","suburbs","Mixed_Other","Christian",5,24,2.9,2,7,2,1,"16","College",1,0,5,"No",8,5,5,2,10,0,40
"Female","No","suburbs","Mixed_Other","Agnostic",0,28,3,6,4,2,1,"13","College",4,2,0,"Yes",0,0,1,0,8,30,0
"Male","No","suburbs","Mixed_Other","Christian",7,27,2.9,22,15,9,2,"13","middle_school",4,0,2,"No",3,2,4,9,7,0,90
"Female","No","Medium_City","Mixed_Other","Christian",2,21,2.9,3,4,0,2,"18","College",1,1,0,"Yes",5,5,4,5,9,0,0
"Male","No","big_city","Mixed_Other","Christian",5,15,2,0,0,7,1,"6","High_School",14,0,10,"No",5,5,5,5,8,0,0
"Female","No","suburbs","Mixed_Other","Christian",3,26,3,8,12,2,1,"18","College",4,0,5,"No",8,5,9,2,3,15,60
"Female","Yes","Small_Town","Mixed_Other","Agnostic",0,30,2.5,3,40,50,3,"12","High_School",9,2,0,"Yes",0,7,7,5,6,0,100
"Female","No","big_city","Mixed_Other","Christian",10,21,3.6,4,2,2,1,"12","College",50,5,0,"No",0,5,2,3,10,20,0
"Female","No","suburbs","Mixed_Other","Christian",2,29,3.4,3,1,7,2,"15","College",7,7,1,"No",0,4,4,9,10,10,90
"Male","No","suburbs","Mixed_Other","Christian",5,20,3.4,0,0,1,1,"16","College",7,1,2,"No",6,5,6,2,10,0,30
"Female","No","Medium_City","Mixed_Other","Christian",5,22,3.6,6,6,3,1,"16","College",20,10,3,"No",8,5,5,5,9,0,0
"Female","No","Small_Town","Mixed_Other","Agnostic",1,32,3.7,1,0,2,2,"14","College",4,0,0,"No",2,3,4,2,10,5,80
"Female","Yes","Medium_City","Mixed_Other","Christian",5,25,1.2,2,4,8,3,"13","High_School",7,1,5,"No",0,5,6,5,10,10,100
"Male","Yes","suburbs","Mixed_Other","Agnostic",1,30,2.5,7,5,5,0,"19","College",1,0,6,"No",7,4,4,6,8,0,100
"Female","Yes","suburbs","Mixed_Other","Christian",6,30,2.5,12,10,4,2,"15","middle_school",3,0,5,"No",0,8,8,6,6,0,100
"Female","No","big_city","Mixed_Other","Christian",7,20,3,0,0,10,5,"12","College",3,30,4,"No",2,5,6,7,5,0,0
"Female","Yes","suburbs","Mixed_Other","Agnostic",0,29,3.9,15,6,0,0,"15","High_School",3,3,0,"No",0,1,1,2,7,0,100
"Female","Yes","suburbs","Mixed_Other","Agnostic",3,27,3.4,5,6,1,2,"16","College",5,0,5,"No",0,5,8,8,9,10,100
"Male","No","suburbs","Mixed_Other","Christian",5,20,3.4,1,2,11,3,"13","College",1,0,0,"No",6,4,4,0,8,0,0
"Female","Yes","Small_Town","Mixed_Other","Christian",0,23,2.5,20,20,15,0,"13","College",1,0,0,"No",5,3,5,0,10,0,0
"Female","Yes","suburbs","Mixed_Other","Christian",5,28,2.5,10,10,0,0,"17","High_School",3,0,0,"No",1,1,3,5,9,0,100
"Female","Yes","suburbs","Mixed_Other","Christian",4,27,2.5,6,6,1,2,"16","College",1,1,0,"No",0,3,7,7,9,10,30
"Male","Yes","suburbs","Mixed_Other","Muslim",8,23,3.5,0,0,0,0,"still_waiting","College",1,0,5,"No",5,5,5,8,10,0,100
"Female","No","big_city","Mixed_Other","Christian",5,21,2.3,8,2,4,3,"13","High_School",0,0,2,"No",8,3,8,7,2,20,90
"Female","Yes","suburbs","Mixed_Other","Christian",7,28,2.7,8,16,0,0,"18","College",2,0,0,"No",0,5,5,4,9,0,90
"Female","No","big_city","Mixed_Other","Christian",5,26,3,5,5,11,2,"16","middle_school",10,30,0,"No",0,4,5,8,8,0,0
"Female","Yes","suburbs","Mixed_Other","Agnostic",2,28,3.7,4,4,2,2,"13","0_to_Kindergarten",3,0,3,"Yes",0,3,2,8,9,0,100
"Male","Yes","big_city","Mixed_Other","Christian",3,28,3.1,4,33,1,0,"14","College",1,0,0,"No",0,2,3,9,8,0,70
"Female","No","big_city","Mixed_Other","Christian",5,27,3.2,4,6,3,1,"15","College",0,1,0,"No",8,5,3,2,8,0,10
"Male","Yes","big_city","Mixed_Other","Christian",5,15,2.7,5,2,4,0,"17","College",3,0,0,"No",5,3,6,5,9,0,0
"Female","No","big_city","Mixed_Other","Other",0,20,2.7,0,0,1,1,"16","College",0,1,0,"No",0,0,5,10,0,15,0
"Male","No","big_city","Mixed_Other","Christian",8,29,3.6,0,0,3,2,"6","High_School",10,0,6,"No",0,5,4,5,9,0,100
"Male","Yes","suburbs","Mixed_Other","Christian",8,29,3.6,8,8,1,3,"15","College",4,0,5,"No",10,6,7,2,10,0,20
"Male","Yes","suburbs","Mixed_Other","Christian",7,23,2.4,15,12,5,1,"12","College",4,1,5,"No",3,6,7,5,8,0,100
"Male","No","suburbs","Mixed_Other","Muslim",4,17,3,1,1,3,2,"12","College",4,0,5,"No",6,4,1,6,9,15,0
"Male","No","Medium_City","Mixed_Other","Muslim",8,13,3.1,20,0,0,0,"19","High_School",20,0,10,"No",9,4,5,9,10,40,90
"Female","No","suburbs","Mixed_Other","Muslim",9,21,3.8,2,3,2,2,"15","College",6,0,0,"Yes",1,3,7,2,10,15,60
"Male","No","Medium_City","Mixed_Other","Muslim",5,29,3.2,2,0,0,0,"still_waiting","High_School",4,0,10,"No",7,3,8,6,8,10,90
"Male","No","suburbs","Mixed_Other","Jewish",0,25,2.5,18,37,8,0,"14","College",2,0,10,"No",0,0,10,7,7,0,60
"Female","No","Small_Town","White","Christian",7,22,2.9,0,0,1,1,"16","College",5,0,5,"No",9,5,6,0,9,0,80
"Female","Yes","suburbs","White","Christian",7,28,3.7,9,7,3,2,"14","0_to_Kindergarten",6,2,1,"No",0,3,3,3,10,0,90
"Male","Yes","Small_Town","White","Christian",1,27,2.7,8,10,6,1,"16","College",4,3,5,"No",4,4,7,3,10,10,70
"Female","No","Small_Town","White","Agnostic",0,31,3.5,0,0,4,2,"14","0_to_Kindergarten",1,0,0,"No",0,3,9,7,9,0,100
"Male","Yes","suburbs","White","Christian",3,28,3.5,20,40,2,0,"17","College",1,0,5,"Yes",0,8,6,5,2,0,0
"Female","No","suburbs","White","Christian",9,35,3.9,1,0,0,0,"18","College",2,0,10,"No",10,8,6,1,8,0,90
"Male","No","suburbs","White","Atheist",0,26,3.3,8,18,2,0,"19","College",1,0,0,"No",0,3,1,10,9,0,90
"Female","No","suburbs","White","Jewish",6,30,4,4,1,0,2,"13","College",4,0,0,"No",1,1,4,2,7,5,80
"Female","Yes","suburbs","White","Christian",4,27,3.9,9,15,4,3,"11","College",1,5,5,"No",4,8,7,7,7,0,100
"Female","No","suburbs","White","Christian",7,30,3.8,1,1,1,1,"17","High_School",2,0,8,"No",5,8,8,3,8,0,80
"Female","No","Small_Town","White","Atheist",0,32,3.2,0,0,0,0,"18","College",1,0,0,"No",3,1,1,5,9,0,100
"Female","Yes","Small_Town","White","Christian",8,28,3.8,10,10,1,1,"15","College",3,1,5,"No",5,10,9,5,10,0,100
"Female","No","Medium_City","White","Christian",9,34,4,0,0,0,0,"still_waiting","College",7,0,10,"No",8,10,7,6,10,0,100
"Female","No","Small_Town","White","Christian",2,23,3.6,5,3,9,2,"16","College",15,2,0,"Yes",0,4,5,10,7,15,80
"Female","No","Medium_City","White","Agnostic",2,33,3.9,1,0,0,3,"13","College",1,0,0,"No",5,4,7,5,8,10,0
"Male","No","Medium_City","White","Atheist",0,27,3.2,3,6,3,1,"12","College",6,2,0,"No",3,3,8,7,10,15,30
"Female","Yes","Small_Town","White","Christian",3,26,3.5,10,15,0,1,"14","College",5,7,1,"No",4,9,8,5,10,0,100
"Female","Yes","suburbs","White","Christian",8,21,3.6,15,15,0,2,"16","College",3,1,9,"No",10,8,5,7,9,0,100
"Male","No","big_city","White","Atheist",0,26,2.6,0,1,0,1,"12","High_School",7,0,0,"No",1,5,1,5,0,10,0
"Female","No","Medium_City","White","Christian",10,26,3.9,1,1,0,0,"20","middle_school",5,20,10,"No",10,10,8,0,10,0,50
"Female","No","suburbs","White","Christian",8,29,2.6,5,5,1,1,"16","College",2,0,0,"No",6,5,8,9,10,15,0
"Female","Yes","Small_Town","White","Christian",7,24,3.6,7,8,0,0,"16","1st_to_5th_grade",4,0,5,"No",8,5,5,5,9,0,100
"Male","No","Medium_City","White","Christian",5,28,3.3,12,30,17,4,"12","College",2,0,5,"No",9,9,7,0,10,0,10
"Female","Yes","big_city","White","Christian",5,30,3.6,20,40,4,0,"14","College",1,2,5,"No",2,7,6,7,8,15,10
"Female","Yes","Small_Town","White","Christian",2,29,3,6,4,0,0,"still_waiting","College",1,0,2,"No",5,4,5,4,6,10,20
"Female","Yes","Small_Town","White","Agnostic",1,28,3.3,0,1,0,0,"still_waiting","0_to_Kindergarten",2,0,0,"Yes",1,2,3,5,5,0,30
"Male","No","suburbs","White","Christian",6,28,3.5,8,6,1,4,"14","High_School",12,2,3,"No",3,8,8,6,9,0,90
"Male","No","Small_Town","White","Christian",5,22,2.8,4,5,10,3,"16","College",5,1,5,"No",5,7,8,9,8,10,90
"Male","No","suburbs","White","Christian",9,29,4,0,0,0,0,"still_waiting","College",2,0,10,"No",10,8,8,6,9,0,60
"Female","No","suburbs","White","Christian",8,28,3.8,2,0,1,1,"15","High_School",6,0,5,"No",5,7,8,1,10,0,50
"Male","No","Small_Town","White","Christian",4,22,3,0,0,50,2,"16","High_School",4,0,7,"No",2,5,8,8,9,25,0
"Female","No","suburbs","White","Other",2,26,3.6,5,0,0,1,"17","1st_to_5th_grade",5,0,0,"No",0,2,3,1,10,15,50
"Female","No","Small_Town","White","Christian",6,25,3.9,3,2,1,2,"14","College",3,1,5,"No",10,5,7,10,10,5,100
"Male","No","suburbs","White","Atheist",0,27,3.9,12,10,0,0,"still_waiting","College",1,0,3,"No",10,5,4,8,8,0,0
"Male","No","suburbs","White","Jewish",3,30,3.5,0,0,1,2,"14","College",1,0,0,"No",1,1,5,5,10,0,100
"Male","Yes","Small_Town","White","Christian",6,24,2.9,20,25,4,4,"11","College",1,0,9,"No",9,9,6,6,9,0,20
"Female","Yes","suburbs","White","Christian",6,27,3.8,28,20,2,3,"15","College",10,0,0,"No",3,2,5,3,10,5,80
"Female","Yes","big_city","White","Christian",3,27,3.2,15,15,7,2,"14","College",5,0,0,"No",1,3,3,7,8,0,90
"Female","No","suburbs","White","Christian",1,27,3.6,5,4,0,1,"16","middle_school",3,1,0,"No",0,4,7,10,8,0,80
"Male","Yes","suburbs","White","Christian",5,28,3.4,25,45,3,3,"13","College",4,0,5,"No",9,9,9,8,9,10,40
"Female","No","suburbs","White","Christian",8,29,2.8,5,10,0,0,"13","College",1,4,0,"No",9,5,5,6,6,0,100
"Male","No","suburbs","White","Christian",6,30,3.7,9,25,1,2,"13","College",4,0,2,"No",0,5,8,9,10,20,100
"Female","No","Medium_City","White","Christian",6,32,3.5,2,1,0,3,"15","High_School",2,0,0,"No",1,2,2,5,10,0,100
"Female","No","suburbs","White","Christian",4,24,2.7,30,30,15,2,"14","College",4,0,4,"No",3,6,6,10,8,35,30
"Female","Yes","Medium_City","White","Christian",6,27,2.7,12,20,0,1,"18","College",14,6,2,"No",1,7,7,5,4,10,100
"Female","No","Small_Town","White","Christian",8,24,3.4,2,2,2,4,"14","College",5,0,6,"No",5,2,9,6,10,0,10
"Female","No","suburbs","White","Christian",8,29,3.7,8,5,0,1,"18","High_School",20,0,2,"No",5,7,1,2,9,0,100
"Female","Yes","suburbs","White","Christian",9,30,3.6,3,1,0,1,"14","College",1,0,5,"No",10,9,8,1,9,0,100
"Female","No","Small_Town","White","Agnostic",1,31,3.5,0,0,0,0,"still_waiting","middle_school",1,1,0,"No",3,4,5,3,9,0,100
"Female","No","suburbs","White","Atheist",0,33,2.7,4,1,18,5,"12","College",1,1,0,"Yes",0,4,2,2,7,10,70
"Male","Yes","Medium_City","White","Christian",0,26,3.2,40,25,10,0,"14","College",1,0,5,"No",5,5,6,10,10,30,90
"Female","Yes","suburbs","White","Christian",4,30,3.9,10,15,4,1,"14","College",8,3,1,"No",0,3,4,2,8,0,80
"Male","Yes","suburbs","White","Jewish",7,26,3.4,10,10,2,1,"18","College",3,0,5,"No",5,5,5,10,7,0,100
"Male","No","suburbs","White","Agnostic",0,27,3,0,0,2,2,"13","College",1,4,0,"No",5,1,5,5,10,30,90
"Female","No","big_city","White","Christian",5,29,3.3,2,4,4,2,"12","High_School",5,1,0,"No",0,2,5,2,8,20,0
"Female","No","Small_Town","White","Christian",8,29,3.4,0,0,0,0,"still_waiting","middle_school",9,0,8,"No",10,8,8,5,10,10,90
"Female","No","Small_Town","White","Agnostic",0,27,3,0,0,13,1,"10","College",10,0,2,"Yes",2,4,8,5,8,0,100
"Female","Yes","Medium_City","White","Christian",7,28,3.3,3,8,0,0,"17","College",1,2,1,"No",9,7,8,2,9,5,100
"Female","Yes","Small_Town","White","Christian",4,30,2.4,15,20,9,1,"14","College",8,4,0,"No",0,5,6,5,10,0,100
"Female","No","Small_Town","White","Christian",10,28,3.5,0,0,0,0,"still_waiting","College",8,0,5,"No",10,6,7,5,8,0,0
"Female","No","Small_Town","White","Agnostic",0,28,3.5,0,0,1,1,"18","College",3,0,0,"No",0,0,1,3,7,0,10
"Female","No","suburbs","White","Christian",7,33,3.6,24,25,12,2,"12","High_School",7,3,0,"No",4,4,5,6,10,10,50
"Male","No","suburbs","White","Muslim",8,30,3.8,0,0,0,0,"still_waiting","High_School",2,5,10,"No",10,1,3,8,8,10,0
"Male","Yes","Medium_City","White","Christian",9,27,3.3,12,40,17,3,"14","High_School",2,0,5,"No",2,6,7,7,7,15,90
"Female","Yes","suburbs","White","Christian",6,25,2.9,10,15,2,2,"13","High_School",1,1,3,"Yes",3,5,8,7,5,0,100
"Female","Yes","suburbs","White","Christian",1,29,3.2,20,50,6,1,"14","College",10,5,0,"No",0,5,8,6,10,0,70
"Female","No","suburbs","White","Christian",8,34,3.9,6,6,0,2,"13","High_School",1,6,8,"Yes",10,5,4,3,8,0,100
"Female","Yes","Small_Town","White","Christian",5,33,3.5,9,15,5,0,"17","middle_school",2,1,0,"No",0,3,0,0,10,5,100
"Female","Yes","suburbs","White","Christian",5,32,3.8,15,15,2,2,"15","College",6,0,6,"No",9,7,8,5,8,15,90
"Male","No","Small_Town","White","Christian",10,22,3.4,3,4,0,0,"18","High_School",4,1,10,"No",10,8,8,0,8,0,40
"Female","Yes","suburbs","White","Jewish",6,26,3.8,12,13,0,1,"13","High_School",3,1,0,"No",0,0,5,3,8,0,100
"Female","No","Medium_City","White","Christian",8,29,3.2,0,0,0,2,"15","College",2,0,5,"No",5,5,5,5,8,10,100
"Female","Yes","suburbs","White","Christian",6,25,3.6,12,30,0,0,"15","College",4,3,1,"No",9,5,6,6,8,0,70
"Male","Yes","suburbs","White","Christian",6,24,3.5,25,40,4,1,"16","1st_to_5th_grade",4,0,5,"No",2,3,10,8,10,0,100
"Female","No","Small_Town","White","Christian",8,31,3.6,0,2,3,2,"14","College",1,1,3,"Yes",4,4,5,3,7,25,40
"Female","Yes","big_city","White","Christian",7,32,3.5,0,0,1,1,"15","High_School",3,0,0,"No",10,5,5,6,8,0,100
"Female","No","suburbs","White","Christian",5,27,3.1,6,10,0,0,"16","College",3,0,0,"No",0,0,5,7,8,15,50
"Male","No","suburbs","White","Jewish",1,32,3,5,20,0,3,"14","1st_to_5th_grade",2,0,0,"No",2,1,4,7,7,5,90
"Female","No","Medium_City","White","Christian",7,27,3.7,10,6,1,0,"19","College",2,40,0,"No",0,4,2,3,8,0,30
"Male","No","suburbs","White","Christian",7,26,3,1,1,0,0,"still_waiting","1st_to_5th_grade",3,0,8,"No",8,9,8,5,10,0,100
