"gender","genderID","greek","homeTown","ethnicity","religion","religious","ACT","GPA","partyHr","drinks","sexPartners","relationships","firstKissAge","favLifePeriod","callParents","socialMedia","texts","goodOrWell","expectedIncome","indepVsRespect","curiosityVsManners","selfRelianceVsObedience","considerateVsWellBehaved","primary","president","liberal","politicalParty","gradeVsLearning","parentRelationship","workHr","tuition","career","section"
"Female","Female","No","Big City Subrub","Asian","Muslim",5,25,3.1,16,10,1,0,"19","college",1,"5",4,5,275,"respect for their elders","good manners","self-reliance","being considerate","Bernie Sanders","Unsure",4,"Democratic",7,5,10,40,6,"L1"
"Female","Female","No","Big City Subrub","White","Christian",5,25,4,6,9,0,1,"15","high school",2,"6",10,7,200,"independence","good manners","obedience","being considerate","Bernie Sanders","Donald Trump",8,"Republican",4,4,10,100,10,"L1"
"Female","Female","No","Big City","White","Christian",5,28,3.4,1,2,1,1,"14","college",1,"1",5,7,110,"independence","curiosity","self-reliance","being considerate","Bernie Sanders","Hillary Clinton",0,"Democratic",5,5,0,0,7,"L1"
"Female","Female","Yes","Big City Subrub","White","Christian",8,26,4,8,5,1,1,"16","high school",5,"3",5,0,100,"independence","good manners","obedience","well-behaved","Donald Trump","Donald Trump",8,"Republican",3,10,0,50,8,"L1"
"Male","Male","No","Medium City","Asian","Christian",7,27,3.4,6,0,3,1,"15","high school",2,"3",5,8,300,"independence","good manners","self-reliance","being considerate","Bernie Sanders","Donald Trump",6,"Democratic",8,7,35,50,6,"L1"
"Female","Female","No","Big City","White","Atheist",0,31,4,0,0,0,1,"16","high school",5,"1",4,4,200,"independence","curiosity","self-reliance","being considerate","Bernie Sanders","Hillary Clinton",7,"Democratic",3,10,0,80,7,"L1"
"Female","Female","Yes","Big City Subrub","White","Christian",5,29,3.3,6,10,0,1,"15","college",7,"2",5,0,60,"respect for their elders","good manners","self-reliance","being considerate","Unsure","Hillary Clinton",6,"Democratic",6,10,10,100,10,"L1"
"Female","Female","No","Small Town","White","Christian",3,24,3.9,6,10,0,2,"13","college",1,"2",2,8,65,"respect for their elders","good manners","self-reliance","being considerate","Unsure","Unsure",6,"Republican",5,4,0,100,2,"L1"
"Female","Female","No","Big City Subrub","Other","Agnostic",3,29,3.7,5,5,0,1,"14","college",8,"2",5,0,100,"independence","curiosity","self-reliance","being considerate","Bernie Sanders","Donald Trump",4,"Republican",3,10,0,100,5,"L1"
"Female","Female","No","Big City","Asian","Religious but not one of the above",1,34,3.9,0,0,0,1,"still waiting","middle school",2,"1",4,7,20,"independence","good manners","self-reliance","being considerate","Unsure","Unsure",2,"Other",8,9,0,100,7,"L1"
"Female","Female","No","Small Town","White","Jewish",6,27,3.8,0,0,0,0,"17","middle school",3,"4",5,2,68,"respect for their elders","good manners","self-reliance","being considerate","Bernie Sanders","Jill Stein",4,"Other",3,9,0,100,8,"L1"
"Male","Male","No","Big City Subrub","Black","Religious but not one of the above",4,23,3.8,0,0,0,0,"13","college",5,"2",5,7,300,"respect for their elders","good manners","self-reliance","being considerate","Unsure","Unsure",5,"Democratic",5,10,0,100,7,"L1"
"Female","Female","No","Big City Subrub","White","Christian",4,29,4,10,4,0,1,"14","middle school",5,"2",10,2,75,"independence","good manners","obedience","well-behaved","Donald Trump","Donald Trump",5,"Independent",6,5,0,70,6,"L1"
"Female","Female","Yes","Big City Subrub","White","Christian",7,26,3.5,13,20,4,1,"13","college",5,"5",7,0,1000,"independence","good manners","self-reliance","being considerate","Hillary Clinton","Hillary Clinton",5,"Republican",3,10,0,100,7,"L1"
"Male","Male","No","Big City Subrub","White","Agnostic",2,30,2.6,10,20,2,0,"18","high school",1,"6",3,8,30,"independence","curiosity","self-reliance","being considerate","Bernie Sanders","Hillary Clinton",3,"Democratic",2,7,0,50,0,"L1"
"Male","Male","No","Big City","Hispanic","Atheist",0,27,3.4,0,0,0,0,"12","high school",1,"4",2,10,200,"independence","curiosity","self-reliance","well-behaved","Bernie Sanders","Gary Johnson",4,"Independent",3,8,10,0,7,"L1"
"Female","Female","No","Big City Subrub","White","Agnostic",3,30,3.2,5,15,0,1,"15","high school",1,"2",8,0,60,"independence","curiosity","self-reliance","being considerate","Bernie Sanders","Hillary Clinton",1,"Democratic",3,5,0,100,0,"L1"
"Female","Other","No","Medium City","Asian","Agnostic",3,32,4,0,0,0,0,"still waiting","middle school",1,"1",2,5,80,"independence","curiosity","self-reliance","being considerate","Bernie Sanders","Hillary Clinton",2,"Democratic",4,8,0,100,8,"L1"
"Male","Male","No","Big City Subrub","Hispanic","Christian",5,25,3.9,10,4,4,4,"12","high school",3,"1",14,5,200,"respect for their elders","curiosity","self-reliance","being considerate","Bernie Sanders","Unsure",5,"Democratic",8,5,0,0,8,"L1"
"Male","Male","Yes","Big City Subrub","White","Atheist",1,33,3,4,7,0,0,"19","college",1,"3",4,7,300,"independence","curiosity","self-reliance","being considerate","Unsure","Unsure",5,"Other",5,7,0,100,7,"L1"
"Female","Female","Yes","Medium City","White","Religious but not one of the above",2,24,3.4,4,4,1,2,"16","high school",5,"2",3,5,70,"respect for their elders","curiosity","self-reliance","being considerate","John Kacich","Gary Johnson",6,"Republican",7,10,0,80,8,"L1"
"Female","Female","No","Small Town","Other","Buddhist",4,26,3.8,0,0,0,0,"5","middle school",6,"1",4,0,50,"independence","curiosity","self-reliance","being considerate","Bernie Sanders","Hillary Clinton",1,"Independent",10,7,0,90,7,"L1"
"Female","Female","No","Big City","Asian","Atheist",0,27,3.4,0,0,1,0,"15","college",1,"2",4,8,40,"independence","good manners","self-reliance","being considerate","Bernie Sanders","Hillary Clinton",2,"Democratic",5,7,10,20,1,"L1"
"Female","Female","Yes","Big City Subrub","White","Christian",6,25,3.3,12,6,0,0,"14","high school",4,"2",6,2,75,"respect for their elders","good manners","self-reliance","being considerate","Unsure","Unsure",6,"Republican",4,10,0,100,5,"L1"
"Male","Male","No","Big City Subrub","Asian","Atheist",0,26,4,0,0,1,1,"18","high school",3,"4",8,8,100,"respect for their elders","good manners","self-reliance","well-behaved","Unsure","Unsure",1,"Democratic",5,9,0,100,8,"L1"
"Female","Female","No","Big City Subrub","Other","Christian",8,30,4,14,20,2,1,"14","high school",10,"5",13,5,80,"respect for their elders","good manners","obedience","being considerate","Bernie Sanders","Other",5,"Democratic",5,9,20,100,10,"L1"
"Female","Female","Yes","Big City","Hispanic","Religious but not one of the above",2,21,2.9,5,4,7,4,"14","college",10,"2",2,5,70,"independence","curiosity","self-reliance","being considerate","Bernie Sanders","Hillary Clinton",3,"Democratic",5,10,0,10,7,"L1"
"Male","Male","Yes","Medium City","White","Christian",6,25,3.3,20,40,3,2,"13","high school",4,"3",20,0,100,"respect for their elders","good manners","self-reliance","being considerate","John Kacich","Unsure",6,"Republican",7,8,10,0,8,"L1"
"Female","Female","Yes","Big City Subrub","White","Christian",6,26,3.2,16,20,3,2,"17","high school",14,"3",15,8,100,"independence","good manners","obedience","well-behaved","Donald Trump","Donald Trump",10,"Republican",7,8,0,0,5,"L1"
"Male","Male","No","Small Town","White","Christian",8,17,2.8,1,2,0,1,"16","college",6,"7",10,6,60,"respect for their elders","good manners","self-reliance","being considerate","Marco Rubio","Other",5,"Republican",5,10,10,0,10,"L1"
"Female","Female","No","Big City","Hispanic","Christian",5,23,3.7,4,7,0,0,"17","college",2,"6",3,5,70,"independence","good manners","self-reliance","being considerate","Bernie Sanders","Unsure",2,"Democratic",8,10,20,40,5,"L1"
"Male","Male","Yes","Big City Subrub","White","Christian",3,29,2.9,1,0,3,0,"16","college",2,"1",5,5,100,"independence","curiosity","self-reliance","being considerate","Bernie Sanders","Unsure",5,"Republican",5,5,0,70,4,"L1"
"Male","Male","No","Medium City","Black","Christian",10,21,3.8,3,0,1,1,"15","college",18,"2",5,2,110,"respect for their elders","curiosity","obedience","being considerate","Bernie Sanders","Unsure",5,"Democratic",6,10,25,50,7,"L1"
"Female","Female","No","Big City","Hispanic","Religious but not one of the above",8,21,3,5,0,0,2,"17","lower grades",3,"3",2,0,80,"respect for their elders","good manners","self-reliance","being considerate","Bernie Sanders","Unsure",8,"Republican",5,3,0,10,6,"L1"
"Male","Male","No","Small Town","White","Christian",7,24,3.1,0,7,5,2,"15","high school",2,"1",2,7,30,"respect for their elders","good manners","self-reliance","well-behaved","John Kacich","Donald Trump",5,"Independent",7,6,0,0,10,"L1"
"Female","Female","No","Big City","Hispanic","Christian",7,30,3.5,12,10,5,0,"13","high school",4,"5",7,4,10000,"respect for their elders","good manners","obedience","being considerate","John Kacich","Gary Johnson",8,"Republican",7,7,0,100,2,"L1"
"Female","Female","No","Small Town","White","Christian",2,28,3.2,10,8,20,3,"16","high school",3,"2",15,6,150,"independence","good manners","self-reliance","being considerate","Bernie Sanders","Unsure",4,"Republican",4,8,15,0,8,"L1"
"Male","Male","Yes","Big City Subrub","White","Christian",3,28,3.6,15,30,2,1,"14","high school",3,"5",10,10,300,"respect for their elders","good manners","obedience","well-behaved","Donald Trump","Donald Trump",7,"Republican",5,9,15,100,8,"L1"
"Male","Male","No","Big City Subrub","Hispanic","Agnostic",0,29,2.8,6,10,20,0,"16","college",1,"3",4,10,60,"respect for their elders","good manners","self-reliance","being considerate","Bernie Sanders","Unsure",4,"Democratic",3,7,10,0,2,"L1"
"Male","Male","No","Medium City","Other","Agnostic",1,34,4,12,20,2,1,"14","high school",5,"4",6,9,400,"independence","good manners","self-reliance","being considerate","Other","Gary Johnson",3,"Other",5,6,0,80,9,"L1"
"Male","Male","No","Medium City","White","Atheist",1,27,3.1,7,12,1,0,"18","college",1,"5",3,3,80,"independence","curiosity","self-reliance","being considerate","Bernie Sanders","Hillary Clinton",4,"Democratic",2,9,0,100,6,"L1"
"Female","Female","No","Big City Subrub","White","Agnostic",1,28,3.7,10,9,6,3,"14","high school",4,"2",6,6,65,"independence","good manners","self-reliance","being considerate","Unsure","Hillary Clinton",5,"Republican",3,9,0,100,0,"L1"
"Female","Female","No","Big City Subrub","White","Atheist",0,31,3.8,10,20,0,0,"18","college",2,"1",5,5,80000,"independence","curiosity","self-reliance","being considerate","Bernie Sanders","Donald Trump",2,"Other",7,9,0,50,0,"L1"
"Male","Male","No","Big City Subrub","Black","Agnostic",0,31,2.9,4,4,3,2,"15","college",1,"0",5,4,100,"independence","good manners","self-reliance","being considerate","Bernie Sanders","Hillary Clinton",2,"Democratic",7,10,0,30,7,"L1"
"Male","Male","No","Big City","Asian","Atheist",0,33,4,0,0,0,0,"18","college",1,"1",3,5,120,"independence","good manners","self-reliance","being considerate","Bernie Sanders","Unsure",0,"Democratic",6,7,0,100,6,"L1"
"Female","Female","No","Medium City","White","Christian",5,28,3.8,0,0,0,0,"13","kindergarten",3,"4",5,0,100,"independence","curiosity","self-reliance","being considerate","Bernie Sanders","Hillary Clinton",0,"Democratic",8,9,0,70,4,"L1"
"Male","Male","No","Big City","Hispanic","Agnostic",2,19,2.8,9,10,0,2,"14","college",1,"5",3,7,73,"respect for their elders","curiosity","self-reliance","being considerate","Bernie Sanders","Jill Stein",1,"Democratic",6,8,0,10,9,"L1"
"Male","Male","No","Big City","Asian","Agnostic",0,30,2.2,0,0,0,0,"still waiting","middle school",0,"10 or more",5,4,100,"independence","curiosity","self-reliance","being considerate","Bernie Sanders","Hillary Clinton",0,"Democratic",8,4,0,100,0,"L1"
"Female","Female","No","Big City Subrub","White","Atheist",0,28,3.7,2,1,2,1,"15","high school",3,"6",7,10,300,"independence","curiosity","self-reliance","well-behaved","Bernie Sanders","Hillary Clinton",2,"Democratic",5,8,0,0,7,"L1"
"Female","Female","No","Big City","Black","Christian",4,19,2.3,4,2,1,2,"15","college",2,"5",8,5,85,"independence","good manners","obedience","well-behaved","Bernie Sanders","Unsure",0,"Democratic",5,10,15,0,3,"L1"
"Male","Male","Yes","Small Town","White","Christian",5,26,3.6,15,23,0,2,"14","college",1,"2",7,8,160,"respect for their elders","good manners","obedience","well-behaved","Marco Rubio","Donald Trump",9,"Republican",5,10,0,90,7,"L1"
"Male","Male","No","Medium City","White","Christian",5,23,4,4,7,1,1,"16","college",5,"3",5,7,100,"respect for their elders","good manners","obedience","well-behaved","Donald Trump","Donald Trump",10,"Republican",5,10,20,90,8,"L1"
"Female","Female","No","Big City Subrub","White","Christian",8,29,3.6,7,15,4,3,"14","high school",0,"1",30,8,200,"respect for their elders","good manners","self-reliance","being considerate","Marco Rubio","Donald Trump",9,"Republican",5,5,0,30,7,"L1"
"Male","Male","No","Big City Subrub","Other","Jewish",5,30,4,0,11,19,0,"13","middle school",7,"2",4,10,500,"respect for their elders","good manners","self-reliance","well-behaved","Donald Trump","Donald Trump",7,"Other",0,10,0,80,8,"L1"
"Female","Female","No","Small Town","White","Christian",9,21,3.5,0,0,0,1,"18","college",7,"1",5,5,70,"respect for their elders","good manners","obedience","being considerate","Donald Trump","Unsure",10,"Republican",6,10,20,60,3,"L1"
"Female","Female","Yes","Small Town","White","Christian",10,33,4,3,0,0,2,"16","college",5,"2",4,3,85,"respect for their elders","good manners","self-reliance","being considerate","Ben Carson","Unsure",9,"Republican",6,9,0,90,10,"L1"
"Male","Male","No","Small Town","White","Agnostic",4,26,3,0,0,0,1,"still waiting","college",1,"1",4,9,50,"independence","good manners","self-reliance","being considerate","Other","Hillary Clinton",3,"Democratic",7,7,0,0,8,"L1"
"Male","Male","Yes","Small Town","White","Christian",0,29,4,6,3,50,15,"18","middle school",3,"2",5,3,100,"respect for their elders","good manners","self-reliance","well-behaved","Donald Trump","Jill Stein",8,"Libertarian",8,8,35,70,3,"L1"
"Female","Female","No","Big City Subrub","White","Christian",10,28,3.7,6,2,0,2,"13","high school",7,"2",6,6,100,"respect for their elders","good manners","self-reliance","being considerate","Other","Jill Stein",6,"Independent",6,10,20,90,10,"L1"
"Female","Female","No","Big City Subrub","Asian","Atheist",0,26,3.6,0,0,5,2,"14","college",0,"3",6,3,50,"respect for their elders","good manners","self-reliance","being considerate","Bernie Sanders","Hillary Clinton",5,"Democratic",6,4,15,100,2,"L1"
"Female","Female","No","Big City","Asian","Atheist",0,25,4,0,0,0,0,"11","kindergarten",3,"4",4,8,50,"independence","curiosity","self-reliance","being considerate","Bernie Sanders","Hillary Clinton",1,"Democratic",5,3,0,100,1,"L1"
"Female","Female","No","Small Town","White","Christian",6,28,4,5,10,1,2,"15","college",10,"2",4,3,80,"respect for their elders","good manners","self-reliance","being considerate","John Kacich","Gary Johnson",5,"Democratic",5,10,0,60,3,"L1"
"Male","Male","No","Big City Subrub","Hispanic","Agnostic",0,25,2.7,0,0,1,1,"11","high school",0,"2",1,5,70,"independence","good manners","self-reliance","well-behaved","Bernie Sanders","Gary Johnson",5,"Democratic",5,7,10,0,0,"L1"
"Female","Female","No","Big City","Asian","Christian",3,32,3.4,1,1,0,0,"still waiting","middle school",1,"5",5,0,10000,"respect for their elders","good manners","obedience","well-behaved","Hillary Clinton","Hillary Clinton",6,"Democratic",3,10,0,100,5,"L1"
"Male","Male","Yes","Medium City","Other","Christian",5,28,3.1,20,40,10,3,"11","college",1,"3",3,10,250,"independence","good manners","self-reliance","well-behaved","Bernie Sanders","Hillary Clinton",3,"Democratic",3,6,0,100,7,"L1"
"Female","Female","No","Medium City","Other","Christian",8,22,4,10,20,0,1,"18","college",30,"2",10,7,500,"respect for their elders","good manners","obedience","well-behaved","Ted Cruz","Donald Trump",9,"Republican",5,10,0,0,10,"L1"
"Male","Male","No","Big City","Asian","Jewish",3,23,3.6,4,2,1,1,"17","high school",1,"2",2,8,50,"independence","curiosity","obedience","being considerate","Bernie Sanders","Unsure",3,"Democratic",4,5,0,10,0,"L1"
"Male","Male","Yes","Big City Subrub","White","Jewish",5,28,4,7,10,5,1,"14","high school",7,"2",5,8,500,"respect for their elders","curiosity","obedience","being considerate","Unsure","Donald Trump",3,"Republican",5,5,0,100,0,"L1"
"Male","Male","No","Big City","Hispanic","Religious but not one of the above",4,24,1.8,10,3,5,3,"12","lower grades",3,"2",2,3,115,"respect for their elders","good manners","self-reliance","being considerate","Bernie Sanders","Jill Stein",1,"Independent",4,6,0,90,9,"L1"
"Female","Female","No","Medium City","Asian","Christian",6,29,3.8,0,0,0,0,"still waiting","lower grades",2,"3",3,6,80,"respect for their elders","good manners","obedience","well-behaved","Bernie Sanders","Hillary Clinton",5,"Democratic",4,8,15,0,10,"L1"
"Female","Female","No","Big City Subrub","White","Jewish",5,22,4,7,6,7,1,"13","college",3,"2",4,5,100,"respect for their elders","good manners","self-reliance","well-behaved","Hillary Clinton","Hillary Clinton",5,"Democratic",5,10,0,100,9,"L1"
"Female","Female","No","Big City Subrub","White","Jewish",7,27,4,6,10,3,3,"13","college",3,"1",7,3,100,"independence","curiosity","self-reliance","being considerate","Unsure","Unsure",4,"Democratic",6,10,0,100,7,"L1"
"Female","Female","No","Big City","Asian","Buddhist",2,30,3.6,0,0,0,0,"still waiting","kindergarten",1,"10 or more",5,8,100,"independence","curiosity","self-reliance","being considerate","Unsure","Unsure",5,"Other",3,6,0,100,1,"L1"
"Male","Male","No","Big City","Black","Christian",8,23,3.9,5,0,5,3,"8","high school",5,"1",6,5,900,"independence","good manners","obedience","well-behaved","Bernie Sanders","Unsure",1,"Democratic",5,9,15,50,9,"L1"
"Male","Male","Yes","Small Town","White","Christian",5,28,3,15,15,6,1,"16","college",5,"3",5,8,80,"independence","good manners","self-reliance","being considerate","Ted Cruz","Gary Johnson",6,"Independent",7,9,5,80,8,"L1"
"Female","Female","No","Big City","Other","Christian",7,26,3.5,0,0,0,0,"still waiting","kindergarten",7,"3",4,6,100,"respect for their elders","curiosity","self-reliance","being considerate","Bernie Sanders","Hillary Clinton",4,"Independent",7,6,15,50,6,"L1"
"Female","Female","Yes","Big City","Hispanic","Religious but not one of the above",5,32,3,3,10,14,1,"12","high school",1,"1",6,1,80,"respect for their elders","curiosity","self-reliance","being considerate","Bernie Sanders","Unsure",0,"Other",4,7,15,0,6,"L1"
"Female","Female","No","Big City Subrub","White","Christian",5,27,4,20,40,0,0,"17","lower grades",4,"10 or more",7,4,100,"respect for their elders","curiosity","self-reliance","being considerate","Marco Rubio","Unsure",3,"Libertarian",5,8,0,100,3,"L1"
"Female","Female","Yes","Medium City","White","Christian",1,27,4,5,7,2,2,"14","high school",4,"1",5,5,150,"respect for their elders","good manners","obedience","being considerate","Bernie Sanders","Hillary Clinton",3,"Democratic",7,10,0,10,7,"L1"
"Female","Female","No","Big City Subrub","Hispanic","Christian",5,23,2.9,12,10,4,1,"15","college",5,"5",5,6,10000,"respect for their elders","good manners","obedience","well-behaved","Unsure","Hillary Clinton",3,"Democratic",5,5,0,100,4,"L1"
"Male","Male","No","Big City Subrub","White","Christian",1,34,3.1,12,20,50,0,"15","college",3,"1",4,4,100,"independence","good manners","self-reliance","being considerate","Other","Gary Johnson",6,"Other",3,5,0,90,9,"L1"
"Female","Female","No","Big City Subrub","White","Christian",8,29,3.2,2,2,0,1,"15","high school",1,"2",8,5,60,"respect for their elders","curiosity","self-reliance","being considerate","Unsure","Hillary Clinton",4,"Republican",5,8,0,100,6,"L1"
"Female","Female","No","Medium City","Asian","Christian",7,28,3.9,3,0,0,0,"still waiting","kindergarten",4,"5",3,5,80,"respect for their elders","curiosity","self-reliance","being considerate","Unsure","Hillary Clinton",6,"Democratic",0,5,15,90,9,"L1"
"Male","Male","Yes","Big City Subrub","White","Jewish",3,28,2.9,10,10,0,0,"14","college",7,"2",10,8,2000,"respect for their elders","curiosity","self-reliance","being considerate","Ted Cruz","Donald Trump",8,"Republican",3,10,0,100,9,"L1"
"Female","Female","No","Medium City","Other","Christian",7,19,2.8,1,1,5,2,"15","kindergarten",3,"2",2,3,60,"respect for their elders","good manners","obedience","being considerate","Hillary Clinton","Hillary Clinton",5,"Democratic",5,7,10,80,1,"L1"
"Female","Female","No","Small Town","Hispanic","Christian",5,20,3.8,8,4,0,0,"16","college",12,"3",6,5,150,"respect for their elders","good manners","self-reliance","being considerate","Bernie Sanders","Hillary Clinton",2,"Democratic",5,10,10,30,5,"L1"
"Female","Female","No","Big City Subrub","Hispanic","Christian",8,27,2.8,6,4,2,1,"14","kindergarten",2,"3",8,5,70,"independence","good manners","self-reliance","being considerate","Bernie Sanders","Hillary Clinton",4,"Democratic",6,10,0,50,8,"L1"
"Female","Female","No","Big City","Black","Christian",7,26,3.8,3,0,1,1,"15","high school",35,"3",4,5,100,"independence","good manners","obedience","well-behaved","Hillary Clinton","Hillary Clinton",5,"Democratic",5,8,0,10,10,"L1"
"Male","Male","No","Big City","White","Jewish",2,32,3.5,1,2,0,0,"still waiting","high school",2,"0",2,8,100,"independence","curiosity","self-reliance","being considerate","Marco Rubio","Hillary Clinton",2,"Republican",5,8,0,100,9,"L1"
"Female","Female","No","Big City Subrub","White","Christian",4,28,3.7,8,20,13,1,"14","high school",2,"4",6,7,90,"respect for their elders","good manners","self-reliance","being considerate","Hillary Clinton","Hillary Clinton",4,"Democratic",4,8,0,80,0,"L1"
"Female","Female","Yes","Big City Subrub","White","Jewish",4,32,3.5,1,0,0,0,"15","lower grades",7,"2",6,8,200,"independence","good manners","self-reliance","well-behaved","Marco Rubio","Unsure",6,"Republican",4,8,0,20,7,"L1"
"Female","Female","Yes","Big City Subrub","White","Christian",6,28,2.8,19,30,18,0,"15","college",3,"1",3,5,105,"independence","good manners","self-reliance","being considerate","Hillary Clinton","Hillary Clinton",2,"Democratic",8,9,0,0,10,"L1"
"Female","Female","Yes","Big City Subrub","White","Christian",8,30,3.2,0,0,1,1,"15","high school",4,"3",13,5,200,"independence","curiosity","self-reliance","being considerate","Unsure","Unsure",5,"Other",5,10,35,90,3,"L1"
"Female","Female","No","Big City Subrub","Black","Christian",6,27,2.7,4,1,2,1,"13","high school",7,"3",3,10,150,"respect for their elders","good manners","self-reliance","being considerate","Bernie Sanders","Hillary Clinton",2,"Democratic",4,7,0,0,9,"L1"
"Female","Female","No","Big City Subrub","White","Christian",7,27,3.8,12,30,3,1,"16","lower grades",7,"4",7,6,100,"respect for their elders","good manners","obedience","well-behaved","Marco Rubio","Donald Trump",10,"Republican",3,10,0,100,3,"L1"
"Female","Female","No","Big City","Hispanic","Religious but not one of the above",3,25,4,2,0,0,0,"13","kindergarten",7,"3",4,5,150,"respect for their elders","good manners","self-reliance","being considerate","Bernie Sanders","Unsure",3,"Democratic",5,10,10,0,6,"L1"
"Male","Male","Yes","Big City Subrub","White","Jewish",6,25,3.3,12,11,6,0,"13","high school",6,"1",4,0,10000,"respect for their elders","curiosity","self-reliance","being considerate","Unsure","Donald Trump",0,"Republican",6,8,5,50,6,"L1"
"Male","Male","No","Big City","Hispanic","Christian",7,27,3,8,13,3,1,"13","middle school",7,"3",5,8,110,"respect for their elders","curiosity","self-reliance","being considerate","Bernie Sanders","Hillary Clinton",6,"Democratic",10,10,0,50,7,"L1"
"Female","Female","No","Big City","Other","Agnostic",1,30,3.7,0,4,0,0,"still waiting","college",4,"4",8,5,80,"independence","curiosity","self-reliance","being considerate","Bernie Sanders","Unsure",0,"Democratic",5,8,0,100,4,"L1"
"Female","Female","Yes","Medium City","White","Christian",5,32,3.7,10,12,1,2,"14","college",2,"4",4,6,80,"independence","curiosity","self-reliance","being considerate","Bernie Sanders","Unsure",2,"Democratic",5,9,5,50,4,"L1"
"Female","Male","No","Big City","Asian","Atheist",4,32,3.1,0,4,2,2,"10","high school",1,"6",2,6,100,"independence","curiosity","self-reliance","being considerate","Unsure","Unsure",5,"Green",3,8,5,80,8,"L1"
"Female","Female","Yes","Big City","White","Christian",3,27,3.8,10,20,10,1,"14","college",1,"2",3,10,150,"independence","good manners","self-reliance","being considerate","Marco Rubio","Gary Johnson",5,"Republican",5,10,15,100,7,"L1"
"Female","Female","Yes","Big City","White","Religious but not one of the above",4,25,3.4,15,20,5,1,"12","college",7,"4",5,5,90,"respect for their elders","curiosity","self-reliance","being considerate","Bernie Sanders","Hillary Clinton",0,"Democratic",3,10,0,70,1,"L1"
"Female","Female","No","Medium City","Asian","Atheist",0,31,3.9,0,0,0,1,"17","high school",3,"1",10,7,100,"independence","good manners","self-reliance","being considerate","Unsure","Unsure",0,"Other",5,10,0,100,6,"L1"
"Female","Female","No","Big City","Asian","Agnostic",2,31,3.8,0,0,0,1,"17","high school",6,"4",7,8,60,"respect for their elders","good manners","self-reliance","being considerate","Bernie Sanders","Hillary Clinton",5,"Democratic",2,9,0,100,1,"L1"
"Male","Male","No","Big City","Asian","Christian",7,20,3.4,0,0,0,0,"still waiting","high school",1,"2",3,8,2000,"independence","curiosity","obedience","well-behaved","Unsure","Unsure",7,"Republican",9,8,0,100,5,"L1"
"Female","Female","No","Big City Subrub","White","Christian",8,26,4,9,12,1,1,"14","high school",3,"1",4,5,75,"respect for their elders","curiosity","self-reliance","being considerate","Donald Trump","Donald Trump",5,"Republican",5,8,0,0,3,"L1"
"Female","Female","No","Big City Subrub","White","Christian",10,26,4,2,0,0,1,"15","college",2,"3",7,5,75,"respect for their elders","curiosity","obedience","being considerate","Unsure","Unsure",7,"Republican",5,8,0,100,9,"L1"
"Male","Male","No","Big City Subrub","White","Christian",5,29,3.2,2,2,1,1,"15","high school",3,"1",1,5,100,"respect for their elders","curiosity","self-reliance","well-behaved","Other","Unsure",5,"Republican",0,7,0,50,5,"L1"
"Male","Male","No","Big City Subrub","White","Agnostic",0,33,3.2,3,2,1,0,"18","college",3,"2",6,2,60,"independence","curiosity","self-reliance","being considerate","Bernie Sanders","Hillary Clinton",2,"Democratic",7,9,0,30,6,"L1"
"Female","Female","No","Big City","Hispanic","Religious but not one of the above",4,23,3,0,0,5,1,"16","high school",4,"2",4,0,120,"independence","curiosity","self-reliance","being considerate","Bernie Sanders","Hillary Clinton",1,"Democratic",0,10,0,10,10,"L1"
"Female","Female","No","Big City Subrub","White","Christian",5,28,3,8,8,2,1,"15","college",2,"2",3,2,70,"independence","curiosity","self-reliance","being considerate","Bernie Sanders","Hillary Clinton",2,"Democratic",3,8,0,90,10,"L1"
"Female","Female","Yes","Big City Subrub","White","Atheist",0,30,2.7,13,11,7,3,"15","college",2,"3",10,3,65,"respect for their elders","good manners","self-reliance","being considerate","Bernie Sanders","Unsure",3,"Independent",4,8,0,90,9,"L1"
"Female","Female","Yes","Big City","Hispanic","Christian",7,23,3.1,15,1,2,1,"14","middle school",4,"2",3,0,80,"respect for their elders","good manners","self-reliance","being considerate","Bernie Sanders","Unsure",1,"Democratic",10,10,0,0,6,"L1"
"Female","Female","No","Big City Subrub","White","Jewish",5,26,2.5,0,0,0,0,"13","college",7,"5",5,6,100,"respect for their elders","good manners","self-reliance","well-behaved","Bernie Sanders","Jill Stein",3,"Democratic",4,8,0,50,6,"L1"
"Male","Male","No","Big City","Asian","Christian",6,22,3.3,3,3,1,1,"17","high school",2,"4",3,5,110,"respect for their elders","curiosity","obedience","well-behaved","Bernie Sanders","Hillary Clinton",6,"Democratic",7,8,0,100,8,"L1"
"Female","Female","No","Small Town","White","Christian",8,31,4,3,0,1,1,"16","college",3,"6",4,3,70,"respect for their elders","curiosity","obedience","being considerate","Unsure","Unsure",7,"Republican",5,8,5,10,9,"L1"
"Female","Female","No","Big City Subrub","White","Christian",8,28,3.7,5,6,0,0,"still waiting","lower grades",14,"1",6,0,90,"respect for their elders","curiosity","self-reliance","being considerate","Ben Carson","Donald Trump",7,"Republican",5,10,0,0,7,"L1"
"Female","Female","No","Big City Subrub","White","Christian",2,26,4,10,29,3,1,"16","high school",8,"1",4,6,70,"respect for their elders","good manners","obedience","being considerate","Donald Trump","Donald Trump",8,"Republican",5,10,0,80,8,"L1"
"Female","Female","No","Medium City","Asian","Religious but not one of the above",7,27,3.6,2,2,0,0,"still waiting","lower grades",10,"3",3,3,80,"respect for their elders","good manners","obedience","well-behaved","Hillary Clinton","Hillary Clinton",0,"Democratic",5,10,0,100,7,"L1"
