"gender","Age","height","weight","Pets","Speed","Cash","Sleep","Shoes","Charity","Cheat","Greek","Handed","Soulmate"
"male",20,72,142,12,122,13,6,10,30,1,"no","right","few"
"female",22,61,135,4,90,20,7,8,35,0,"yes","right","thousands"
"female",20,62,105,5,95,18,7,12,80,2,"no","right","one"
"male",20,72,153,0,91,67,7.5,5,90,10,"no","right","one"
"female",19,64,155,3,80,1,7,10,75,0,"no","right","few"
"female",21,73,160,0,100,27,6.5,82,75,2,"no","left","one"
"female",21,63,132,2,85,0,7,20,50,0,"no","right","dozens"
"female",21,64,115,2,100,4,8,26,50,3,"no","right","thousands"
"female",19,63,128,1,74,0,8,19,70,0,"no","right","few"
"female",19,65,124,1,98,43,8,30,50,0,"no","right","one"
"male",20,71,226,3,105,60,7.5,4,95,10,"no","right","few"
"female",19,64,110,0,0,200,7,38,60,9,"no","left","few"
"male",20,75,190,7,115,9,5.5,11,10,2,"yes","left","dozens"
"female",19,65,127,6,95,12,4.5,30,50,0,"no","right","few"
"male",19,70,135,4,0,30,6.5,8,30,2,"no","right","millions"
"female",20,63,115,0,80,200,4,10,10,0,"no","right","none"
"female",20,64,110,2,77,3,8,12,75,2,"no","right","hundreds"
"female",19,70,145,3,90,10,6,9,75,3,"yes","ambidextrous","few"
"female",18,70,130,0,90,100,8.5,10,75,2,"no","right","dozens"
"male",21,72,190,5,120,60,6,7,20,10,"yes","right","dozens"
"male",20,66,158,3,80,100,7,6,50,0,"no","right","one"
"female",19,67,125,8,105,20,8.5,20,100,4,"no","right","one"
"male",21,71,154,2,118,0,6.5,10,10,1,"no","right","millions"
"male",20,71,180,8,110,28,6,6,45,0,"no","right","few"
"male",19,69,170,1,110,20,6.5,6,25,1,"no","ambidextrous","few"
"male",19,74,200,0,130,12,8,6,10,2,"no","right","few"
"female",20,66,165,2,110,15,7,33,50,2,"no","right","few"
"female",21,64,155,2,90,110,5,32,100,0,"no","right","one"
"female",20,69,133,7,93,1,7,76,60,0,"no","right","thousands"
"female",19,66,119,1,75,16,8,14,40,5,"no","right","few"
"male",23,71,164,0,168,90,6,10,10,0,"no","right","few"
"female",19,68,140,1,98,20,8,35,80,1,"no","right","few"
"female",19,64,133,70,87,25,6,13,40,0,"no","right","dozens"
"female",19,59,97,1,100,8,6,10,50,1,"no","right","few"
"female",19,64,119,2,85,20,7,33,60,3,"yes","right","one"
"female",21,68,140,6,80,200,6.5,8,0,0,"yes","right","one"
"female",20,65,165,4,100,2,6,20,75,0,"yes","right","one"
"female",19,61,96,0,80,24,8.5,16,75,3,"no","right","few"
"female",20,60,109,11,90,7,6.5,8,25,5,"no","right","few"
"female",20,64,140,2,95,40,6.5,30,60,2,"no","right","none"
"male",19,74,210,2,130,25,5,6,60,20,"yes","right","few"
"male",21,77,285,2,100,43,6.5,37,10,3,"no","right","dozens"
"female",19,63,125,3,70,15,6,12,50,1,"no","right","one"
"male",20,68,143,2,90,16,7,6,80,0,"no","right","few"
"male",19,68,160,3,85,25,7.5,6,75,0,"no","right","few"
"female",20,67,152,3,80,3,8,25,50,0,"no","right","few"
"male",19,72,180,11,95,7,6,7,20,0,"no","right","thousands"
"male",19,71,138,1,100,200,6,6,60,5,"no","right","few"
"female",19,64,138,1,95,130,7,35,50,10,"no","right","dozens"
"male",20,72,170,2,123,51,7,4,80,2,"no","right","few"
"female",19,66,130,3,35,26,8,17,60,3,"no","right","few"
"male",19,72,162,0,120,10,5.5,6,40,1,"no","right","few"
"male",21,68,143,3,125,36,6,8,10,2,"no","right","few"
"female",21,62,106,15,70,52,6,15,100,0,"no","right","one"
"male",22,68,150,4,90,58,8,5,50,5,"no","right","few"
"female",19,63,111,2,99,300,7,12,95,1,"no","right","one"
"female",20,68,135,2,92,19,7,30,50,10,"no","right","few"
"female",20,61,94,13,115,40,8,13,30,5,"no","right","one"
"female",19,66,160,1,100,2,7,15,50,4,"no","right","one"
"female",20,61,135,1,97,5,7,30,50,2,"no","right","few"
"female",21,67,135,5,110,25,7.5,12,85,0,"yes","right","millions"
"male",18,65,120,0,90,100,6.5,8,25,2,"no","right","one"
"female",19,62,96,2,95,130,6.5,25,30,3,"yes","right","dozens"
"female",18,64,135,1,90,30,6.5,12,70,10,"no","right","few"
"female",20,69,148,10,84,30,7,42,50,7,"yes","right","few"
"male",19,72,195,1,105,22,6,8,5,3,"yes","left","thousands"
"female",20,65,135,0,122,35,6,22,35,0,"no","right","few"
"female",20,70,142,1,100,14,7,20,15,1,"yes","right","few"
"female",19,67,146,1,100,200,7.5,30,65,4,"no","right","few"
"male",20,66,125,0,99,15,7.5,6,30,50,"no","right","dozens"
"female",19,69,130,1,60,40,7.5,30,90,3,"yes","right","few"
"female",19,69,150,2,85,21,8,14,50,0,"no","right","millions"
"female",19,67,135,2,85,6,8,15,80,1,"yes","right","dozens"
"female",20,63,115,3,96,30,4.5,30,95,5,"no","right","one"
"female",20,68,150,0,50,5,8,12,60,1,"no","right","one"
"female",20,62,115,2,95,10,6.5,15,50,10,"yes","right","few"
"male",20,72,152,9,110,35,7.5,10,30,10,"yes","ambidextrous","hundreds"
"female",19,64,170,0,70,8,7,9,15,3,"no","right","few"
"male",20,69,180,0,70,35,7.5,6,25,0,"yes","right","few"
"female",18,66,160,0,83,18,7.5,33,65,5,"no","right","one"
"female",21,69,166,1,110,15,7,24,85,0,"no","right","one"
"female",19,70,212,3,94,0,7.5,25,60,3,"yes","left","hundreds"
"female",19,64,185,2,110,0,7,31,70,0,"no","right","few"
"male",19,73,175,2,120,10,7.5,5,100,0,"no","right","few"
"male",21,83,163,20,100,10,7,12,75,2,"no","left","one"
"female",21,61,155,1,85,5,8.5,10,55,1,"no","right","few"
"male",20,69,173,4,85,80,7.5,4,95,3,"no","left","few"
"female",20,63,128,1,90,61,7,16,90,2,"yes","right","few"
"female",21,67,150,4,100,110,8,25,50,10,"no","right","few"
"female",18,72,170,4,90,0,6.5,15,95,2,"no","right","few"
"female",18,61,99,1,80,20,7,10,55,0,"yes","right","few"
"male",20,72,170,3,115,40,12.5,10,60,15,"yes","right","none"
"female",19,64,120,0,90,17,7.5,23,90,0,"no","right","one"
"male",20,71,240,1,90,13,9,4,10,3,"no","right","few"
"male",19,70,155,1,90,100,7.5,4,80,0,"no","right","few"
"female",19,67,135,1,100,35,9,10,30,10,"no","ambidextrous","few"
"female",19,63,175,1,65,85,6,16,40,2,"no","right","few"
"female",20,64,105,3,115,30,8.5,19,30,0,"no","right","few"
"female",18,64,110,1,82,300,6.5,40,50,0,"no","right","one"
"female",21,66,201,0,80,20,6,30,40,0,"no","right","one"
"female",20,64,160,4,100,0,6,15,75,0,"no","right","few"
"female",20,63,113,1,60,150,7.5,14,50,3,"no","right","one"
"female",19,68,139,0,85,10,7.5,22,20,10,"no","right","hundreds"
"male",20,80,165,4,90,25,7.5,4,100,5,"no","right","dozens"
"male",19,67,161,5,100,90,8.5,5,10,0,"yes","right","dozens"
"female",20,62,105,2,155,45,8,10,30,1,"no","right","none"
"female",19,69,152,1,97,13,6,25,40,4,"no","left","few"
"female",19,67,143,4,92,78,7,44,85,0,"yes","left","few"
"female",20,63,140,1,90,5,7,20,40,4,"yes","right","few"
"female",19,68,154,3,120,13,8,15,50,3,"no","right","one"
"female",19,64,119,3,0,150,7,6,35,0,"no","right","one"
"female",20,65,144,1,98,0,7,30,65,0,"no","right","few"
"male",20,74,215,3,102,19,6.5,12,50,10,"no","right","one"
"male",21,72,151,0,90,95,7,10,50,0,"yes","right","one"
"female",20,66,137,3,85,25,7.5,10,50,2,"no","right","few"
"male",19,74,210,10,130,1,4,25,50,100,"yes","ambidextrous","few"
"female",20,68,200,3,110,0,7,20,100,0,"yes","right","few"
"female",20,64,102,0,0,90,7,11,10,5,"no","right","few"
"male",20,67,135,16,125,0,7.5,4,0,1,"no","right","one"
"female",20,66,139,3,70,20,6.5,10,40,0,"yes","right","few"
"female",19,63,118,0,80,10,6,15,50,10,"yes","right","one"
"female",19,64,164,0,65,37,6,20,35,10,"no","right","one"
"female",18,61,125,1,90,11,7,23,55,1,"no","right","few"
"female",20,64,128,1,45,27,4.5,13,80,50,"no","right","few"
"female",19,65,123,3,82,15,7,25,35,0,"yes","right","few"
"female",19,67,170,10,115,26,7,20,50,0,"yes","right","few"
"male",20,74,170,1,100,300,6.5,6,60,5,"no","right","one"
"male",21,74,194,0,130,22,8,5,25,6,"no","right","thousands"
"male",20,68,203,0,110,0,6.5,6,50,3,"no","left","few"
"male",20,72,180,1,95,11,6.5,10,25,0,"no","right","few"
"male",19,69,135,2,100,30,7.5,15,25,10,"no","right","thousands"
"female",19,70,155,7,100,20,8,20,60,1,"no","right","few"
"female",21,64,230,50,90,1,7.5,30,70,0,"yes","ambidextrous","few"
"male",21,64,127,7,122,600,7,4,80,0,"no","right","thousands"
"female",20,65,110,2,105,25,6,25,30,0,"yes","right","dozens"
"female",19,59,120,5,100,40,6,21,100,0,"no","right","few"
"female",20,64,117,0,90,20,6.5,9,80,0,"no","right","one"
"female",19,71,165,5,100,0,6,50,100,0,"no","right","dozens"
"female",20,68,115,0,120,2,7,8,10,0,"no","right","one"
"female",20,72,137,3,100,1,6.5,28,40,0,"no","right","one"
"female",19,62,120,3,90,60,7,25,75,0,"no","ambidextrous","few"
"female",20,64,123,0,93,70,5,8,20,0,"no","right","few"
"female",20,60,102,5,85,10,8.5,6,75,0,"no","right","few"
"female",19,65,130,5,84,0,6,10,90,4,"no","right","one"
"female",19,63,100,5,95,62,8,13,80,0,"no","right","one"
"male",19,75,205,2,100,20,6.5,4,70,0,"no","right","one"
"male",20,73,185,1,90,150,7,5,95,10,"no","right","dozens"
"male",20,72,220,0,95,60,6.5,10,35,7,"no","right","one"
"female",21,63,135,10,104,30,6,8,60,1,"no","right","few"
"female",19,66,160,3,88,23,5,11,75,1,"no","left","none"
"male",19,71,190,6,110,300,7,20,50,2,"yes","right","few"
"female",19,62,121,4,93,110,8,16,75,5,"no","left","few"
"female",18,65,140,5,113,110,8,13,30,30,"no","right","one"
"male",22,72,195,1,120,0,7,18,10,25,"no","right","few"
"male",19,70,138,0,40,500,6,4,90,10,"no","right","one"
"female",19,70,153,0,89,60,7,11,25,0,"no","right","few"
"male",18,71,165,6,110,400,6,10,90,20,"yes","ambidextrous","one"
"male",20,71,159,0,90,200,7,20,50,0,"no","right","few"
"female",19,70,160,0,110,33,7.5,40,100,0,"no","right","hundreds"
"female",19,62,115,12,85,0,7,6,50,2,"no","right","few"
"female",19,61,105,0,75,55,4.5,6,90,2,"no","right","one"
"male",21,69,178,2,104,23,7,9,15,10,"yes","right","hundreds"
"male",19,70,150,0,55,110,7,6,95,3,"no","right","hundreds"
"female",19,64,127,0,80,40,7,15,80,1,"no","right","few"
"female",19,62,115,0,90,10,7.5,11,40,2,"yes","right","dozens"
"female",20,69,137,8,85,26,8.5,10,95,0,"no","left","dozens"
"female",22,71,184,0,93,0,6,31,30,0,"no","right","few"
"male",27,70,165,3,100,10,7.5,10,25,0,"yes","right","few"
"female",19,63,103,0,78,21,8,25,50,1,"no","right","few"
"female",18,69,145,2,90,20,8,12,60,5,"no","right","dozens"
"female",20,64,250,0,85,0,7.5,7,30,5,"no","right","few"
"male",19,72,150,1,115,3,7.5,7,55,0,"yes","right","few"
"male",19,72,164,3,101,4,7,10,75,0,"no","right","dozens"
"female",19,68,133,0,0,40,6,14,10,0,"no","right","few"
"male",19,73,165,3,100,23,8,9,10,0,"no","right","few"
"male",21,70,176,11,120,100,7,9,90,1,"no","right","few"
"female",19,66,150,7,100,6,7,25,20,0,"no","right","few"
"female",20,59,147,5,85,15,6.5,47,50,0,"no","right","one"
"female",19,62,135,0,115,0,7,15,90,60,"yes","right","few"
"female",20,67,117,2,90,24,6.5,7,100,3,"no","right","few"
"female",20,65,135,3,90,10,7,35,65,0,"yes","right","few"
"female",21,67,163,6,95,30,7,10,10,0,"no","left","few"
"male",19,72,180,5,105,10,5.5,7,80,0,"no","left","none"
"female",20,71,150,3,100,15,7,5,70,0,"no","right","few"
"female",20,61,113,0,95,18,7,45,50,2,"yes","right","few"
"male",20,73,180,10,117,15,7,5,100,10,"no","right","dozens"
"female",19,68,150,0,80,40,7.5,12,20,3,"yes","right","few"
"female",18,64,120,2,80,40,4,20,10,5,"no","right","none"
"female",19,65,147,1,80,60,6.5,11,25,6,"no","right","few"
"male",20,68,140,0,50,25,7,2,75,3,"yes","right","dozens"
"female",19,65,135,10,100,15,8.5,15,100,0,"yes","right","few"
"female",19,69,160,7,110,40,8.5,54,75,1,"yes","right","few"
"female",19,64,110,1,80,60,7,30,80,3,"no","right","few"
"female",19,63,115,10,115,40,7,30,5,30,"no","right","few"
"female",19,72,148,6,135,15,6.5,20,25,1,"yes","right","one"
"male",21,72,187,1,100,0,7.5,6,85,15,"no","left","dozens"
"male",20,70,150,2,95,73,6.5,3,85,5,"yes","right","one"
"male",19,74,175,1,110,35,8,4,50,30,"yes","right","few"
"male",21,69,150,0,100,0,7,5,95,1,"yes","right","few"
"female",20,70,150,4,100,80,7,30,30,10,"yes","right","few"
"female",19,64,140,1,83,7,6.5,12,60,5,"no","right","few"
"female",18,64,140,5,80,100,7.5,10,100,0,"no","left","few"
"male",19,74,195,2,90,10,6.5,8,90,0,"no","right","one"
"female",21,68,140,1,85,5,8.5,15,35,0,"yes","left","few"
"female",18,62,120,3,102,15,6,30,65,2,"yes","right","one"
"female",20,65,109,0,0,10,4.5,30,80,0,"no","right","one"
"female",18,70,130,1,120,0,9,50,50,2,"yes","ambidextrous","one"
"female",19,67,135,10,90,2,7,39,65,0,"no","right","few"
"male",20,72,158,3,127,50,7,8,70,0,"no","right","few"
"female",19,64,139,1,90,10,7.5,25,50,0,"yes","right","few"
"female",21,57,110,1,0,20,7,50,50,0,"no","right","few"
"female",19,69,123,9,90,11,7.5,20,90,3,"yes","right","few"
"female",18,71,149,5,104,37,7.5,26,75,1,"no","right","few"
"female",21,63,117,3,90,30,8.5,25,50,0,"no","right","dozens"
"female",21,60,98,1,0,20,8,30,50,10,"no","right","few"
"female",19,68,128,2,92,7,7,75,65,1,"no","right","few"
"male",21,74,215,4,104,200,7.5,5,50,0,"yes","ambidextrous","few"
"female",18,67,118,5,90,61,8.5,5,100,4,"no","right","dozens"
"male",19,72,135,1,90,10,6,3,90,3,"no","left","thousands"
"female",18,66,150,1,70,40,7,40,85,0,"no","right","few"
"female",19,63,105,5,100,6,7.5,5,50,10,"no","right","few"
"female",19,60,120,4,80,45,8,40,100,0,"no","right","one"
"male",19,74,175,1,100,15,8,6,50,0,"yes","right","one"
"female",19,64,145,3,55,1,8,15,10,10,"no","left","one"
"female",18,72,160,3,100,90,7,59,80,5,"no","right","few"
"male",19,75,275,1,90,100,9,3,30,10,"no","right","one"
"female",19,62,115,0,85,13,7,12,75,10,"no","right","few"
"male",20,71,160,3,120,2,6.5,5,75,0,"no","right","dozens"
"male",19,76,220,6,125,100,8.5,8,0,5,"no","right","few"
"male",21,68,155,0,100,0,7,5,80,0,"no","left","hundreds"
"male",21,72,180,0,0,0,6,20,20,0,"no","right","dozens"
"male",19,74,200,3,100,0,7,5,100,0,"no","right","dozens"
"female",19,62,120,0,90,38,5,18,10,10,"no","left","few"
"female",18,69,139,0,100,19,8,24,50,3,"no","ambidextrous","few"
"male",21,76,220,16,125,0,5.5,4,100,0,"no","right","one"
"female",18,64,155,0,80,30,6.5,15,95,1,"no","right","few"
"female",22,61,108,0,65,200,7,15,50,2,"no","right","few"
"female",20,64,140,1,85,2,7.5,18,45,0,"no","right","one"
"male",19,75,203,0,90,35,7.5,5,65,2,"no","right","dozens"
"female",19,65,127,5,90,10,8,25,70,2,"yes","right","few"
"female",19,64,132,2,80,20,6.5,12,65,0,"yes","right","few"
"male",21,76,180,3,100,10,9,4,25,1,"no","right","hundreds"
"female",19,63,150,0,80,2,7.5,7,65,5,"no","right","few"
"female",19,65,150,0,85,40,7,20,25,1,"no","right","one"
"female",19,63,126,3,85,50,7.5,20,10,2,"no","right","few"
"male",23,75,186,13,94,1,7.5,8,50,0,"no","left","thousands"
"female",20,66,120,0,80,150,7.5,20,50,5,"no","right","one"
"male",19,70,147,1,80,62,8,10,40,2,"no","right","dozens"
"male",20,69,200,1,110,9,8,6,25,0,"no","right","few"
"female",19,62,107,1,105,60,6,30,50,0,"yes","right","one"
"female",19,64,120,1,80,5,6,13,50,1,"no","right","few"
"female",20,65,180,0,60,40,5.5,50,65,0,"no","right","few"
"female",21,66,105,7,95,9,6.5,50,65,0,"no","right","dozens"
"female",20,67,160,10,100,10,6.5,10,60,5,"no","ambidextrous","one"
"female",20,68,165,6,100,17,7,30,100,10,"yes","right","few"
"male",19,75,250,4,100,10,8.5,3,5,5,"no","left","few"
"female",19,65,130,0,95,19,7,25,85,4,"no","right","few"
"male",20,73,175,2,102,0,6.5,18,45,3,"no","ambidextrous","one"
"female",21,66,125,13,110,23,8,12,100,0,"no","right","thousands"
"female",20,69,130,1,105,17,6,8,100,1,"no","right","one"
"female",19,64,140,5,100,3,6,60,5,10,"no","right","dozens"
"female",20,65,143,2,110,110,8.5,20,10,5,"no","right","one"
"male",20,71,170,0,110,71,6,6,75,15,"yes","right","one"
"female",19,67,130,1,105,100,7,34,80,0,"no","right","one"
"male",20,73,146,4,88,66,8,8,75,3,"no","right","few"
"male",20,72,300,1,54,40,8,3,25,20,"yes","right","dozens"
"female",18,62,117,1,101,150,7,38,95,2,"no","ambidextrous","few"
"female",19,62,105,0,112,48,7.5,15,75,0,"no","right","few"
"female",19,63,105,2,105,300,6,13,40,2,"no","right","few"
"male",20,68,160,5,92,100,8,4,0,5,"no","right","few"
"female",19,64,125,3,88,2,8.5,19,80,0,"no","right","few"
"female",18,67,123,0,90,40,9,13,75,5,"no","right","few"
"female",19,65,130,15,90,0,7,12,50,0,"no","right","few"
"female",20,64,108,0,95,120,6,12,20,0,"no","right","few"
"male",19,57,145,1,105,25,8,7,50,1,"no","right","few"
"male",21,67,130,0,200,84,8,9,35,100,"no","right","dozens"
"male",19,69,160,4,105,3,6.5,10,10,0,"no","right","few"
"female",21,65,135,0,95,33,8,28,50,1,"no","right","few"
"female",20,60,198,0,87,150,6.5,10,20,30,"no","right","none"
"female",19,60,104,0,88,110,7,20,40,0,"no","right","few"
"male",19,82,195,5,120,47,8,7,30,7,"yes","ambidextrous","one"
"male",20,74,185,2,120,200,7.5,12,80,8,"yes","right","few"
"male",20,67,150,2,90,6,5.5,3,10,20,"no","right","thousands"
"male",19,72,152,0,100,100,8,5,40,40,"no","right","few"
"male",19,74,175,0,100,22,6,4,100,5,"no","right","few"
"male",19,74,170,1,110,9,7,5,90,0,"yes","right","few"
"female",20,63,114,0,85,0,7,15,50,0,"no","right","one"
"female",19,62,142,1,78,15,5,20,50,6,"no","left","dozens"
"female",20,66,135,2,110,61,5,40,45,4,"no","left","few"
"female",20,64,121,2,90,0,7,20,0,15,"no","right","none"
"female",19,64,141,0,85,7,6.5,10,60,10,"no","right","few"
"male",19,70,155,0,88,22,8,6,40,100,"no","right","one"
"female",20,62,165,0,60,15,5,10,75,1,"no","right","one"
"female",21,63,100,10,115,20,7,23,55,0,"no","left","one"
"female",22,65,130,4,98,120,6.5,40,90,1,"no","right","few"
"female",20,67,133,10,109,8,7,37,0,1,"yes","right","hundreds"
"male",20,74,201,10,130,1,7.5,7,95,4,"no","right","hundreds"
"male",19,72,145,1,102,43,8,7,25,5,"yes","right","one"
"female",19,62,115,2,80,18,10,12,75,5,"yes","ambidextrous","few"
"female",19,65,165,0,85,100,7,20,65,0,"no","right","few"
"male",19,72,182,0,120,200,7.5,29,25,3,"no","right","few"
"female",20,63,112,3,70,23,8,6,20,25,"no","right","few"
"female",20,66,123,1,90,150,7,20,90,10,"yes","right","few"
"female",20,67,150,7,75,0,7.5,15,75,2,"no","right","few"
"female",19,66,110,9,130,0,6,36,80,0,"yes","right","few"
"female",20,61,126,1,98,51,6.5,49,60,2,"yes","right","few"
"male",19,71,195,0,110,20,8,5,60,3,"no","right","few"
"female",19,64,124,0,80,0,7,10,20,2,"no","right","one"
"male",20,65,140,0,115,43,5,6,95,3,"no","right","hundreds"
"male",21,74,195,0,100,30,6,25,50,0,"yes","right","one"
"male",20,67,183,0,130,10,6,7,30,0,"no","right","few"
"male",19,70,147,2,123,200,5,7,15,30,"yes","right","few"
"male",22,72,180,0,75,60,4,4,30,0,"no","right","one"
"male",21,70,156,0,85,2,8.5,3,20,0,"no","right","millions"
"female",19,67,165,0,92,100,8,35,95,2,"no","right","one"
"female",19,68,160,2,90,13,6.5,19,95,0,"yes","right","few"
"female",19,60,97,3,95,40,6,24,65,2,"no","right","one"
"female",20,66,145,0,90,20,6,20,80,1,"no","right","few"
"female",19,66,125,5,90,60,7,20,85,5,"no","right","few"
"female",19,64,120,1,85,0,6,30,100,10,"no","right","few"
"female",22,68,143,80,95,56,7.5,20,75,0,"no","right","few"
"female",19,63,127,2,110,89,6.5,33,50,1,"yes","right","few"
"female",19,64,111,1,80,29,8,24,65,4,"yes","right","few"
"male",19,69,210,2,90,11,7.5,5,65,0,"no","right","few"
"female",20,64,149,1,110,5,8,15,30,10,"yes","right","few"
"female",21,62,125,5,110,42,6,20,80,2,"yes","right","one"
"male",19,70,135,0,95,1,7,5,55,4,"no","right","few"
"male",19,74,184,0,99,15,8,4,80,50,"yes","right","one"
"male",20,69,160,3,150,61,6,7,50,0,"no","right","hundreds"
"female",19,71,160,2,104,21,8,22,60,0,"yes","right","hundreds"
"female",18,65,132,7,80,8,7.5,12,60,0,"no","right","few"
"male",18,64,178,0,72,20,6.5,4,100,0,"no","right","thousands"
"male",20,70,160,0,100,2,6.5,15,80,0,"no","right","few"
"female",18,73,120,1,80,25,7.5,17,100,0,"no","right","one"
"female",19,74,110,15,90,0,5.5,10,90,2,"no","right","one"
"female",19,70,150,0,0,23,4,15,50,2,"no","right","few"
"female",18,72,137,1,85,16,7,20,95,10,"no","right","one"
"female",19,74,140,1,95,10,7,23,50,3,"yes","right","one"
"male",19,67,165,0,75,100,8.5,2,5,25,"no","right","few"
"female",19,65,152,1,80,3,7,28,10,2,"yes","right","few"
"male",21,64,150,6,120,6,7,3,10,0,"yes","right","few"
"female",19,62,140,4,70,30,7,20,50,2,"yes","right","few"
"male",19,67,185,1,95,200,6.5,5,50,3,"yes","right","dozens"
"female",18,67,140,3,75,25,7,20,50,0,"no","right","dozens"
"male",18,68,130,13,92,29,5,6,50,30,"no","right","hundreds"
"female",19,65,143,4,100,25,6,10,50,3,"no","right","few"
"female",19,67,95,0,70,40,9,9,10,2,"no","right","dozens"
"male",22,69,142,4,150,8,7,5,50,0,"no","right","one"
"female",18,66,110,4,85,40,6,16,60,2,"no","right","few"
"female",17,62,120,1,112,10,6,20,35,10,"no","right","dozens"
"male",20,67,150,4,45,40,6.5,4,20,5,"no","right","one"
"female",18,67,155,2,90,30,8,20,80,0,"no","right","millions"
"female",18,64,128,1,92,81,7.5,22,90,1,"no","right","few"
"female",18,63,108,6,95,33,8,18,100,1,"no","left","few"
"male",19,68,260,0,90,0,9,18,100,0,"no","left","one"
"male",19,73,188,0,95,12,7.5,4,50,0,"yes","right","thousands"
"female",18,65,108,8,90,9,6.5,15,80,0,"no","right","few"
"male",19,72,223,1,60,60,8,3,75,0,"no","right","one"
"female",18,64,150,2,100,2,6.5,10,30,3,"no","right","one"
"male",19,72,120,0,80,2,7,2,50,2,"no","right","few"
"female",18,69,120,2,80,150,8.5,25,70,20,"no","right","few"
"female",19,74,116,3,85,10,5.5,11,5,2,"yes","right","few"
"female",18,72,107,2,90,30,6.5,15,100,10,"no","right","few"
"male",21,73,200,0,100,75,7.5,4,40,0,"no","right","one"
"female",19,64,110,0,90,400,7,20,100,1,"yes","right","one"
"male",19,64,135,2,110,63,7,2,30,30,"yes","right","thousands"
"female",18,64,138,6,120,5,7,54,100,2,"no","right","dozens"
"female",18,72,145,2,91,25,6.5,30,15,1,"no","right","one"
"male",18,65,225,2,110,22,7,7,5,1,"no","right","hundreds"
"male",18,64,130,0,100,110,7.5,12,20,1,"no","right","few"
"female",18,69,140,3,86,0,6,9,85,2,"no","right","few"
"female",18,67,142,0,79,0,7,15,95,3,"no","right","few"
"female",18,65,143,2,102,60,8,16,30,3,"no","right","one"
"female",20,66,94,9,70,30,6.5,12,45,5,"no","right","few"
"male",19,74,155,0,85,12,7.5,3,40,0,"yes","right","one"
"female",19,68,183,8,50,6,7,5,25,1,"no","ambidextrous","one"
"female",19,66,135,3,85,20,8.5,20,50,1,"yes","right","few"
"female",21,63,125,7,95,2,8,4,10,0,"yes","right","dozens"
"female",18,72,107,2,75,150,6.5,10,50,0,"no","right","one"
"male",18,69,185,0,90,6,6,3,50,5,"no","left","few"
"female",19,62,150,1,85,20,7,9,100,0,"no","right","few"
"female",18,65,137,2,74,40,6.5,22,100,1,"no","right","one"
"male",19,72,190,1,120,25,6.5,8,10,0,"no","right","few"
"male",19,63,150,0,85,50,7.5,7,25,0,"no","right","few"
"female",21,66,135,2,90,17,7,10,100,2,"no","left","few"
"female",19,69,135,1,90,44,8.5,18,90,15,"no","right","few"
"female",19,64,123,0,75,1,7,9,75,4,"no","right","one"
"female",19,74,145,1,92,23,7,14,50,15,"no","right","few"
"female",18,67,132,1,15,1,6,20,50,0,"no","right","one"
"female",19,68,123,5,90,20,7,12,95,0,"no","right","few"
"female",18,65,125,6,100,30,8.5,20,20,40,"no","left","one"
"male",20,70,166,0,95,6,7.5,5,60,1,"no","right","few"
"female",18,71,125,2,85,7,8,4,75,5,"no","right","millions"
"female",20,66,110,1,90,20,7,10,100,0,"no","right","few"
"female",19,68,120,3,90,3,7,12,35,3,"yes","right","few"
"female",18,66,135,2,90,10,5,10,25,1,"no","right","one"
"male",18,66,177,0,100,2,6.5,5,50,0,"yes","right","few"
"male",19,70,170,6,65,60,6,30,30,0,"no","right","few"
"female",18,66,100,0,90,300,7,25,95,1,"no","right","one"
"female",18,66,144,2,107,60,6,27,20,8,"no","right","one"
"female",18,71,180,2,100,45,6.5,5,75,4,"no","right","few"
"female",20,58,125,3,90,20,6.5,12,50,2,"yes","right","few"
"female",18,66,120,0,99,0,7.5,17,100,0,"no","right","few"
"female",18,66,150,0,95,60,8,10,90,3,"no","right","one"
"male",20,72,170,5,115,88,8,5,25,2,"yes","right","dozens"
"female",18,64,123,2,85,7,7.5,25,50,5,"no","right","few"
"female",18,69,127,1,82,100,8,15,85,10,"no","right","one"
"female",18,61,100,0,70,45,6,15,25,2,"no","right","few"
"female",19,67,135,6,85,6,7,15,70,0,"no","right","one"
"female",18,62,148,2,90,20,6.5,26,95,2,"no","right","few"
"female",18,65,125,1,90,42,6.5,20,60,7,"no","left","few"
"female",19,72,128,4,95,15,7,16,60,10,"no","right","few"
"female",19,66,105,2,85,100,7,5,100,1,"no","right","one"
"male",17,66,96,4,18,18,8.5,16,85,40,"no","right","few"
"female",19,68,154,2,82,6,8,17,30,5,"no","right","one"
"female",19,76,110,7,90,50,7,9,100,0,"no","right","few"
"female",18,63,113,2,93,25,5.5,35,90,2,"no","right","few"
"male",18,62,218,2,90,40,7.5,6,25,20,"no","left","dozens"
"female",19,73,115,3,90,120,6.5,20,85,5,"no","left","thousands"
"female",18,63,120,0,90,44,7,20,100,0,"no","right","few"
"female",18,64,126,16,85,200,7,18,80,1,"no","ambidextrous","thousands"
"male",18,66,160,4,120,36,6,3,20,2,"no","left","one"
"male",21,74,225,8,160,120,5,8,10,5,"yes","right","few"
"female",18,62,135,2,120,2,6,40,50,10,"no","right","few"
"female",18,61,135,1,85,50,8,20,50,20,"no","right","one"
"male",19,70,201,0,0,65,6.5,4,100,0,"no","right","one"
"female",19,65,125,8,130,10,6.5,28,50,2,"yes","left","one"
