"gender","genderID","ethnicity","citizen","Muslim","religious","conservative_self","conservative_parents","sexualOrientation","familyKnowsSexualOrientation","age_sexualOrientation","changeSexualOrientation","sameSexExperience","dateTransgender","MFS_self","MFS_present","MFS_attraction","gayFeelings","lesbianFeelings","sexPartners","relationship","sexInSeriousRelationship","seriousSex","sexBeforeMarriage","children","abortion","bed","birthMonth","TProll","TPconfig","foodPreference","burgers","innocentVsGuility","sexVsLove","attendance","version"
"Female","Female","White","Yes","Uncertain",8,8,5,"straight","Yes",7,"No","No","No",9,7,0,0,0,0,0,5,7,"Unsure",3,"Illegal most of the time","Yes","June","Under","FOLD","Mcdonalds","Burger King","Guilty Free","No Sex","funeral",1
"Female","Female","White","Yes","Yes",0,5,7,"straight","Yes",10,"No","No","No",8,6,3,0,0,0,0,8,6,"Yes - I would",5,"Legal most of the time","No","November","Over","WAD","Mcdonalds","Mcdonalds","Guilty Free","No Sex","wedding",1
"Female","Female","Asian","Yes","No",7,3,7,"straight","Yes",14,"No","No","No",7,7,2,0,0,0,2,1,4,"No",2,"Legal most of the time","Yes","May","Over","FOLD","Mcdonalds","Burger King","Guilty Free","No Sex","funeral",2
"Female","Female","Black","Yes","No",2,2,4,"bi","Some do",17,"No","No","Yes",4,4,5,0,0,0,0,4,8,"Yes - I would",2,"Always Legal","No","May","Over","WAD","Mcdonalds","Burger King","Innocent Executed","No Sex","wedding",2
"Male","Male","White","Yes","No",1,0,1,"straight","Yes",14,"No","No","No",0,0,10,0,0,2,2,5,2,"Yes - I already have",2,"Legal most of the time","Yes","October","Over","FOLD","Mcdonalds","Mcdonalds","Guilty Free","No Sex","funeral",1
"Male","Male","Asian","Yes","No",10,7,8,"straight","Yes",10,"No","No","No",2,0,7,3,3,6,2,6,10,"Yes - I already have",2,"Illegal most of the time","No","September","Over","FOLD","Mcdonalds","Mcdonalds","Guilty Free","No Sex","funeral",2
"Female","Female","Other","Yes","No",3,6,8,"straight","Yes",2,"No","No","No",8,8,1,0,0,0,2,5,8,"Yes - I would",3,"Always Legal","Yes","July","Over","FOLD","Mcdonalds","Burger King","Innocent Executed","No Sex","funeral",1
"Female","Other","Asian","Yes","No",6,4,7,"other","No",8,"No","Yes","Yes",6,7,4,1,1,2,3,2,3,"Yes - I already have",2,"Neutral","No","December","Under","WAD","Mcdonalds","Burger King","Guilty Free","No Sex","wedding",2
"Female","Female","White","Yes","Uncertain",5,5,5,"straight","Yes",5,"No","No","Yes",9,9,1,0,0,1,1,6,5,"Yes - I already have",3,"Legal most of the time","No","June","Over","WAD","Mcdonalds","Mcdonalds","Innocent Executed","No Sex","wedding",2
"Female","Female","Other","Yes","Yes",7,7,7,"straight","Yes",5,"No","No","Yes",9,9,10,0,0,1,2,5,10,"Yes - I already have",3,"Always Legal","Yes","January","Over","WAD","Mcdonalds","Mcdonalds","Innocent Executed","No Sex","wedding",1
"Female","Female","Hispanic","Yes","No",5,3,8,"straight","Yes",4,"No","No","No",10,10,0,0,7,0,0,10,10,"Yes - I would",3,"Illegal most of the time","No","December","Under","FOLD","Mcdonalds","Mcdonalds","Innocent Executed","No Sex","funeral",2
"Female","Female","Asian","Yes","No",3,4,6,"straight","Yes",13,"No","No","Yes",5,6,3,0,0,0,0,4,3,"Unsure",3,"Legal most of the time","No","December","No preference","FOLD","Mcdonalds","Burger King","Innocent Executed","No Love","wedding",2
"Female","Female","Asian","No","No",0,4,4,"straight","Yes",14,"No","Yes","No",9,8,2,5,5,1,1,10,10,"Yes - I would",2,"Neutral","No","October","Under","FOLD","Burger King","Burger King","Innocent Executed","No Love","funeral",1
"Male","Male","Asian","Yes","No",8,0,1,"straight","Yes",13,"Yes","No","No",2,2,5,0,0,0,5,10,7,"Yes - I would",3,"Always Legal","No","June","No preference","FOLD","Burger King","Burger King","Innocent Executed","No Sex","funeral",2
"Female","Female","White","Yes","No",7,0,5,"straight","Yes",9,"No","No","No",8,8,2,0,0,2,2,7,7,"Yes - I already have",4,"Always Legal","No","September","Over","WAD","Mcdonalds","Burger King","Innocent Executed","No Sex","wedding",1
"Male","Male","White","Yes","Yes",6,3,3,"straight","Yes",2,"No","No","No",2,2,9,4,4,4,1,5,8,"Yes - I already have",3,"Neutral","No","November","Over","FOLD","Mcdonalds","Mcdonalds","Guilty Free","No Sex","wedding",2
"Female","Female","White","Yes","Uncertain",4,5,7,"straight","Yes",8,"No","No","No",8,10,2,2,2,6,0,9,7,"Yes - I already have",2,"Always Legal","No","September","Under","WAD","Mcdonalds","Mcdonalds","Guilty Free","No Sex","wedding",1
"Male","Male","Asian","No","Yes",1,6,5,"straight","Yes",2,"No","No","No",5,5,5,5,5,0,0,5,5,"Unsure",1,"Neutral","No","June","Over","FOLD","Burger King","Mcdonalds","Guilty Free","No Love","funeral",2
"Female","Female","White","Yes","No",5,3,3,"straight","Yes",5,"No","Yes","No",3,4,0,1,1,0,1,2,9,"No",2,"Always Legal","Yes","February","Over","FOLD","Mcdonalds","Burger King","Guilty Free","No Sex","wedding",1
"Male","Male","White","Yes","No",3,4,3,"straight","Yes",10,"No","Yes","No",5,5,7,1,1,0,0,7,2,"Yes - I would",3,"Legal most of the time","Yes","September","Over","WAD","Mcdonalds","Burger King","Guilty Free","No Sex","wedding",2
"Female","Female","White","Yes","Uncertain",9,5,5,"straight","Yes",2,"No","No","No",10,10,0,5,5,2,3,3,10,"Yes - I already have",4,"Illegal most of the time","Yes","May","Over","WAD","Burger King","Mcdonalds","Guilty Free","No Sex","wedding",1
"Female","Female","White","Yes","No",4,0,0,"straight","Yes",5,"No","No","No",9,8,2,0,0,2,1,7,8,"Yes - I would",2,"Always Legal","Yes","July","Over","WAD","Mcdonalds","Burger King","Innocent Executed","No Sex","wedding",2
"Female","Other","White","Yes","No",2,0,0,"bi","No",12,"No","Yes","Yes",2,5,8,0,0,1,0,2,0,"Yes - I would",0,"Always Legal","No","July","Over","WAD","Mcdonalds","Burger King","Guilty Free","No Sex","wedding",1
"Male","Male","Asian","Yes","No",7,6,8,"straight","Yes",2,"No","No","No",0,0,10,10,10,0,2,3,10,"No",3,"Illegal most of the time","No","July","Under","WAD","Burger King","Mcdonalds","Guilty Free","No Love","funeral",2
"Female","Female","Asian","No","Yes",5,5,5,"straight","Yes",15,"No","No","No",5,5,2,5,5,0,0,8,10,"Unsure",2,"Always Legal","No","September","Over","FOLD","Mcdonalds","Mcdonalds","Innocent Executed","No Sex","wedding",2
"Male","Male","Black","Yes","No",6,3,4,"straight","Yes",6,"No","No","No",0,0,0,0,0,9,2,7,6,"Yes - I already have",3,"Always Legal","No","September","Over","WAD","Burger King","Burger King","Innocent Executed","No Love","wedding",2
"Male","Male","Black","Yes","No",7,8,10,"straight","Yes",2,"No","No","No",3,0,10,5,5,1,4,0,3,"Unsure",7,"Neutral","No","January","Under","WAD","Burger King","Mcdonalds","Guilty Free","No Sex","wedding",1
"Female","Female","White","Yes","Uncertain",3,3,6,"bi","No",12,"No","No","Yes",6,6,8,0,0,2,2,9,5,"Yes - I already have",4,"Legal most of the time","No","October","No preference","WAD","Mcdonalds","Burger King","Innocent Executed","No Sex","funeral",1
"Female","Female","Hispanic","Yes","No",7,5,5,"straight","Yes",12,"No","No","No",9,9,2,0,0,0,1,2,10,"No",4,"Always Legal","No","February","Under","WAD","Mcdonalds","Mcdonalds","Innocent Executed","No Sex","funeral",1
"Male","Male","White","Yes","No",0,0,3,"straight","Yes",10,"No","No","No",7,7,8,0,0,1,1,8,4,"Yes - I already have",2,"Legal most of the time","No","April","Over","WAD","Mcdonalds","Burger King","Guilty Free","No Sex","funeral",1
"Female","Female","White","Yes","Uncertain",6,8,10,"straight","Yes",7,"No","No","No",10,10,0,5,5,0,0,0,0,"No",3,"Illegal most of the time","Yes","May","Over","WAD","Mcdonalds","Burger King","Innocent Executed","No Sex","wedding",2
"Male","Male","Hispanic","Yes","No",4,2,3,"straight","Yes",6,"Yes","No","No",3,3,6,0,0,0,0,4,6,"Yes - I would",3,"Illegal most of the time","No","September","Under","FOLD","Mcdonalds","Burger King","Guilty Free","No Sex","wedding",1
"Female","Female","White","Yes","No",5,3,3,"straight","Yes",2,"No","No","No",8,7,1,0,0,1,1,8,3,"Yes - I already have",4,"Legal most of the time","No","April","Over","FOLD","Mcdonalds","Burger King","Guilty Free","No Sex","funeral",2
"Female","Female","Asian","No","No",2,3,5,"straight","Yes",20,"No","No","No",7,7,10,5,7,1,1,7,9,"Yes - I already have",4,"Illegal most of the time","Yes","December","Over","FOLD","Burger King","Burger King","Guilty Free","No Sex","wedding",2
"Male","Male","Asian","Yes","No",3,3,3,"straight","Yes",6,"No","No","No",3,3,9,0,0,6,3,7,4,"Yes - I already have",3,"Always Legal","No","July","Over","FOLD","Mcdonalds","Burger King","Guilty Free","No Sex","wedding",1
"Male","Male","Asian","No","No",4,6,3,"straight","Yes",4,"No","Yes","No",5,7,7,4,3,0,1,3,3,"Yes - I would",2,"Neutral","Yes","March","Over","FOLD","Mcdonalds","Mcdonalds","Guilty Free","No Sex","wedding",2
"Female","Female","Hispanic","Yes","No",6,4,4,"straight","Yes",14,"No","Yes","No",8,7,10,4,4,10,1,6,9,"Yes - I already have",2,"Legal most of the time","Yes","April","Under","FOLD","Mcdonalds","Mcdonalds","Guilty Free","No Sex","funeral",1
"Female","Female","White","Yes","No",4,0,0,"straight","Yes",10,"No","No","No",5,5,1,0,0,2,1,6,5,"Yes - I already have",3,"Always Legal","Yes","March","Over","FOLD","Mcdonalds","Mcdonalds","Guilty Free","No Sex","wedding",1
"Female","Female","White","Yes","No",6,6,8,"straight","Yes",7,"No","No","No",8,7,10,1,1,6,2,7,10,"Yes - I already have",3,"Always Legal","No","March","Over","FOLD","Mcdonalds","Burger King","Innocent Executed","No Sex","wedding",2
"Female","Female","White","Yes","Uncertain",7,3,3,"straight","Yes",4,"No","No","No",8,9,10,1,2,2,2,6,8,"Yes - I already have",4,"Illegal most of the time","No","August","Over","WAD","Mcdonalds","Burger King","Guilty Free","No Sex","funeral",2
"Female","Female","Asian","Yes","No",7,6,6,"straight","Yes",4,"No","No","No",9,9,1,0,0,0,1,5,5,"No",3,"Always Legal","Yes","June","Over","FOLD","Mcdonalds","Mcdonalds","Innocent Executed","No Sex","funeral",1
"Female","Female","Asian","Yes","No",0,2,5,"straight","Yes",2,"No","No","No",7,7,2,0,0,1,0,9,10,"Yes - I already have",2,"Always Legal","No","July","Over","FOLD","Burger King","Burger King","Innocent Executed","No Sex","funeral",1
"Female","Female","White","Yes","No",5,1,1,"straight","Yes",3,"No","No","Yes",4,5,4,0,0,0,0,1,7,"Yes - I would",2,"Always Legal","Yes","August","Over","WAD","Mcdonalds","Mcdonalds","Guilty Free","No Sex","funeral",1
"Male","Male","White","Yes","No",0,4,4,"straight","Yes",2,"No","No","No",2,2,8,0,0,4,1,8,5,"Yes - I already have",2,"Always Legal","No","July","Over","FOLD","Mcdonalds","Burger King","Guilty Free","No Love","funeral",2
"Female","Female","Hispanic","Yes","No",4,3,3,"straight","Yes",8,"No","No","No",7,6,2,3,3,1,1,7,9,"Yes - I already have",3,"Always Legal","Yes","November","Over","FOLD","Mcdonalds","Burger King","Guilty Free","No Sex","wedding",1
"Female","Female","White","Yes","No",3,3,3,"straight","Yes",8,"No","No","No",8,7,3,0,0,3,0,7,8,"Yes - I already have",3,"Always Legal","No","June","No preference","FOLD","Mcdonalds","Mcdonalds","Innocent Executed","No Sex","funeral",2
"Female","Female","White","Yes","Uncertain",8,5,8,"straight","Yes",8,"No","No","No",10,9,1,5,5,3,1,7,6,"Yes - I already have",4,"Illegal most of the time","No","January","Over","WAD","Mcdonalds","Burger King","Innocent Executed","No Sex","wedding",2
"Female","Female","White","Yes","Uncertain",1,3,5,"straight","Yes",6,"No","No","No",7,8,2,0,0,2,2,3,6,"Yes - I already have",4,"Always Legal","Yes","August","Over","FOLD","Mcdonalds","Burger King","Innocent Executed","No Sex","funeral",1
"Female","Female","Asian","No","Uncertain",7,6,6,"straight","Yes",12,"No","No","No",6,7,3,10,10,1,2,7,7,"Yes - I already have",3,"Illegal most of the time","Yes","October","Over","FOLD","Burger King","Mcdonalds","Innocent Executed","No Sex","wedding",2
"Male","Male","White","Yes","Uncertain",0,5,3,"straight","Yes",6,"No","No","No",1,1,9,0,0,16,2,6,0,"Yes - I already have",3,"Always Legal","Yes","September","Over","FOLD","Mcdonalds","Burger King","Innocent Executed","No Sex","funeral",1
"Male","Male","Hispanic","Yes","No",5,8,7,"straight","Yes",11,"No","No","No",0,1,9,5,3,15,3,7,7,"Yes - I already have",2,"Legal most of the time","No","August","Under","FOLD","Mcdonalds","Burger King","Innocent Executed","No Sex","funeral",1
"Male","Male","White","Yes","Uncertain",4,5,9,"straight","Yes",6,"No","No","No",1,1,10,9,9,1,1,5,9,"Yes - I already have",5,"Neutral","No","March","Over","FOLD","Mcdonalds","Burger King","Guilty Free","No Sex","funeral",2
"Male","Male","Asian","No","No",0,3,3,"straight","Yes",9,"No","No","No",3,3,7,0,0,3,1,9,9,"Yes - I already have",2,"Legal most of the time","No","March","Over","FOLD","Mcdonalds","Mcdonalds","Guilty Free","No Sex","wedding",2
"Female","Female","Asian","Yes","No",3,4,8,"straight","Yes",7,"No","No","No",7,7,4,0,0,5,2,7,0,"Yes - I already have",3,"Always Legal","No","June","Over","FOLD","Mcdonalds","Mcdonalds","Innocent Executed","No Love","wedding",1
"Female","Female","White","Yes","No",5,3,2,"straight","Yes",5,"No","No","No",10,10,0,5,5,3,1,8,4,"Yes - I already have",4,"Legal most of the time","Yes","March","Under","WAD","Mcdonalds","Mcdonalds","Guilty Free","No Sex","wedding",2
"Male","Male","Other","Yes","Yes",6,7,8,"straight","Yes",5,"No","No","No",3,3,7,10,10,7,1,8,5,"Yes - I already have",2,"Legal most of the time","No","February","Over","FOLD","Mcdonalds","Burger King","Guilty Free","No Love","funeral",2
"Female","Female","Black","Yes","No",7,0,0,"straight","Yes",2,"No","Yes","No",10,10,0,5,5,4,2,0,0,"Yes - I would",1,"Always Legal","No","February","Under","WAD","Mcdonalds","Burger King","Innocent Executed","No Sex","wedding",2
"Female","Female","Asian","No","Uncertain",4,7,5,"straight","Yes",13,"No","Yes","No",5,5,3,2,2,1,2,7,7,"Yes - I already have",2,"Neutral","No","October","Over","FOLD","Mcdonalds","Burger King","Innocent Executed","No Sex","funeral",1
"Female","Female","Asian","No","No",3,8,6,"straight","Yes",12,"No","Yes","No",7,8,1,0,0,1,2,9,5,"Yes - I already have",3,"Always Legal","No","July","Over","FOLD","Mcdonalds","Burger King","Innocent Executed","No Sex","funeral",2
"Female","Female","White","Yes","Uncertain",4,5,8,"straight","Yes",9,"No","No","No",10,10,0,0,0,1,0,8,2,"Yes - I already have",3,"Always Legal","Yes","July","No preference","WAD","Mcdonalds","Mcdonalds","Guilty Free","No Sex","wedding",2
"Female","Female","White","Yes","No",0,0,1,"asexual","Some do",14,"No","No","Yes",5,7,6,0,0,0,0,0,6,"Yes - I would",0,"Legal most of the time","No","March","Over","WAD","Burger King","Burger King","Guilty Free","No Sex","wedding",2
"Female","Female","White","Yes","No",2,2,2,"straight","Yes",8,"No","No","No",7,7,2,0,0,6,2,7,4,"Yes - I already have",3,"Legal most of the time","No","November","Under","WAD","Mcdonalds","Burger King","Innocent Executed","No Sex","wedding",1
"Male","Male","Asian","Yes","No",1,5,5,"straight","Yes",8,"No","No","No",0,1,8,3,1,1,0,5,5,"Yes - I already have",2,"Legal most of the time","Yes","February","No preference","WAD","Mcdonalds","Burger King","Guilty Free","No Sex","funeral",1
"Female","Female","Asian","No","Uncertain",2,5,4,"bi","Yes",6,"No","Yes","No",5,5,4,0,0,2,4,10,8,"Yes - I already have",0,"Always Legal","Yes","October","Under","WAD","Mcdonalds","Mcdonalds","Guilty Free","No Love","wedding",1
"Male","Male","White","Yes","No",4,4,4,"straight","Yes",5,"No","No","No",5,5,5,5,5,3,2,6,5,"Yes - I already have",2,"Legal most of the time","No","December","Over","WAD","Mcdonalds","Burger King","Innocent Executed","No Love","funeral",2
"Male","Male","Asian","No","Uncertain",5,5,5,"straight","Yes",8,"No","No","No",5,5,5,5,5,4,3,10,5,"Yes - I already have",2,"Legal most of the time","No","April","Over","FOLD","Burger King","Burger King","Innocent Executed","No Sex","funeral",2
"Female","Female","White","Yes","No",2,3,6,"straight","Yes",8,"No","No","No",7,7,3,0,0,1,1,5,4,"Yes - I already have",0,"Always Legal","No","May","Over","WAD","Mcdonalds","Mcdonalds","Guilty Free","No Sex","wedding",1
"Female","Female","White","Yes","Yes",7,7,10,"straight","Yes",4,"No","No","No",10,10,0,3,7,10,2,8,5,"Yes - I already have",4,"Legal most of the time","No","May","Under","WAD","Mcdonalds","Burger King","Innocent Executed","No Sex","wedding",2
"Female","Female","White","Yes","No",5,3,4,"straight","Yes",9,"No","No","No",10,10,1,0,0,7,1,8,8,"Yes - I already have",2,"Always Legal","No","April","No preference","FOLD","Mcdonalds","Burger King","Innocent Executed","No Sex","funeral",2
"Male","Male","Black","Yes","No",7,5,7,"straight","Yes",8,"No","No","No",2,4,8,3,3,0,1,8,8,"Yes - I would",3,"Legal most of the time","Yes","October","Over","FOLD","Mcdonalds","Burger King","Guilty Free","No Love","wedding",1
"Male","Male","Asian","No","No",5,3,2,"straight","Yes",6,"No","No","No",0,0,0,9,7,2,1,7,8,"Yes - I already have",2,"Legal most of the time","No","March","Over","WAD","Mcdonalds","Burger King","Guilty Free","No Love","funeral",2
"Male","Male","Asian","No","No",5,5,5,"straight","Yes",3,"No","No","No",2,2,9,8,2,0,2,5,10,"No",5,"Illegal most of the time","No","June","No preference","WAD","Mcdonalds","Mcdonalds","Innocent Executed","No Sex","funeral",1
"Female","Female","White","Yes","No",6,5,8,"straight","Yes",10,"No","No","No",7,6,0,1,1,5,2,10,10,"Yes - I already have",2,"Illegal most of the time","No","November","Under","WAD","Mcdonalds","Burger King","Innocent Executed","No Sex","wedding",2
"Female","Female","Asian","Yes","No",4,4,10,"straight","Yes",12,"No","No","No",7,7,3,0,0,1,1,10,6,"Yes - I already have",2,"Always Legal","No","November","Over","WAD","Mcdonalds","Burger King","Guilty Free","No Sex","wedding",1
"Female","Female","White","Yes","No",5,2,4,"straight","Yes",7,"No","No","No",10,10,0,1,1,2,2,7,7,"Yes - I already have",2,"Always Legal","Yes","October","Over","WAD","Mcdonalds","Burger King","Guilty Free","No Love","funeral",2
"Female","Female","White","Yes","No",4,5,5,"straight","Yes",2,"No","No","No",3,3,7,8,8,0,0,5,5,"Yes - I would",2,"Neutral","Yes","February","Over","WAD","Mcdonalds","Mcdonalds","Guilty Free","No Love","wedding",2
"Female","Female","White","Yes","Uncertain",0,3,7,"straight","Yes",7,"No","No","No",8,8,2,0,0,4,1,10,8,"Yes - I already have",2,"Always Legal","Yes","May","Over","FOLD","Mcdonalds","Burger King","Guilty Free","No Sex","wedding",1
"Female","Female","Asian","Yes","No",8,3,4,"straight","Yes",2,"No","No","No",10,10,0,0,0,0,0,4,4,"No",4,"Always Legal","Yes","April","Over","FOLD","Mcdonalds","Mcdonalds","Guilty Free","No Sex","funeral",2
"Female","Female","White","Yes","Uncertain",7,7,9,"straight","Yes",14,"No","No","No",9,7,0,4,4,2,2,3,10,"Yes - I already have",2,"Illegal most of the time","Yes","November","Over","FOLD","Mcdonalds","Burger King","Innocent Executed","No Sex","wedding",2
"Female","Female","Black","Yes","No",9,4,10,"straight","Yes",6,"No","No","No",9,10,0,5,5,2,1,10,10,"Yes - I already have",0,"Always Legal","No","July","Over","FOLD","Burger King","Burger King","Innocent Executed","No Sex","wedding",1
"Female","Female","White","Yes","Yes",7,5,5,"straight","Yes",2,"No","No","No",9,9,3,0,0,1,1,10,7,"Yes - I already have",3,"Always Legal","Yes","April","Over","WAD","Mcdonalds","Mcdonalds","Guilty Free","No Love","funeral",1
"Male","Male","Hispanic","Yes","Yes",3,5,3,"straight","Yes",7,"No","No","No",3,3,2,1,5,12,1,5,7,"Yes - I already have",2,"Illegal most of the time","No","September","Over","FOLD","Mcdonalds","Burger King","Innocent Executed","No Love","wedding",2
"Male","Male","Asian","No","Yes",0,5,7,"straight","Yes",5,"No","No","No",3,2,6,5,5,0,2,3,6,"Yes - I would",1,"Always Legal","No","January","Over","FOLD","Burger King","Mcdonalds","Innocent Executed","No Sex","funeral",2
"Female","Female","Hispanic","Yes","Uncertain",6,3,5,"straight","Yes",10,"No","No","No",9,8,0,5,5,3,0,5,2,"Yes - I already have",2,"Legal most of the time","No","December","Under","WAD","Mcdonalds","Burger King","Innocent Executed","No Love","funeral",2
"Male","Male","White","Yes","Uncertain",6,5,6,"straight","Yes",6,"No","No","No",2,3,5,2,1,1,1,6,5,"Yes - I already have",2,"Always Legal","No","September","Under","FOLD","Mcdonalds","Burger King","Innocent Executed","No Sex","funeral",1
"Female","Female","Asian","Yes","No",0,5,6,"straight","Yes",7,"No","No","No",6,4,3,8,8,1,1,7,6,"Yes - I already have",2,"Illegal most of the time","Yes","September","Over","FOLD","Mcdonalds","Mcdonalds","Innocent Executed","No Sex","wedding",2
"Male","Male","White","Yes","Yes",4,3,8,"straight","Yes",13,"No","Yes","No",0,0,10,10,0,9,0,5,6,"Yes - I already have",3,"Neutral","No","May","Over","WAD","Burger King","Burger King","Innocent Executed","No Sex","funeral",2
"Female","Female","Hispanic","Yes","No",5,5,2,"straight","Yes",12,"No","No","No",8,5,3,0,0,0,1,8,10,"Unsure",1,"Always Legal","No","June","Over","WAD","Mcdonalds","Burger King","Innocent Executed","No Sex","funeral",1
"Female","Female","White","No","No",0,0,5,"other","No",12,"No","Yes","No",6,7,7,0,0,4,1,5,7,"Yes - I already have",3,"Always Legal","No","May","Over","WAD","Mcdonalds","Mcdonalds","Innocent Executed","No Love","funeral",1
"Female","Female","Black","Yes","No",9,1,7,"straight","Yes",7,"No","No","Yes",5,7,2,0,0,1,1,3,5,"Yes - I already have",5,"Legal most of the time","No","August","Over","FOLD","Burger King","Burger King","Guilty Free","No Sex","wedding",2
"Male","Male","White","Yes","No",1,10,7,"straight","Yes",10,"No","Yes","No",2,3,8,0,0,50,10,10,10,"Yes - I already have",6,"Always Legal","No","July","Under","FOLD","Mcdonalds","Mcdonalds","Guilty Free","No Love","funeral",1
"Male","Male","Asian","No","No",3,3,3,"straight","Yes",2,"No","No","No",3,3,7,7,0,50,10,10,0,"Yes - I already have",2,"Always Legal","No","February","No preference","WAD","Burger King","Mcdonalds","Innocent Executed","No Love","funeral",2
"Female","Female","Hispanic","Yes","No",3,0,6,"straight","Yes",11,"No","No","Yes",8,7,3,0,0,0,2,9,5,"Yes - I would",2,"Always Legal","No","September","Under","FOLD","Mcdonalds","Burger King","Innocent Executed","No Sex","funeral",1
"Male","Male","White","Yes","No",0,5,7,"straight","Yes",8,"No","No","No",3,3,7,2,2,0,0,5,5,"Yes - I would",2,"Legal most of the time","No","October","No preference","FOLD","Burger King","Mcdonalds","Guilty Free","No Sex","wedding",2
"Female","Female","Asian","No","No",0,0,6,"straight","Yes",4,"Yes","No","Yes",5,5,4,0,0,3,0,10,2,"Yes - I already have",0,"Always Legal","Yes","August","Over","FOLD","Mcdonalds","Mcdonalds","Innocent Executed","No Love","wedding",1
"Male","Male","Black","Yes","No",6,1,3,"bi","Yes",17,"No","Yes","No",2,3,2,0,0,11,0,5,5,"Yes - I already have",2,"Always Legal","No","February","Under","WAD","Burger King","Burger King","Innocent Executed","No Sex","wedding",1
"Male","Male","Asian","No","No",8,5,5,"straight","Yes",2,"No","No","No",3,3,8,0,0,0,1,4,0,"No",2,"Legal most of the time","Yes","June","Over","FOLD","Mcdonalds","Burger King","Guilty Free","No Sex","wedding",1
"Female","Female","White","Yes","No",7,3,6,"straight","Yes",2,"No","No","No",7,8,3,0,0,8,0,8,3,"Yes - I already have",4,"Always Legal","No","May","No preference","WAD","Mcdonalds","Mcdonalds","Guilty Free","No Sex","funeral",2
"Female","Female","Asian","No","Yes",0,5,5,"straight","Yes",4,"No","No","No",8,7,3,7,7,0,1,1,8,"Unsure",1,"Always Legal","No","September","Over","FOLD","Burger King","Burger King","Innocent Executed","No Sex","funeral",2
"Male","Male","White","Yes","No",7,4,5,"straight","Yes",4,"No","No","No",4,3,8,2,2,0,0,3,6,"Yes - I would",3,"Illegal most of the time","No","September","Under","WAD","Mcdonalds","Burger King","Guilty Free","No Sex","funeral",1
"Female","Female","White","Yes","No",6,5,5,"straight","Yes",2,"No","Yes","No",9,9,1,0,0,4,0,9,6,"Yes - I already have",5,"Always Legal","Yes","October","Over","WAD","Mcdonalds","Mcdonalds","Guilty Free","No Love","wedding",1
"Female","Female","White","Yes","No",6,4,5,"straight","Yes",13,"No","No","No",8,8,2,0,0,1,2,8,6,"Yes - I already have",3,"Always Legal","Yes","June","Over","WAD","Mcdonalds","Burger King","Guilty Free","No Sex","wedding",2
"Female","Female","White","Yes","No",0,0,3,"bi","No",10,"No","No","Yes",5,5,4,0,0,5,1,5,10,"Yes - I already have",3,"Always Legal","No","February","Over","FOLD","Mcdonalds","Burger King","Innocent Executed","No Sex","funeral",2
"Female","Female","Asian","Yes","No",8,4,4,"straight","Yes",5,"No","No","No",10,10,0,10,10,0,1,0,10,"No",4,"Always Legal","Yes","November","No preference","WAD","Burger King","Burger King","Innocent Executed","No Sex","wedding",1
"Female","Female","White","Yes","Uncertain",2,5,5,"straight","Yes",3,"No","No","No",10,10,0,0,0,3,1,6,3,"Yes - I already have",3,"Always Legal","No","July","Over","FOLD","Mcdonalds","Mcdonalds","Innocent Executed","No Sex","funeral",2
"Male","Male","Asian","Yes","No",6,3,2,"straight","Yes",11,"No","No","No",3,3,5,0,0,0,0,4,4,"Yes - I would",3,"Neutral","No","January","Over","FOLD","Mcdonalds","Burger King","Guilty Free","No Sex","wedding",2
"Male","Male","White","Yes","No",6,5,3,"straight","Yes",12,"No","No","No",1,1,9,0,0,1,1,6,7,"Yes - I already have",4,"Always Legal","No","September","No preference","WAD","Mcdonalds","Burger King","Guilty Free","No Sex","wedding",2
"Male","Male","White","Yes","No",4,6,3,"straight","Yes",7,"No","No","No",3,3,8,2,2,2,2,6,8,"Yes - I already have",3,"Legal most of the time","No","August","No preference","FOLD","Mcdonalds","Burger King","Guilty Free","No Sex","wedding",1
"Female","Female","White","Yes","Uncertain",8,5,5,"straight","Yes",2,"No","No","No",10,10,0,5,5,4,1,7,10,"Yes - I already have",4,"Neutral","Yes","July","Over","FOLD","Mcdonalds","Mcdonalds","Guilty Free","No Sex","funeral",1
"Female","Female","Asian","No","No",3,2,8,"bi","No",12,"Yes","Yes","No",4,3,4,1,0,0,1,4,10,"Yes - I would",1,"Always Legal","No","May","Over","FOLD","Mcdonalds","Mcdonalds","Innocent Executed","No Love","funeral",1
"Female","Female","Other","Yes","No",7,4,7,"straight","Yes",13,"No","No","No",6,6,3,2,2,3,2,5,3,"Yes - I already have",3,"Legal most of the time","Yes","February","Over","FOLD","Mcdonalds","Burger King","Guilty Free","No Sex","funeral",2
"Female","Female","Asian","No","Uncertain",0,0,0,"straight","Yes",7,"Yes","No","No",10,10,10,0,0,0,0,0,0,"Yes - I would",0,"Always Legal","No","August","Over","FOLD","Burger King","Burger King","Innocent Executed","No Love","wedding",2
"Female","Female","Other","Yes","No",6,3,5,"straight","Yes",7,"No","Yes","No",10,10,3,0,0,2,1,9,7,"Yes - I already have",3,"Always Legal","No","April","Over","FOLD","Burger King","Burger King","Guilty Free","No Love","funeral",2
"Female","Female","White","Yes","No",6,7,8,"straight","Yes",6,"No","No","No",8,8,1,8,8,0,0,6,8,"Unsure",3,"Illegal most of the time","Yes","September","Under","FOLD","Mcdonalds","Burger King","Guilty Free","No Sex","funeral",2
