"gender","genderID","greek","homeTown","ethnicity","religion","religious","ACT","GPA","partyHr","drinks","sexPartners","relationships","firstKissAge","favLifePeriod","callParents","socialMedia","texts","goodOrWell","expectedIncome","indepVsRespect","curiosityVsManners","selfRelianceVsObedience","considerateVsWellBehaved","primary","president","liberal","politicalParty","gradeVsLearning","parentRelationship","workHr","tuition","career"
"Female","Female","No","Big City","Asian","Atheist",1,23,3.6,0,0,0,0,"still waiting","lower grades",1,"1",1,3,200,"independence","good manners","self-reliance","being considerate","Unsure","Hillary Clinton",5,"Independent",9,10,0,90,6
"Male","Male","Yes","Big City Subrub","White","Christian",0,33,3.3,5,12,5,1,"17","high school",4,"1",6,9,300,"independence","curiosity","self-reliance","being considerate","Bernie Sanders","Donald Trump",3,"Democratic",3,3,0,80,7
"Male","Male","Yes","Small Town","White","Atheist",0,30,3.3,6,18,1,0,"16","college",0,"2",5,8,200,"independence","curiosity","self-reliance","being considerate","Bernie Sanders","Unsure",4,"Other",0,0,15,50,6
"Male","Male","No","Small Town","White","Agnostic",0,31,3.7,6,6,7,3,"16","college",0,"2",4,7,125,"independence","curiosity","self-reliance","being considerate","Bernie Sanders","Hillary Clinton",2,"Democratic",8,10,15,90,8
"Male","Male","No","Big City Subrub","Asian","Atheist",1,34,3.5,0,0,0,1,"15","college",2,"0",4,10,200,"respect for their elders","good manners","self-reliance","being considerate","Hillary Clinton","Gary Johnson",7,"Democratic",7,8,40,100,8
"Male","Male","No","Small Town","Asian","Agnostic",0,32,3.6,1,0,0,0,"still waiting","college",1,"3",4,8,300,"independence","curiosity","self-reliance","being considerate","Unsure","Unsure",5,"Democratic",2,8,0,100,7
"Male","Male","No","Big City","Asian","Agnostic",2,36,3.8,0,0,0,0,"still waiting","middle school",1,"3",3,8,99999,"respect for their elders","good manners","self-reliance","well-behaved","Unsure","Unsure",6,"Other",2,9,0,100,2
"Female","Female","No","Big City Subrub","Other","Agnostic",2,33,4,2,0,0,0,"still waiting","high school",3,"1",7,5,100,"respect for their elders","good manners","self-reliance","being considerate","Unsure","Hillary Clinton",3,"Democratic",3,9,0,100,3
"Male","Male","No","Medium City","White","Atheist",0,32,3.5,6,7,1,1,"14","high school",2,"2",8,7,60,"independence","curiosity","self-reliance","being considerate","Bernie Sanders","Donald Trump",2,"Democratic",7,7,0,90,6
"Female","Female","No","Medium City","Asian","Buddhist",4,30,3.6,0,0,0,2,"still waiting","college",3,"6",5,6,1000,"independence","good manners","self-reliance","well-behaved","Ted Cruz","Gary Johnson",4,"Republican",7,4,10,70,7
"Male","Male","No","Big City","Asian","Christian",4,31,4,1,2,1,1,"16","college",1,"2",12,9,60,"independence","good manners","self-reliance","being considerate","Unsure","Unsure",8,"Republican",7,9,35,100,3
"Male","Male","No","Big City","Asian","Atheist",0,31,3,2,5,1,1,"16","high school",0,"3",3,8,100,"respect for their elders","good manners","self-reliance","being considerate","Unsure","Unsure",8,"Republican",5,5,0,100,1
"Female","Female","No","Big City Subrub","Asian","Hindu",6,33,3.4,0,0,0,0,"still waiting","lower grades",5,"5",2,5,120,"respect for their elders","curiosity","self-reliance","well-behaved","Hillary Clinton","Hillary Clinton",9,"Democratic",7,8,0,100,8
"Female","Female","No","Big City","Other","Christian",1,27,3.1,1,0,0,0,"19","kindergarten",1,"2",4,6,46,"independence","curiosity","self-reliance","well-behaved","Bernie Sanders","Unsure",4,"Democratic",5,6,0,0,3
"Male","Male","No","Big City Subrub","Asian","Christian",2,33,3.3,1,3,2,2,"16","high school",1,"4",10,10,300,"independence","curiosity","self-reliance","being considerate","Unsure","Unsure",5,"Democratic",5,8,0,100,8
"Female","Female","No","Small Town","White","Christian",5,28,3.8,4,3,0,0,"still waiting","high school",10,"3",4,6,100,"independence","good manners","self-reliance","being considerate","Unsure","Unsure",6,"Republican",3,8,0,90,3
"Male","Male","No","Big City","Asian","Agnostic",2,31,3.6,0,2,1,1,"20","college",2,"1",5,8,20,"independence","curiosity","obedience","being considerate","Donald Trump","Donald Trump",5,"Other",9,10,0,100,10
"Female","Female","Yes","Big City Subrub","Other","Atheist",0,27,2.8,3,5,3,1,"12","college",1,"3",8,5,125,"independence","good manners","self-reliance","being considerate","Bernie Sanders","Hillary Clinton",2,"Democratic",2,10,0,50,7
"Female","Female","No","Big City Subrub","Asian","Atheist",2,33,3.8,3,0,0,2,"15","college",9,"3",10,6,1000,"independence","good manners","obedience","being considerate","Hillary Clinton","Unsure",3,"Libertarian",7,7,15,100,7
"Male","Male","No","Big City","Asian","Muslim",2,27,3.2,0,0,0,0,"still waiting","college",5,"1",6,5,150,"respect for their elders","good manners","self-reliance","being considerate","Unsure","Hillary Clinton",1,"Democratic",3,7,0,40,1
"Female","Female","No","Small Town","Asian","Hindu",6,33,3.1,4,3,0,0,"still waiting","college",14,"5",3,5,200,"respect for their elders","good manners","self-reliance","well-behaved","Hillary Clinton","Hillary Clinton",4,"Democratic",5,9,0,100,4
"Male","Male","No","Medium City","White","Agnostic",2,35,3.9,4,7,1,1,"16","lower grades",2,"2",3,4,200,"independence","curiosity","self-reliance","being considerate","Bernie Sanders","Hillary Clinton",3,"Other",7,8,0,10,6
"Female","Female","No","Big City","Asian","Atheist",3,28,3.2,0,0,0,0,"still waiting","lower grades",2,"5",5,5,120,"independence","good manners","self-reliance","being considerate","Unsure","Unsure",5,"Independent",5,7,15,70,2
"Female","Female","No","Medium City","Other","Atheist",0,34,3.9,0,0,0,0,"still waiting","lower grades",2,"6",7,6,120,"independence","good manners","self-reliance","being considerate","Bernie Sanders","Hillary Clinton",1,"Democratic",7,6,0,100,4
"Male","Male","No","Medium City","Asian","Christian",8,34,3.8,0,0,3,4,"13","college",0,"6",6,8,600,"independence","good manners","self-reliance","being considerate","Bernie Sanders","Hillary Clinton",3,"Democratic",5,7,30,90,7
"Male","Male","No","Big City Subrub","Asian","Atheist",1,31,3,4,2,2,2,"14","high school",2,"2",3,9,200,"independence","curiosity","self-reliance","well-behaved","Hillary Clinton","Hillary Clinton",4,"Independent",3,4,0,90,7
"Male","Male","No","Big City","Asian","Christian",7,33,3.5,2,1,0,3,"still waiting","high school",1,"2",3,2,900,"independence","curiosity","self-reliance","well-behaved","Hillary Clinton","Hillary Clinton",5,"Other",8,3,0,90,10
"Male","Male","No","Medium City","Asian","Christian",4,31,3.6,1,0,0,0,"still waiting","lower grades",5,"4",2,10,180,"independence","curiosity","self-reliance","being considerate","Bernie Sanders","Unsure",4,"Democratic",5,7,5,100,7
"Female","Female","No","Medium City","Asian","Buddhist",4,31,4,0,0,0,0,"16","lower grades",5,"4",6,8,96,"respect for their elders","good manners","self-reliance","being considerate","Unsure","Unsure",5,"Other",9,10,0,100,2
"Male","Male","No","Big City","Asian","Agnostic",1,24,4,1,2,10,1,"still waiting","kindergarten",0,"2",5,8,500,"independence","curiosity","self-reliance","being considerate","Hillary Clinton","Hillary Clinton",9,"Other",1,0,0,100,9
"Male","Male","No","Big City Subrub","Asian","Christian",7,29,2.9,7,6,5,2,"15","college",2,"3",6,8,999,"independence","good manners","self-reliance","well-behaved","Hillary Clinton","Donald Trump",3,"Republican",2,6,10,50,6
"Male","Male","No","Big City","Asian","Buddhist",1,32,3,3,0,6,2,"14","middle school",3,"0",3,8,1000,"respect for their elders","good manners","obedience","well-behaved","Unsure","Unsure",0,"Other",3,9,0,100,6
"Male","Male","No","Medium City","Asian","Atheist",3,35,3.3,2,0,0,0,"still waiting","high school",0,"1",2,7,6,"independence","curiosity","self-reliance","being considerate","Unsure","Unsure",3,"Other",6,6,0,40,3
"Male","Male","Yes","Big City","Other","Agnostic",7,25,2,0,1,3,1,"13","high school",3,"1",3,5,20000,"independence","curiosity","self-reliance","being considerate","Bernie Sanders","Unsure",0,"Independent",9,9,20,0,7
"Female","Female","Yes","Big City","White","Christian",4,32,3.3,6,20,15,2,"16","high school",2,"2",5,6,90,"independence","curiosity","self-reliance","being considerate","Hillary Clinton","Hillary Clinton",3,"Democratic",2,10,15,50,3
"Male","Male","Yes","Big City","Other","Atheist",0,35,1.9,15,40,4,0,"15","college",1,"2",20,10,2000,"respect for their elders","curiosity","self-reliance","being considerate","Hillary Clinton","Hillary Clinton",0,"Democratic",10,9,0,100,8
"Male","Male","No","Big City Subrub","Asian","Agnostic",3,34,3.5,0,0,0,0,"13","high school",5,"2",5,5,120,"independence","good manners","obedience","being considerate","Unsure","Unsure",2,"Democratic",5,8,0,50,5
"Male","Male","Yes","Big City Subrub","Asian","Agnostic",4,32,3.9,9,9,1,1,"16","college",1,"2",5,7,150,"independence","good manners","self-reliance","being considerate","John Kacich","Unsure",6,"Libertarian",4,2,0,30,5
"Female","Female","Yes","Big City Subrub","White","Buddhist",5,34,3.8,0,1,4,4,"16","college",1,"2",3,5,100,"respect for their elders","curiosity","self-reliance","well-behaved","Bernie Sanders","Hillary Clinton",2,"Democratic",3,9,10,100,8
"Female","Female","No","Big City Subrub","Asian","Christian",6,28,3.5,0,0,2,5,"15","middle school",3,"10 or more",4,6,100,"respect for their elders","good manners","obedience","well-behaved","Donald Trump","Donald Trump",5,"Democratic",5,8,10,100,10
"Male","Male","No","Big City Subrub","Other","Christian",3,35,4,6,8,1,2,"15","high school",3,"1",8,7,250,"independence","curiosity","self-reliance","being considerate","Bernie Sanders","Hillary Clinton",3,"Democratic",4,7,0,100,5
"Female","Female","No","Small Town","White","Christian",6,22,4,10,1,0,1,"15","college",4,"5",2,6,100,"independence","good manners","self-reliance","being considerate","Unsure","Donald Trump",5,"Republican",4,8,0,10,5
"Female","Female","Yes","Medium City","White","Agnostic",1,29,3.5,15,15,7,2,"12","college",2,"3",10,5,150,"independence","curiosity","obedience","being considerate","Bernie Sanders","Hillary Clinton",2,"Democratic",3,5,20,90,7
"Male","Male","No","Big City Subrub","White","Christian",5,30,3.7,0,0,1,1,"18","college",3,"1",7,7,100,"independence","curiosity","self-reliance","being considerate","Hillary Clinton","Hillary Clinton",3,"Independent",5,10,0,100,7
"Female","Female","No","Big City","Asian","Agnostic",0,34,3.8,0,0,1,1,"20","lower grades",2,"2",1,6,120,"independence","good manners","self-reliance","being considerate","Hillary Clinton","Hillary Clinton",8,"Republican",7,8,0,100,5
"Male","Male","No","Big City Subrub","Asian","Atheist",0,30,3.7,0,1,1,4,"14","lower grades",7,"1",6,7,150,"independence","curiosity","self-reliance","well-behaved","Hillary Clinton","Hillary Clinton",4,"Other",4,7,0,100,6
"Male","Male","No","Big City Subrub","Asian","Agnostic",1,33,3.7,10,10,10,0,"17","college",3,"1",4,6,200,"respect for their elders","curiosity","self-reliance","being considerate","Unsure","Other",0,"Democratic",8,10,0,100,7
"Female","Female","No","Big City Subrub","White","Christian",4,28,3.8,10,10,6,1,"14","college",14,"5",7,6,80,"respect for their elders","good manners","self-reliance","well-behaved","Bernie Sanders","Hillary Clinton",3,"Other",5,8,15,60,9
"Male","Male","No","Big City","White","Christian",5,27,3.3,2,5,1,2,"12","college",1,"1",2,8,100,"independence","curiosity","self-reliance","being considerate","Unsure","Donald Trump",4,"Other",2,8,0,100,4
"Female","Female","No","Small Town","White","Christian",3,22,3.8,0,1,6,4,"13","college",1,"1",2,7,110,"independence","curiosity","self-reliance","being considerate","John Kacich","Gary Johnson",8,"Independent",5,9,0,0,9
"Male","Male","No","Big City","Asian","Agnostic",1,25,3.7,3,0,0,0,"18","college",1,"1",10,10,99999,"respect for their elders","good manners","self-reliance","being considerate","Unsure","Unsure",2,"Other",2,8,0,100,7
"Female","Female","No","Big City Subrub","Asian","Hindu",6,34,4,0,0,0,0,"still waiting","lower grades",20,"2",3,7,225,"respect for their elders","good manners","obedience","being considerate","Bernie Sanders","Hillary Clinton",4,"Democratic",4,9,0,100,9
"Male","Male","No","Small Town","White","Atheist",0,36,3.7,12,30,8,1,"15","college",4,"1",10,7,200,"independence","curiosity","self-reliance","being considerate","Bernie Sanders","Donald Trump",5,"Independent",5,5,0,90,9
"Male","Male","No","Big City","Asian","Christian",7,34,3.2,5,4,1,3,"19","college",3,"3",10,0,800,"respect for their elders","good manners","self-reliance","being considerate","Bernie Sanders","Hillary Clinton",5,"Independent",5,4,0,100,7
"Male","Male","No","Big City","Asian","Agnostic",2,30,3.8,2,0,2,1,"18","high school",2,"4",2,3,100,"respect for their elders","good manners","self-reliance","well-behaved","Donald Trump","Donald Trump",3,"Republican",5,9,0,90,5
"Male","Male","No","Medium City","Asian","Religious but not one of the above",4,30,2.7,1,5,5,4,"14","high school",1,"4",4,3,70,"independence","good manners","self-reliance","well-behaved","Hillary Clinton","Hillary Clinton",5,"Independent",5,6,15,20,5
"Female","Female","No","Big City","Asian","Buddhist",5,33,3.8,0,0,1,1,"18","college",3,"3",2,7,80,"respect for their elders","good manners","self-reliance","being considerate","Donald Trump","Donald Trump",5,"Democratic",5,8,0,100,3
"Male","Male","No","Medium City","Asian","Agnostic",2,33,3.5,0,0,1,2,"15","high school",2,"2",5,6,2000,"respect for their elders","good manners","self-reliance","well-behaved","Unsure","Unsure",5,"Other",5,8,0,100,4
"Male","Male","No","Big City","Asian","Religious but not one of the above",6,31,4,2,0,1,2,"15","high school",4,"3",7,8,120,"independence","curiosity","self-reliance","being considerate","Bernie Sanders","Hillary Clinton",3,"Democratic",6,8,0,100,8
"Male","Male","Yes","Big City Subrub","White","Christian",3,28,3.5,25,50,1,0,"16","college",1,"1",3,5,80,"independence","good manners","obedience","well-behaved","Unsure","Unsure",7,"Republican",4,10,35,100,2
"Male","Male","No","Big City Subrub","White","Agnostic",3,30,3.9,8,12,2,2,"15","college",5,"1",7,2,120,"independence","curiosity","self-reliance","being considerate","Hillary Clinton","Hillary Clinton",2,"Democratic",5,8,10,100,9
"Female","Female","No","Small Town","Asian","Atheist",3,32,3.7,0,0,0,3,"18","middle school",4,"2",5,5,47,"respect for their elders","curiosity","self-reliance","being considerate","Hillary Clinton","Hillary Clinton",5,"Other",7,10,10,100,3
"Female","Female","No","Medium City","Asian","Religious but not one of the above",0,32,3.9,2,0,3,1,"19","high school",11,"3",2,1,8888,"independence","curiosity","self-reliance","well-behaved","Hillary Clinton","Hillary Clinton",0,"Democratic",0,0,0,0,0
"Female","Female","Yes","Small Town","Other","Christian",10,24,3.4,3,3,0,1,"16","college",1,"3",3,5,10000,"respect for their elders","good manners","obedience","well-behaved","Unsure","Unsure",5,"Independent",5,5,15,70,4
"Female","Female","Yes","Big City","Asian","Hindu",3,36,3.1,8,6,2,2,"14","college",1,"10 or more",6,6,800,"independence","good manners","self-reliance","well-behaved","Bernie Sanders","Hillary Clinton",3,"Democratic",6,9,10,100,2
"Male","Male","No","Big City","Asian","Buddhist",1,32,3,0,0,4,3,"15","middle school",3,"0",1,5,1000,"independence","good manners","self-reliance","well-behaved","Hillary Clinton","Hillary Clinton",7,"Republican",3,7,0,100,9
"Female","Female","No","Big City","Other","Christian",8,20,3.5,8,2,7,2,"13","middle school",3,"2",2,5,250,"independence","good manners","self-reliance","being considerate","Bernie Sanders","Hillary Clinton",0,"Democratic",10,6,0,0,4
"Female","Female","No","Big City Subrub","Asian","Hindu",7,31,3.8,4,0,0,2,"18","lower grades",4,"5",5,5,300,"respect for their elders","good manners","self-reliance","being considerate","Hillary Clinton","Hillary Clinton",3,"Democratic",6,7,0,100,7
"Male","Male","No","Big City Subrub","Other","Christian",5,28,2.5,2,1,0,1,"19","college",2,"2",4,8,100,"independence","good manners","self-reliance","well-behaved","Unsure","Unsure",5,"Democratic",5,6,0,80,4
"Male","Male","No","Big City","Asian","Christian",3,32,3.8,5,0,0,0,"16","kindergarten",5,"1",3,6,300,"respect for their elders","good manners","self-reliance","being considerate","Unsure","Unsure",0,"Other",5,7,0,100,6
"Female","Female","No","Big City Subrub","Asian","Buddhist",1,27,3.8,0,0,0,1,"17","high school",1,"2",2,5,60,"independence","good manners","self-reliance","being considerate","Unsure","Unsure",5,"Other",5,8,0,100,5
"Male","Male","No","Big City Subrub","Asian","Christian",7,29,2.3,1,0,5,3,"16","high school",0,"6",5,5,40,"respect for their elders","good manners","self-reliance","well-behaved","Hillary Clinton","Hillary Clinton",4,"Libertarian",2,7,0,100,6
"Male","Male","No","Big City","White","Agnostic",0,30,2.5,0,0,0,1,"13","college",7,"2",2,10,130,"independence","curiosity","self-reliance","being considerate","Other","Gary Johnson",5,"Libertarian",4,8,0,80,8
"Male","Male","No","Big City Subrub","Asian","Jewish",1,29,4,5,0,2,1,"3","kindergarten",0,"0",0,0,99999,"independence","curiosity","self-reliance","well-behaved","Hillary Clinton","Hillary Clinton",0,"Democratic",0,0,0,80,7
"Male","Male","No","Big City","Asian","Atheist",3,28,3.9,5,0,0,0,"17","middle school",0,"4",6,8,60,"independence","good manners","self-reliance","being considerate","Unsure","Unsure",5,"Other",5,7,0,100,8
"Male","Male","No","Big City","Asian","Agnostic",0,33,2.5,0,0,1,1,"21","college",1,"3",7,7,100,"independence","curiosity","self-reliance","being considerate","Unsure","Hillary Clinton",2,"Democratic",5,5,0,100,3
"Male","Male","No","Medium City","White","Agnostic",0,33,4,0,0,0,1,"16","college",2,"2",15,0,150,"independence","curiosity","self-reliance","being considerate","Hillary Clinton","Hillary Clinton",5,"Independent",9,9,10,70,9
"Male","Male","No","Small Town","White","Agnostic",0,32,3,10,15,1,2,"18","high school",0,"1",15,4,110,"independence","curiosity","self-reliance","being considerate","Bernie Sanders","Hillary Clinton",3,"Democratic",9,8,0,10,9
"Male","Male","No","Medium City","Asian","Atheist",0,34,3.5,4,10,1,1,"18","college",2,"10 or more",5,10,100,"respect for their elders","curiosity","self-reliance","being considerate","Other","Other",2,"Democratic",5,5,0,100,10
"Male","Male","No","Big City Subrub","White","Christian",4,25,3.3,5,22,1,1,"12","college",2,"3",7,4,99,"respect for their elders","curiosity","self-reliance","being considerate","Bernie Sanders","Hillary Clinton",5,"Democratic",6,10,15,70,2
"Male","Male","No","Medium City","Asian","Agnostic",1,30,3,5,0,0,0,"still waiting","middle school",1,"4",5,5,200,"respect for their elders","good manners","self-reliance","well-behaved","Other","Other",3,"Other",7,5,0,100,3
"Male","Male","No","Big City Subrub","Asian","Hindu",4,31,3.7,5,7,0,0,"still waiting","middle school",3,"2",10,5,150,"respect for their elders","curiosity","self-reliance","being considerate","Bernie Sanders","Unsure",3,"Democratic",4,8,0,100,3
"Male","Male","No","Medium City","Other","Agnostic",2,28,4,0,0,0,0,"still waiting","lower grades",2,"1",0,10,100,"independence","good manners","self-reliance","being considerate","Bernie Sanders","Hillary Clinton",2,"Independent",5,4,0,100,2
"Female","Female","No","Big City","Asian","Atheist",4,28,3.5,0,0,0,0,"still waiting","kindergarten",3,"10 or more",10,8,200,"respect for their elders","good manners","self-reliance","well-behaved","Unsure","Unsure",5,"Other",3,7,5,30,8
"Male","Male","No","Big City","Asian","Christian",5,30,3,4,5,1,2,"18","high school",4,"3",4,5,1000,"respect for their elders","good manners","self-reliance","being considerate","Hillary Clinton","Hillary Clinton",5,"Other",10,10,0,80,7
"Female","Female","No","Big City Subrub","Asian","Religious but not one of the above",1,22,3,0,2,7,2,"17","kindergarten",0,"5",3,8,60000,"independence","good manners","self-reliance","being considerate","Donald Trump","Unsure",4,"Democratic",5,0,45,30,9
"Male","Male","No","Big City Subrub","Asian","Religious but not one of the above",0,33,3.7,2,0,0,2,"14","middle school",1,"2",3,7,100,"independence","curiosity","self-reliance","well-behaved","Other","Hillary Clinton",5,"Other",9,6,0,100,7
"Female","Female","No","Big City Subrub","Asian","Agnostic",2,34,3.7,2,0,2,0,"6","high school",7,"4",4,5,100,"independence","good manners","self-reliance","being considerate","Bernie Sanders","Hillary Clinton",2,"Democratic",5,7,0,90,8
"Male","Male","No","Big City Subrub","Asian","Hindu",0,32,3.7,10,12,0,0,"15","college",2,"2",4,8,1000,"independence","curiosity","self-reliance","being considerate","Bernie Sanders","Hillary Clinton",2,"Democratic",3,5,0,50,3
"Male","Male","No","Small Town","Other","Agnostic",4,36,4,4,3,0,0,"still waiting","college",5,"10 or more",25,7,120,"independence","curiosity","self-reliance","being considerate","Ted Cruz","Donald Trump",10,"Republican",6,8,0,100,9
"Male","Male","Yes","Big City Subrub","Other","Agnostic",0,32,3.6,15,20,5,1,"16","college",0,"1",2,5,100,"independence","good manners","self-reliance","being considerate","Unsure","Gary Johnson",5,"Libertarian",3,4,5,100,2
"Female","Female","No","Big City Subrub","Asian","Hindu",1,29,3.8,1,2,0,0,"16","college",6,"1",3,7,100,"independence","curiosity","self-reliance","well-behaved","Bernie Sanders","Hillary Clinton",2,"Democratic",3,6,0,90,3
"Female","Female","No","Big City Subrub","Asian","Hindu",5,31,4,6,0,0,0,"still waiting","high school",7,"1",5,7,200,"independence","curiosity","self-reliance","well-behaved","Bernie Sanders","Hillary Clinton",3,"Democratic",4,8,0,80,7
"Female","Female","No","Big City","Asian","Atheist",1,28,3.2,5,15,2,0,"20","college",4,"3",10,8,5,"independence","good manners","self-reliance","being considerate","Hillary Clinton","Hillary Clinton",3,"Democratic",4,3,10,100,7
"Female","Female","No","Big City","Asian","Atheist",0,26,3.4,0,0,0,1,"19","college",3,"10 or more",4,8,900,"respect for their elders","good manners","self-reliance","being considerate","Unsure","Unsure",5,"Democratic",5,8,0,100,4
"Male","Male","No","Medium City","White","Agnostic",0,33,3.6,0,0,0,0,"13","college",1,"2",4,8,100,"independence","good manners","self-reliance","being considerate","Unsure","Unsure",5,"Other",5,9,0,50,3
"Female","Female","No","Big City Subrub","Asian","Atheist",2,32,3.5,0,1,1,1,"17","high school",7,"1",3,2,80,"independence","curiosity","self-reliance","being considerate","Unsure","Unsure",3,"Democratic",7,9,20,80,2
"Female","Female","Yes","Big City Subrub","Other","Religious but not one of the above",1,23,3.8,6,6,0,0,"still waiting","middle school",1,"4",12,10,500,"independence","curiosity","self-reliance","being considerate","Unsure","Unsure",4,"Democratic",6,8,10,0,0
"Male","Male","No","Big City","Asian","Atheist",2,31,3.9,3,0,1,1,"20","middle school",3,"6",4,7,1,"independence","curiosity","obedience","being considerate","Hillary Clinton","Hillary Clinton",5,"Democratic",4,2,15,80,8
"Male","Male","No","Big City","Asian","Atheist",1,32,3.8,4,2,2,2,"16","high school",3,"2",5,5,1000,"independence","good manners","self-reliance","being considerate","Donald Trump","Donald Trump",3,"Other",6,6,0,100,6
"Male","Male","No","Medium City","Asian","Agnostic",0,35,3,0,0,21,1,"17","college",10,"4",2,0,50,"independence","curiosity","obedience","well-behaved","Bernie Sanders","Hillary Clinton",1,"Republican",3,3,5,100,1
"Male","Male","No","Big City","Asian","Atheist",3,31,3.7,0,0,1,2,"17","college",1,"3",0,10,20000,"independence","good manners","self-reliance","well-behaved","Unsure","Unsure",3,"Independent",3,7,0,100,5
"Female","Female","No","Small Town","White","Christian",6,29,4,0,0,0,0,"16","kindergarten",7,"3",5,5,90,"independence","curiosity","self-reliance","being considerate","Unsure","Unsure",5,"Independent",5,6,10,50,6
"Female","Female","Yes","Big City Subrub","White","Jewish",5,31,3.3,12,15,1,1,"14","college",6,"3",6,9,150,"respect for their elders","curiosity","obedience","being considerate","Marco Rubio","Unsure",0,"Republican",3,5,5,100,8
"Female","Female","No","Big City","Asian","Buddhist",1,29,3.7,1,0,0,1,"17","middle school",3,"2",3,5,70,"respect for their elders","good manners","self-reliance","well-behaved","Unsure","Unsure",3,"Other",4,8,0,100,3
"Male","Male","No","Big City","Asian","Atheist",0,27,3.9,3,1,50,0,"13","college",1,"4",4,5,100,"independence","curiosity","self-reliance","well-behaved","Unsure","Hillary Clinton",3,"Other",4,7,0,100,3
"Female","Female","No","Medium City","Asian","Atheist",0,32,3.9,1,3,0,1,"still waiting","middle school",7,"2",20,0,50,"independence","curiosity","self-reliance","being considerate","Donald Trump","Donald Trump",5,"Independent",6,8,0,50,5
"Male","Male","No","Big City Subrub","Asian","Agnostic",0,34,3.3,0,0,0,1,"16","high school",2,"1",2,5,150,"independence","curiosity","self-reliance","being considerate","Unsure","Hillary Clinton",5,"Independent",9,9,0,70,6
"Male","Male","No","Medium City","Asian","Religious but not one of the above",6,36,3.1,4,3,2,2,"20","college",0,"5",3,5,1000,"independence","good manners","self-reliance","being considerate","Donald Trump","Donald Trump",6,"Independent",7,2,0,70,5
"Male","Male","No","Big City Subrub","Asian","Christian",3,29,3,6,4,2,4,"3","college",4,"2",36,5,130,"independence","good manners","self-reliance","well-behaved","Hillary Clinton","Hillary Clinton",4,"Democratic",5,5,0,100,6
"Female","Female","No","Big City","Asian","Atheist",1,30,3.8,1,0,1,2,"17","high school",2,"2",5,8,100,"independence","good manners","self-reliance","being considerate","Unsure","Unsure",6,"Other",8,8,0,100,2
"Male","Male","No","Medium City","White","Agnostic",3,32,3.7,10,14,0,2,"15","college",4,"1",15,6,60,"respect for their elders","curiosity","self-reliance","being considerate","Bernie Sanders","Hillary Clinton",4,"Other",7,5,0,80,7
"Male","Male","No","Small Town","Other","Christian",6,25,3.2,0,4,49,18,"25","college",1,"2",3,3,222,"respect for their elders","good manners","self-reliance","being considerate","Hillary Clinton","Hillary Clinton",7,"Democratic",3,3,25,90,9
"Male","Female","No","Medium City","Asian","Christian",5,24,3.3,0,0,1,2,"18","high school",6,"1",2,4,130,"independence","curiosity","self-reliance","being considerate","Bernie Sanders","Donald Trump",2,"Other",2,1,10,0,2
"Male","Male","No","Big City","White","Muslim",6,31,3.7,2,0,0,1,"still waiting","high school",1,"2",4,3,750,"respect for their elders","curiosity","self-reliance","being considerate","Bernie Sanders","Hillary Clinton",2,"Democratic",5,8,0,10,3
"Female","Female","No","Big City Subrub","Asian","Christian",5,36,4,0,0,0,0,"still waiting","high school",10,"1",16,10,250,"respect for their elders","curiosity","obedience","well-behaved","Bernie Sanders","Hillary Clinton",7,"Independent",4,8,10,100,10
"Female","Female","No","Big City Subrub","White","Agnostic",1,30,3.8,11,18,2,1,"13","college",1,"1",10,5,80,"independence","curiosity","self-reliance","being considerate","Marco Rubio","Gary Johnson",5,"Independent",5,9,10,80,7
