"gender","genderID","height","weight","shoeSize","schoolYear","pets","siblings","speed","cash","sleep","shoeNums","ageMother","ageFather","random","love","charity","movie","favTV1","favTV2"
"female","female",67,161,10,"Freshman",3,5,95,35,7.5,15,46,40,9,"one",80,"Horrible Bosses 2","Empire","Law and Order: Special Victims Unit"
"male","male",68,165,9.5,"Freshman",4,3,105,60,6.5,8,45,50,4,"few",10,"Star Wars The Force Awakens","Family Guy","Entourage"
"female","female",65,97,6,"Freshman",3,4,80,50,5.5,50,50,52,5,"few",100,"Creed","Gossip Girl","bones"
"female","female",70,220,11,"Freshman",5,1,90,30,7.5,8,51,56,7,"few",66,"none","Outlander","The Walking Dead"
"male","male",69,149,10.5,"Senior",0,1,90,10,6.5,5,55,58,7,"one",20,"The Departed(original Hong Kong Version)","The Late Night Show","SNL"
"male","male",69,196,11.5,"Sophomore",0,2,30,100,7,3,57,59,4,"few",90,"Star Wars The Force Awakens","none","none"
"male","male",62,100,9,"Freshman",0,1,85,200,7,1,47,52,5,"none",100,"The Lego Movie","Rick and Morty","Phineas and Ferb"
"female","female",67,160,10,"Sophomore",2,2,95,30,5.5,10,50,51,6,"few",80,"Star Wars","The Office","30 Rock"
"male","male",70,163,12,"Freshman",0,2,147,0,6,4,57,55,7,"few",0,"spectre","chicago fire","chicago PD"
"female","female",62,120,5.5,"Freshman",0,1,0,12,6,12,49,49,7,"few",50,"22 Jump Street","How I Met Your Mother","Gossip Girl"
"male","male",67,220,10.5,"Freshman",0,0,60,60,8,5,49,50,6,"few",20,"The Revenant","Walking Dead","Spongebob"
"male","male",72,213,12,"Senior",6,4,90,9,7.5,4,60,44,9,"hundreds",100,"The Revenant","Breaking Bad","Walking Dead"
"male","male",71,155,10.5,"Freshman",6,2,110,50,6,4,49,55,7,"millions",10,"""""the hateful eight","breaking bad","prison break"
"female","female",66,112,7,"Freshman",4,1,105,50,7,13,50,53,8,"few",35,"Pride and Preudice","Madam Secretary","House of Cards"
"female","female",62,105,6,"Freshman",8,4,95,2,7,8,45,51,4,"few",65,"Hateful Eight","Criminal Minds","The Walking Dead"
"male","male",69,182,11,"Sophomore",1,1,130,1000,8,14,51,61,1,"one",25,"the hangover","two and a half men","70s show"
"male","male",70,145,9.5,"Sophomore",5,1,100,30,9,8,50,50,8,"millions",70,"the revanant","Scrubs","Fargo"
"female","female",66,145,8.5,"Junior",2,0,90,45,7,12,58,56,3,"few",50,"Brooklyn","Gilmore Girls","NCIS"
"female","female",64,180,8,"Freshman",3,3,90,2,6.5,6,36,41,5,"one",65,"The longest ride","Chicago PD","Criminal minds"
"female","female",63,128,7.5,"Freshman",5,4,90,5,7,9,51,57,6,"few",60,"White Christmas","Scandal","Friends"
"female","other",62,134,7,"Freshman",3,2,40,5,8,12,42,43,9,"few",100,"""""Blue Is the Warmest Color""""","Broad City","Portlandia"
"male","male",74,175,13,"Freshman",1,2,100,25,9,6,51,56,3,"few",90,"The Martian","How I Met Your Mother","Game of Thrones"
"male","male",70,148,11.5,"Freshman",1,2,115,8,8,5,53,52,7,"few",100,"Lilo and Stitch","The Hundred","Baby Daddy"
"male","male",68,153,9,"Sophomore",1,1,100,41,10,8,57,59,9,"few",50,"Star Wars: The Force Awakens","Game of Thrones","Arrow"
"male","male",67,160,10,"Freshman",0,1,100,0,7.5,5,53,56,3,"few",70,"Hateful Eight","Suits","Fresh Prince of Bel-Air"
"female","female",65,130,8,"Sophomore",1,2,60,10,8,15,38,41,7,"one",50,"Ride Along 2","Jane the Virgin","Family Guy"
"female","female",62,129,7,"Freshman",2,2,80,100,7,9,59,65,7,"few",99,"suffregete","greys anatomy","gossip girl"
"male","male",72,80,8.5,"Freshman",0,0,0,66,8,8,48,49,6,"few",50,"star war","Mythbusters","project runway"
"female","female",65,120,7.5,"Freshman",2,1,99,50,9,12,48,52,6,"few",4,"Sisters","The Bachelor","Keeping up with the Kardashians"
"female","female",66,133,9,"Freshman",2,2,104,300,8,10,48,48,7,"dozens",90,"Sisters","Friends","Grey's Anatomy"
"female","female",63,130,7.5,"Freshman",1,1,90,20,7,20,47,48,2,"one",70,"Paper Towns","Greys Anatomy","The Office"
"female","female",68,180,10,"Freshman",1,2,75,500,8,15,60,58,6,"hundreds",35,"Star Wars The Force Awakens","Continuum","The 100"
"female","female",61,140,6.5,"Sophomore",0,1,90,7,6.5,13,42,47,5,"hundreds",50,"Note to Self","Teen Wolf","Scandal"
"male","male",75,190,12,"Sophomore",2,0,88,82,7.5,10,49,54,5,"few",50,"creed","into the badlands","top gear"
"female","female",66,170,8.5,"Freshman",3,1,70,30,7.5,6,46,53,6,"dozens",30,"Star Wars VII","30 Rock","Parks and Recreation"
"female","female",68,165,9,"Sophomore",0,3,45,47,7.5,6,46,57,9,"few",30,"none","Jessica Jones","Pretty Little Liars"
"female","female",62,110,6,"Freshman",3,2,87,42,7.5,26,43,44,3,"one",60,"10 I Hate About You","That 70s Show","The Royals"
"male","male",65,160,8,"Sophomore",4,1,0,1,7,13,46,52,7,"few",80,"star war VII","How I met your mother","Legal High"
"male","male",69,155,10,"Freshman",2,5,80,50,7,5,35,40,7,"hundreds",100,"The Revanent","Friends","The Office"
"male","male",73,150,13,"Freshman",1,2,80,20,8,3,52,56,1,"one",20,"none","Sienfield","Spongebob"
"male","male",67,138,8.5,"Freshman",0,0,0,60,7.5,6,45,46,6,"dozens",20,"The Shawshank Redemption","Hannibal","The strain"
"female","female",65,125,8.5,"Freshman",1,1,115,5,8.5,15,52,54,3,"millions",70,"none","Bob's Burgers","The Office"
"male","male",73,190,11,"Freshman",2,3,119,200,5,6,44,44,4,"few",40,"The Revenant","The Office","Scrubs"
"female","female",64,114,8.5,"Freshman",13,7,0,80,8,6,53,51,7,"thousands",50,"""""Spotlight""""","Spongebob","none"
"male","male",66,170,9.5,"Freshman",3,4,80,10,7,6,53,56,10,"few",25,"The Man From U.N.C.L.E","Cutthroat Kitchen","Iron Chef America"
"female","female",62,105,8.5,"Freshman",0,0,95,26,7,8,41,44,3,"one",50,"beastly","prison break","grey's anatomy"
"female","female",63,149,8.5,"Freshman",0,2,100,0,5.5,20,52,50,2,"millions",0,"Top Gun","Scandal","Friends"
"female","female",62,125,6.5,"Junior",4,3,100,13,7,20,55,53,8,"few",100,"The Martian","Revenge","How to Get Away With Murder"
"female","female",67,190,10,"Freshman",0,0,90,27,6,10,55,58,4,"dozens",100,"The Shining","The Office","Friends"
"female","female",62,112,6,"Freshman",0,2,80,40,7.5,20,50,54,8,"few",50,"Elf","Lost","Vampire Diaries"
"male","male",76,240,13,"Sophomore",0,2,110,40,6,10,43,48,3,"dozens",50,"straight outta compton","dexter","prison break"
"female","female",63,133,8.5,"Freshman",4,3,65,0,8,17,50,53,3,"millions",100,"This is the End","Friends","Impractical Jokers"
"female","female",65,150,10,"Freshman",7,1,110,0,5,25,49,54,2,"few",75,"Joy","Big Bang Theory","Nashville"
"male","male",70,155,10,"Sophomore",2,2,100,8,8.5,6,52,52,5,"dozens",25,"The Martian","It's Always Sunny in Philadelphia","The Office"
"female","female",66,106,6.5,"Freshman",0,0,0,0,7,10,46,46,2,"dozens",50,"none","How I met your mother","The big bang theory"
"female","female",63,132,8.5,"Freshman",5,4,90,50,5.5,8,50,51,3,"few",50,"Despicable Me","The Bachelor","Family Guy"
"female","female",68,144,7.5,"Freshman",2,1,104,43,7,16,47,49,8,"few",40,"No Escape","Chicago PD","Say Yes to the Dress"
"female","female",62,95,6.5,"Freshman",0,0,86,0,7,47,50,56,5,"few",100,"The Devil Wears Prada","Friends","Gossip Girl"
"female","female",65,165,9,"Freshman",2,3,90,25,6.5,25,51,53,8,"few",50,"Stick It","How to Get Away With Murder","Scandal"
"male","male",69,215,11,"Junior",3,2,155,0,8,0,53,51,5,"one",100,"Dope","Breaking Bad","Parks and Recreation"
"male","male",73,175,12,"Sophomore",0,1,95,51,7,4,50,50,1,"one",90,"Star Wars VII","Mythbusters","River Monsters"
"female","female",66,120,8.5,"Freshman",2,1,0,500,9,17,48,48,7,"few",20,"none","Broken girls","Crayon Shinchan"
"male","male",68,140,9.5,"Freshman",2,2,115,0,6,8,45,47,8,"none",90,"The Notebook","Breaking Bad","The Office"
"male","male",68,149,11.5,"Junior",6,2,157,73,7,40,54,56,3,"one",50,"Dirty Grampa","Family Guy","Fast and loud"
"male","male",67,160,9,"Freshman",1,1,60,300,7,4,47,47,8,"one",50,"The Martian","The Walking Dead","The big bang theory"
"female","female",63,205,8.5,"Freshman",5,1,70,0,6,10,47,49,3,"hundreds",75,"The Forest","Bob's Burgers","Spongebob Squarepants"
"male","male",75,190,12.5,"Freshman",1,1,120,400,7.5,10,46,48,9,"millions",60,"Mad Max: Fury Road","Ed, Edd n Eddy","Breaking Bad"
"female","female",64,118,7.5,"Sophomore",4,1,85,106,7.5,29,40,46,3,"one",40,"Star Wars","Breaking Bad","Dexter"
"female","female",62,98,6.5,"Junior",12,3,100,1000,8,12,45,53,8,"few",98,"Shaandaar","None","None"
"female","female",62,145,7.5,"Freshman",0,1,60,0,6.5,5,44,46,7,"few",60,"Legally Blonde","Modern Family","Parks and Rec"
"female","female",65,150,7.5,"Sophomore",5,3,80,12,6.5,7,49,52,8,"few",80,"The Forest","Grey's Anatomy","Law and Order: SVU"
"male","male",72,135,9,"Freshman",0,1,85,50,6,7,48,52,4,"one",50,"The Martian","Pretty Little Liars","The Walking Dead"
"female","female",64,130,8,"Junior",6,2,100,50,7,40,56,55,2,"few",100,"The Longest Ride","One Tree Hill","How I Met Your Mother"
"male","male",72,190,12,"Freshman",0,2,95,0,7,8,49,55,8,"few",40,"Star Wars The Force Awakens","Breaking Bad","Parks and Recreation"
"male","male",72,230,11,"Freshman",3,2,40,80,7,40,37,47,3,"one",10,"Concussion","The Simpsons","Family Guy"
"male","male",71,130,10,"Freshman",1,2,81,54,7,7,52,54,8,"few",100,"Star Wars","The Office","Seinfeld"
"female","female",67,148,9,"Freshman",12,2,100,20,9,40,50,52,1,"few",25,"She's The Man","Friends","Prison Break"
"female","female",66,130,7,"Freshman",6,1,0,20,8.5,40,42,45,3,"few",10,"Star wars","none","none"
"male","male",70,130,9.5,"Freshman",4,1,90,2,7.5,4,46,46,1,"dozens",60,"Star Wars Episode 7","Dexter","Mr. Robot"
"female","female",63,107,6,"Freshman",0,3,35,21,7,6,41,47,7,"one",80,"Harry Potter","Once Upon a Time","Supernatural"
"female","female",66,150,7.5,"Freshman",0,5,50,100,8,30,36,47,9,"few",30,"Sisters","Jane the Virgin","Criminal Minds"
"female","female",68,130,9,"Freshman",1,2,100,0,6.5,15,50,55,7,"few",80,"the big short","greys anatomy","american dad"
"female","female",63,138,8,"Freshman",0,2,100,6,7.5,35,54,57,8,"few",100,"Beast Of No Nation","Bob's Burgers","A Different World"
"male","male",68,135,8.5,"Sophomore",0,1,100,38,7,4,47,51,7,"one",100,"Kingsman The Secret Service","NCIS","NCIS LA"
"female","female",64,180,9,"Freshman",5,2,115,120,7,35,50,50,4,"one",50,"Burnt","The Office","Gossip Girl"
"male","male",71,213,12,"Freshman",5,1,95,2,8,4,49,49,1,"few",35,"Star Wars the Force Awakens","Prison Break","How I met your mother"
"female","female",62,133,7.5,"Junior",2,4,65,200,7.5,6,49,58,7,"dozens",100,"Straight Outta Compton","The Office","30 Rock"
"male","male",72,170,11,"Freshman",2,1,110,22,6,8,52,51,4,"thousands",0,"Star Wars: The Force Awakens","It's Always Sunny in Philadelphia","Workaholics"
"female","female",64,125,5,"Sophomore",4,1,90,80,10,30,52,51,2,"few",100,"Borat","Bobs Burgers","Archer"
"female","female",63,116,7,"Freshman",4,1,110,3,7,8,50,47,1,"few",50,"Comet","The Bachelor","House Hunters International"
"female","female",63,130,7,"Freshman",3,1,85,200,7,25,48,49,4,"dozens",50,"Frozen","Gossip Girl","One Tree Hill"
"male","male",65,150,9.5,"Sophomore",0,1,70,50,7.5,2,50,55,7,"one",100,"Star Wars The Force Awakens","Firefly","Ghost In The Shell"
"female","female",69,152,8,"Sophomore",2,2,90,20,8,10,61,61,8,"few",60,"none","The Walking Dead","Vanderpump Rules"
"female","female",67,180,9.5,"Sophomore",0,4,136,1000,8.5,40,58,65,5,"one",50,"The Corps Brides","Big Bang Theory","Empire"
"female","female",64,130,7,"Freshman",2,1,74,5,6.5,10,49,53,2,"few",50,"The Scorch Trials","Teen Wolf","Switched at birth"
"female","female",63,101,7,"Freshman",0,1,0,10,6,7,55,64,7,"few",30,"Harry Potter","Grey's Anatomy","The Big Bang Theory"
"female","female",70,225,10.5,"Freshman",5,4,120,120,8,5,41,42,10,"few",40,"The Forest","Chopped","Snapped"
"female","female",62,115,5.5,"Freshman",0,2,110,75,8,25,49,50,8,"dozens",90,"none","one tree hill","the office"
"male","male",68,122,10,"Senior",0,0,85,71,6.5,7,56,59,1,"few",10,"Bajirao Mastani","Avatar: The Last Airbender","Gilmore Girls"
"female","female",66,180,9,"Freshman",1,0,85,60,7,9,53,51,7,"hundreds",50,"Aladdin","Criminal Minds","Downton Abbey"
"female","female",63,110,7,"Freshman",3,2,90,25,7,15,51,55,8,"millions",90,"The Hunger Games: Mockingjay Part 2","Gossip Girl","The Bachelor"
"male","male",72,160,11,"Freshman",0,2,120,100,8,10,56,56,8,"hundreds",50,"The big short","Prison break","Friday Night Lights"
"male","female",65,170,8.5,"Junior",2,1,125,0,7,7,50,56,1,"one",90,"Fast & Furious 7","No Game No Life","Sword Art Online"
"female","female",61,114,7.5,"Freshman",2,2,80,40,7,8,46,51,7,"few",90,"As Good As It Gets","Orange Is the New Black","Arrested Development"
"female","female",66,130,7,"Freshman",2,2,0,20,7.5,8,42,47,1,"few",60,"The Stoker","Sense8","The Walking Dead"
"female","female",62,120,6.5,"Freshman",1,2,108,50,9,35,49,50,2,"one",99,"none","Arrow","Gossip Girl"
"male","male",69,176,11,"Senior",3,1,95,3,8.5,6,53,55,7,"dozens",75,"Martian","Friends","Harry Potter"
"male","male",72,188,12.5,"Freshman",0,1,120,40,7,9,39,42,6,"few",28,"Ride along","nfl","nba"
"female","female",65,196,10,"Junior",7,1,115,0,9,3,49,53,8,"few",50,"Daddys Home","Fast N Loud","Diesel Brothers"
"male","male",69,250,10.5,"Freshman",0,1,90,3,7.5,6,48,49,3,"millions",80,"Star Wars: The Force Awakens","That 70's Show","How I Met Your Mother"
"male","male",65,182,11.5,"Freshman",0,1,99,0,7.5,4,41,43,6,"few",100,"Star Wars Episode 8","The Office","Sherlock"
"female","female",65,114,6,"Sophomore",0,0,0,100,8,5,46,46,4,"few",3,"About Time","Runningman","The Ellen Show"
"female","female",64,138,8,"Freshman",2,2,100,70,7,10,49,54,7,"one",90,"Inside out","Walking Dead","Friends"
"female","female",66,124,7,"Freshman",0,1,90,200,7,15,44,46,4,"one",100,"Minions","Qunatico","White Collar"
"female","female",70,160,10,"Freshman",1,0,100,13,7,18,42,49,8,"few",68,"How I Unleashed World War II","Jane the Virgin","Avatar the Last Airbender"
"female","female",66,138,8,"Freshman",4,1,0,20,9,20,51,55,7,"dozens",60,"The Mazerunner 2","The Bachelor","Prison Break"
"female","female",68,147,8.5,"Sophomore",1,1,80,10,7,25,50,47,10,"dozens",50,"Sisters","One Tree Hill","Breaking Bad"
"male","male",66,145,9,"Sophomore",0,1,110,15,6.5,12,56,65,9,"few",5,"The Martian","It's Always Sunny in Philadelphia","Trailer Park Boys"
"female","female",65,110,8,"Freshman",0,2,90,5,5.5,20,50,46,7,"few",50,"When Harry Met Sally","Sherlock","Breaking Bad"
"male","male",73,157,9.5,"Freshman",5,3,100,20,8.5,7,49,48,7,"one",90,"The Usual Suspects","Malcolm in the Middle","Bob's Burgers"
"female","female",69,158,9,"Freshman",0,2,110,17,7,16,53,53,4,"few",90,"The Revenant","Lost","It's Always Sunny in Philadelphia"
"male","male",72,165,12,"Sophomore",3,2,102,2,6.5,5,45,46,5,"hundreds",50,"Ted 2","Friday Night Lights","The Office"
"female","female",69,150,9.5,"Freshman",8,3,95,20,8,15,55,54,4,"few",80,"Star Wars","How I Met Your Mother","The office"
"female","female",66,145,9.5,"Freshman",3,2,80,6,7.5,20,45,46,8,"few",95,"The Imitation Game","Friends","Sherlock"
"male","male",67,192,10,"Junior",2,2,60,0,8,2,50,51,7,"few",60,"Snowpiercer","The Office","South Park"
"male","male",67,150,9,"Junior",1,2,120,25,7,10,45,46,8,"millions",25,"StarWars obviously ;p","Always Sunny","The office"
"male","male",70,180,11,"Freshman",1,2,92,21,8.5,12,45,47,5,"one",21,"Star Wars","The Walking Dead","Grey's Anatomy"
"male","male",71,180,10.5,"Freshman",1,1,120,20,9.5,6,49,49,8,"few",75,"none","The Fresh Prince of Bel Air","Rick and Morty"
"female","female",63,167,7,"Sophomore",3,1,110,100,7,25,46,47,7,"few",60,"Sisters","Friends","American Horror Story"
"male","male",72,175,10.5,"Freshman",1,4,85,15,9,5,55,58,5,"few",5,"Inside Out","The Wire","Transparent"
"female","female",64,133,8.5,"Freshman",3,3,80,10,8,10,46,45,10,"few",60,"Inside Out","The Office","Twin Peaks"
"male","male",72,210,13,"Freshman",0,2,170,0,4,10,48,51,7,"one",30,"None","Breaking bad","Flash"
"female","female",65,120,7,"Freshman",11,3,85,0,6,11,55,56,2,"none",13,"High School Musical 2","The O.C","Arrested Development"
"female","female",64,120,7,"Freshman",1,1,90,60,8,25,52,51,6,"one",75,"Sisters","Modern Family","The Office"
"male","male",71,160,12,"Freshman",6,2,100,0,7,2,55,62,6,"millions",90,"Men in Black III","Game of Thrones","Law and Order"
"female","female",66,127,7,"Freshman",0,1,110,60,7,10,48,50,4,"hundreds",100,"none","how i met your mother","parks and recreation"
"female","female",68,138,7.5,"Sophomore",0,1,86,140,7.5,23,55,56,7,"few",85,"The Danish Girl","iZombie","Sherlock"
"female","female",63,135,7.5,"Freshman",9,2,100,4,7,15,44,44,7,"dozens",75,"sisters","30 rock","friends"
"male","male",65,115,7.5,"Freshman",3,2,70,300,8,2,45,45,1,"thousands",15,"Star Wars; The Force Awakens","Parks and Recreation","Avatar: The Last Airbender"
"female","female",62,170,9.5,"Freshman",1,2,85,0,10,25,46,49,10,"hundreds",40,"Big Short","The Office","One Tree Hill"
"female","female",65,120,8.5,"Freshman",3,0,102,26,6.5,20,52,50,8,"hundreds",4,"Stuck In Love","New Girl","Friends"
"female","female",65,155,10.5,"Freshman",4,3,105,105,8,35,54,59,8,"one",30,"concussion","law and order","dexter"
"male","male",69,174,11.5,"Sophomore",6,1,115,90,7,4,48,53,4,"thousands",60,"The Hateful Eight","It's Always Sunny in Philadephia","Parks and Recreation"
"female","female",69,200,10,"Freshman",1,2,80,10,7,15,49,50,9,"dozens",70,"Whiplash","House of Cards","Parks and Recreation"
"female","female",64,137,7.5,"Freshman",4,1,100,40,8,35,52,51,9,"few",75,"gone girl","gossip girl","greys anatomy"
"female","female",74,105,6.5,"Freshman",1,1,0,30,8,10,46,45,7,"few",20,"Mr. six","The friends","modern family"
"female","female",65,145,9,"Freshman",0,0,85,33,6.5,20,48,48,8,"few",100,"The Gift","Supernatural","Law & Order SVU"
"female","female",67,135,9,"Freshman",0,0,0,20,7.5,6,45,49,6,"few",60,"None","Once","The Shannora Chronicles"
"male","male",72,200,13,"Freshman",0,1,123,14,7,8,50,53,4,"few",100,"none","Arrow","Modern Family"
"female","female",60,105,6,"Freshman",1,1,90,65,9,15,50,45,3,"dozens",25,"The Forest","American Horror Story","Adventure Time"
"female","female",70,118,9,"Freshman",3,8,110,5,5,20,52,55,8,"few",99,"Hateful Eight","Breaking Bad","Grey's Anatomy"
"female","female",66,128,7,"Senior",2,1,100,18,8,6,53,58,6,"few",100,"none","quantico","once upon a time"
"male","male",70,170,10.5,"Freshman",2,2,178,10,6,10,49,51,5,"few",5,"Gadiator","Archer","Narcos"
"female","female",63,100,6,"Freshman",0,0,0,68,7,8,51,52,3,"one",5,"star wars","person of interest","supernatural"
"male","male",71,165,10,"Junior",0,2,105,64,7,15,55,55,1,"one",75,"none","Always Sunny","Suits"
"male","male",62,170,8,"Freshman",3,3,80,40,6.5,5,37,38,9,"one",50,"none","Trailer Park Boys","Futurama"
"female","female",64,120,7.5,"Freshman",4,2,85,30,7,7,49,58,6,"few",40,"Miss Congeniality","Friends","The Office"
"female","female",69,134,8.5,"Freshman",1,1,80,12,8,20,52,54,5,"few",25,"Daddy's Home","Grey's Anatomy","The Bachelor"
"female","female",66,150,8.5,"Freshman",10,1,75,32,8.5,33,53,54,3,"few",20,"Sisters","New Girl","Jane the Virgin"
"female","female",64,105,6,"Freshman",2,2,90,10,8,16,55,54,1,"one",20,"Joy","The Bachelor","Modern Family"
"male","male",72,165,12,"Freshman",0,1,70,20,6,10,53,55,8,"one",20,"Star Wars","Fresh Off the Boat","Fresh Prince of Bel Air"
"male","male",83,220,13,"Freshman",1,1,72,110,7,8,50,50,4,"millions",20,"Star Wars: The Force Awakens","Psych","Game of Thrones"
"female","female",68,147,9,"Senior",5,2,95,3,6,8,48,48,7,"one",90,"Star Wars: The Force Awakens","How to Get Away with Murder","Chopped"
"male","male",71,185,13,"Junior",2,0,115,60,7,15,46,49,7,"few",75,"wolf of wallstreet","The Flash","Espn"
"female","female",66,150,8,"Sophomore",1,0,85,35,6,5,48,50,7,"one",10,"The Shinning","Parks and Recreation","How to Get Away with Murder"
"male","male",69,160,10,"Sophomore",2,2,110,20,7,4,45,46,5,"thousands",50,"the revenent","parks and rec","hannibal"
"male","male",68,157,10,"Freshman",3,1,100,28,6,5,50,58,6,"few",100,"Pulp Fiction","It's Always Sunny in Philadelphia","Last Man Standing"
"male","male",75,187,13.5,"Freshman",0,1,90,1000,6.5,5,49,59,7,"dozens",10,"Spectre","Skins","Game of Thrones"
"female","female",65,217,9,"Sophomore",12,4,90,40,6,12,42,54,7,"one",100,"Snow piercer","Quantico","Jane the Virgin"
"male","male",70,190,12.5,"Freshman",0,2,69,60,5,5,50,50,9,"thousands",10,"Brooklyn","The Flash","Avatar the Last Airbender"
"female","female",70,140,10,"Freshman",2,1,115,81,8.5,30,54,53,3,"few",25,"That Awkward Moment","How I Met Your Mother","Keeping Up With The Kardashians"
"female","female",60,93,6,"Freshman",1,2,60,50,6,4,45,50,4,"hundreds",50,"Submarine","It's Always Sunny in Philidelphia","Parks and Recreation"
"female","female",62,111,6,"Freshman",0,0,63,7,8,11,45,47,1,"one",68,"Flipped","Mozart in the jungle","Elementary"
"male","male",70,170,10.5,"Freshman",2,0,85,79,7,12,58,52,6,"few",75,"The Lego Movie","Rick and Morty","Silicon Valley"
"male","male",63,145,8,"Sophomore",0,2,20,18,6.5,8,40,41,5,"hundreds",90,"Star Wars The Force Awakens","How I Met Your Mother","Parks and Recreation"
"female","female",65,130,8,"Freshman",3,3,90,33,9,15,47,45,8,"thousands",25,"The Big Short","Little Miss Sunshine","Juno"
"female","female",63,130,8,"Freshman",0,1,120,3,7,13,51,55,4,"hundreds",40,"Daddy's Home","The Challenge","Real World"
"female","female",63,175,7,"Freshman",2,0,80,2,7,15,47,63,6,"one",50,"Sisters","Game of Thrones","Gotham"
"female","female",62,160,8,"Junior",0,10,130,27,4.5,60,40,37,3,"one",75,"Creed","Criminal Minds","Love & Hip-Hop"
"male","male",71,186,12,"Freshman",0,1,84,300,7,3,48,48,9,"dozens",5,"2001: A Space Odyssey","House of Cards","House M.D."
"female","female",62,110,6.5,"Freshman",1,2,90,20,8,20,52,56,4,"few",8,"Cyberbully","Grey's Anatomy","The Office"
"female","female",65,92,6.5,"Freshman",0,0,0,400,7,20,45,47,4,"few",40,"Sherlock","The Voice","Ninja Warrior"
"female","female",60,131,6,"Sophomore",3,6,100,0,5.5,10,53,57,6,"hundreds",100,"Inside Out","Family Guy","Spongebob Squarepants"
"female","female",66,137,8,"Freshman",5,0,80,17,6,9,47,46,7,"one",30,"""""none""""","Animals World","Jimmy Kimmel Live!"
"female","female",65,112,8.5,"Sophomore",4,0,102,69,8,15,55,58,6,"thousands",85,"Pulp Fiction","Pretty Little Liars","Grey's Anatomy"
"male","male",74,140,10.5,"Freshman",1,4,105,50,9,6,50,53,7,"one",5,"Hateful Eight","Scrubs","It's Always Sunny in Philadelphia"
"female","female",66,125,8,"Freshman",17,3,0,20,7.5,9,39,40,3,"few",100,"Wall-E","The Walking Dead","Modern Family"
"male","male",70,180,11,"Freshman",1,3,110,20,7,15,47,50,5,"few",100,"Star Wars VII","Family Guy","Breaking Bad"
"male","male",70,150,9,"Freshman",10,1,110,0,6.5,15,37,40,3,"few",50,"ride along 2","prison break","nikita"
"male","male",76,260,14,"Junior",7,2,105,110,6,2,50,54,8,"dozens",15,"Sisters","South Park","Modern Family"
"female","female",65,190,10,"Freshman",1,0,90,0,8,20,53,54,5,"few",60,"Daddy's Home","Keeping up with the Kardashians","Gossip Girl"
"male","male",70,200,12.5,"Freshman",0,1,100,35,7,8,53,58,4,"few",50,"The Hateful Eight","30 Rock","Friends"
"female","female",62,190,7,"Freshman",1,2,80,0,7.5,10,51,60,7,"few",30,"none","la promesa","the big bang theory"
"female","female",64,127,8,"Freshman",8,4,100,80,6,40,53,52,7,"one",30,"The Notebook","Criminal Minds","One Tree Hill"
"female","female",62,111,6.5,"Freshman",2,0,0,130,7.5,7,48,48,7,"one",4,"Maleficent","family guys","voice of America"
"female","female",70,140,10,"Sophomore",3,2,85,50,7,14,46,47,7,"few",95,"Star Wars The Force Awakens","Grey's Anatomy","Prison Break"
"male","male",70,170,9.5,"Freshman",20,0,81,1000,7,10,43,46,8,"dozens",30,"The Grand Budapest Hotel","big bang theory","food"
"male","male",72,154,10.5,"Freshman",3,0,120,40,7.5,35,47,47,1,"millions",10,"Star Wars","Suprenatural","Futurama"
"female","female",68,120,9,"Freshman",15,3,100,120,7,15,43,47,8,"few",40,"The Big Short","The Office","Parks and Rec"
"female","female",67,120,8,"Freshman",2,0,85,7,8,17,50,52,7,"few",25,"Ride Along 2","Blacklist","The challenge"
"female","female",63,120,7,"Freshman",30,1,85,15,7.5,14,45,46,4,"one",100,"Mockingjay pt. 2","Parks & Recreation","Jane the Virgin"
"female","female",63,145,8.5,"Freshman",7,3,110,400,8,10,51,52,3,"few",100,"Star Wars: The Force Awakens","Game of Thrones","The Office"
"female","female",62,160,8.5,"Freshman",0,1,60,35,7,6,43,49,5,"few",70,"Star Wars Episode VII","BBC Sherlock","Nikita"
"male","male",68,180,9.5,"Sophomore",0,1,100,50,8,10,42,42,4,"few",30,"The Martian","Bob's Burgers","Reply 1988"
"female","female",68,135,8,"Freshman",1,1,80,10,9,20,50,53,7,"few",100,"Joy","Keeping Up With the Kardashians","Shameless"
"female","female",60,125,5,"Senior",2,1,0,23,6,45,58,56,9,"few",60,"the lobster","breaking bad","arrested development"
"female","female",63,120,7.5,"Freshman",1,1,86,5,7,9,47,45,6,"few",35,"scary movie 5","New Girl","Modern Family"
"female","female",62,135,7.5,"Freshman",6,1,90,0,4,16,49,48,4,"few",20,"neighbors","friends","one tree hill"
"female","female",67,150,9,"Sophomore",3,2,95,7,7.5,13,48,49,2,"one",85,"Shrek Forever After","Arrow","Gotham"
"female","female",69,135,9,"Freshman",2,1,76,20,7,8,44,45,7,"few",50,"Star Wars The Force Awakens","Sherlock","Turn: Washington's Spies"
"male","male",68,225,11.5,"Sophomore",0,2,100,200,7,12,51,50,7,"one",4,"star wars episode 7","Parks and Rec","The Flash"
"male","male",66,192,12,"Freshman",3,5,0,16,7,9,65,65,8,"one",100,"Ride along 2","Dexter","Weeds"
"male","male",73,173,10.5,"Freshman",1,3,116,42,7.5,7,47,57,4,"few",100,"The Revenant","Greys Anatomy","Impractical Jokers"
"male","male",68,140,9.5,"Freshman",0,2,85,200,7,3,45,50,4,"few",40,"Star Wars Ep. 7","Top Gear","The Goldbergs"
