"gender","schoolYear","greek","homeTown","ethnicity","religion","religious","ACT","GPA","partyHr","drinks","sexPartners","relationships","firstKissAge","hoursCallParents","socialMedia","Syria","gayMarriage","triedGaySex","abortion","politics","poverty","goodOrWell","parentRelationship","workHr","tuition"
"Female","Sophomore","No","suburbs","Black","Christian",8,26,2.9,10,7,5,2,"14",10,4,0,7,"No",9,5,6,2,8,0,30
"Male","Junior","No","Medium_City","Asian","Muslim",8,30,3.8,0,0,0,0,"still_waiting",21,1.5,7,8,"No",7,4,5,3,9,0,100
"Male","Sophomore","No","suburbs","Hispanic","Christian",2,33,2.3,4,4,4,1,"14",7,1,0,0,"Yes",3,1,5,2,6,10,10
"Female","Junior","No","suburbs","Black","Christian",6,29,3.5,1,0,0,2,"17",2,4,5,5,"No",2,3,7,6,10,0,0
"Female","Freshman","No","suburbs","White","Jewish",1,28,3.6,8,5,2,2,"14",2,0.5,2,0,"Yes",0,0,3,4,8,0,100
"Female","Junior","No","suburbs","Asian","Hindu",5,30,3,5,0,0,1,"18",5,3,6,3,"No",1,3,4,4,8,0,100
"Female","Sophomore","Yes","suburbs","White","Agnostic",0,28,3.3,3,20,5,1,"14",3,2,0,0,"No",7,4,5,9,9,0,90
"Female","Junior","Yes","Medium_City","White","Agnostic",2,30,3.3,4,4,2,1,"13",1,2,3,0,"Yes",3,3,4,4,9,15,100
"Female","Sophomore","Yes","suburbs","White","Jewish",6,23,3.8,16,6,1,2,"12",14,2,6,1,"No",2,5,5,5,9,5,100
"Female","Sophomore","No","suburbs","Asian","Agnostic",0,29,3.5,2,1,2,2,"14",1,3,3,0,"No",3,3,5,6,8,0,100
"Male","Sophomore","No","Medium_City","White","Agnostic",3,32,3.6,4,10,7,3,"15",0,0.5,0,0,"Yes",0,3,2,5,4,15,30
"Female","Sophomore","Yes","Small_Town","White","Christian",4,22,2.5,2,0,3,1,"15",2,3.5,3,2,"No",5,4,5,0,2,10,80
"Female","Junior","No","suburbs","White","Christian",5,23,2.3,15,10,23,4,"16",14,5,0,0,"No",5,5,5,5,5,0,100
"Male","Sophomore","No","suburbs","Asian","Christian",9,28,3.6,0,0,0,0,"17",5,3,4,5,"No",5,5,5,5,5,0,30
"Female","Senior","No","Medium_City","Black","Christian",5,19,3.6,6,2,13,1,"14",2,6,5,0,"Yes",7,1,1,9,9,15,0
"Female","Sophomore","Yes","suburbs","White","Christian",7,26,3.4,12,18,1,1,"12",2,4,4,0,"No",3,6,3,8,10,0,100
"Female","Sophomore","No","suburbs","White","Christian",7,26,3.6,2,1,1,0,"18",2,1,0,9,"No",9,9,7,5,9,0,0
"Female","Sophomore","Yes","suburbs","Asian","Buddhist",2,28,3.5,5,3,0,0,"still_waiting",3,3,1,0,"No",0,3,7,10,10,0,100
"Female","Junior","No","big_city","White","Christian",9,23,3.3,8,10,0,1,"17",5,0.5,3,0,"No",5,5,8,0,10,10,20
"Male","Sophomore","No","suburbs","Asian","Muslim",7,32,3,2,0,0,0,"still_waiting",2,1.5,6,7,"No",5,5,4,8,9,0,100
"Female","Junior","No","big_city","Black","Christian",9,23,3.4,3,0,0,0,"19",7,1.5,3,9,"No",8,6,3,5,10,15,50
"Female","Sophomore","Yes","suburbs","White","Jewish",5,31,3.1,5,5,0,0,"18",2,4,5,0,"No",0,2,0,3,9,0,100
"Female","Freshman","No","Medium_City","White","Christian",8,25,4,8,4,2,2,"14",7,5,0,9,"Yes",8,8,8,10,10,0,80
"Female","Sophomore","Yes","Small_Town","White","Christian",5,32,3.6,16,20,20,2,"13",50,1.5,0,0,"No",5,2,8,7,10,5,40
"Female","Sophomore","No","Small_Town","White","Agnostic",5,29,3.5,20,8,1,1,"15",5,1,0,0,"No",3,3,5,2,8,30,30
"Female","Sophomore","No","suburbs","White","Christian",8,28,3.8,3,6,0,1,"18",2,2,5,2,"No",7,7,8,1,8,10,80
"Female","Sophomore","Yes","big_city","White","Christian",8,26,3.3,2,10,0,1,"16",2,2,6,0,"No",2,0,5,3,8,30,30
"Female","Sophomore","Yes","suburbs","White","Christian",7,29,3.6,6,8,2,3,"14",10,1,1,0,"No",3,4,5,1,9,0,80
"Male","Sophomore","No","big_city","Hispanic","Christian",8,25,3.2,0,4,0,0,"still_waiting",0,3,10,10,"No",10,8,5,0,8,0,0
"Male","Sophomore","No","big_city","Asian","Christian",9,27,3.9,0,0,0,0,"still_waiting",1,8,5,10,"No",10,5,2,0,2,0,100
"Female","Sophomore","No","suburbs","Black","Christian",8,22,3.6,3,0,0,0,"18",1,1,2,5,"No",10,5,4,5,10,0,90
"Male","Sophomore","No","Small_Town","White","Christian",4,25,3.5,10,20,7,2,"12",1,2,10,5,"No",5,7,5,6,9,20,100
"Male","Sophomore","No","Small_Town","White","Christian",10,31,2,0,1,6,2,"18",1,0,0,10,"No",10,10,7,5,8,15,0
"Female","Sophomore","Yes","suburbs","White","Christian",7,28,3.1,15,10,2,2,"15",3,2,4,0,"No",2,2,5,2,10,0,70
"Female","Sophomore","Yes","suburbs","White","Christian",5,30,2.8,10,6,1,3,"16",7,4,0,0,"No",0,5,2,8,9,0,100
"Female","Senior","No","big_city","Black","Christian",9,16,3.5,0,0,1,1,"8",5,2,0,5,"No",10,5,5,0,8,10,40
"Male","Sophomore","No","suburbs","Asian","Atheist",0,31,3.8,6,8,0,0,"19",3,4.5,5,5,"No",0,5,8,4,8,0,100
"Male","Senior","No","suburbs","White","Christian",3,29,2.9,3,4,0,0,"19",1,1,5,6,"No",2,5,5,7,6,0,100
"Female","Sophomore","No","Small_Town","White","Christian",10,31,3.6,0,0,0,0,"still_waiting",1,1,7,7,"No",10,7,5,0,8,5,60
"Female","Sophomore","Yes","Small_Town","White","Christian",1,25,2.9,8,10,0,0,"15",1,2,1,0,"No",2,5,9,6,10,10,0
"Female","Freshman","No","suburbs","White","Christian",3,31,3.5,0,0,0,1,"15",6,4,3,0,"No",7,5,4,5,7,0,80
"Female","Sophomore","No","big_city","Asian","Other",4,23,2.8,0,1,1,1,"18",7,0.5,0,5,"No",5,5,7,10,9,0,100
"Female","Junior","No","Medium_City","Asian","Christian",6,30,2.5,3,0,0,3,"13",1,6.5,1,0,"No",9,5,3,8,1,15,30
"Female","Junior","No","suburbs","Black","Christian",6,26,3.2,3,0,1,1,"14",10,5,1,4,"No",3,3,6,8,10,0,0
"Male","Junior","No","big_city","Asian","Christian",5,36,3.5,3,1,50,2,"still_waiting",4,8,5,0,"Yes",5,5,6,5,4,0,100
"Male","Freshman","No","big_city","White","Christian",6,26,4,6,15,1,1,"17",3,1,0,10,"No",2,9,2,9,10,0,30
"Female","Sophomore","Yes","suburbs","Hispanic","Christian",5,28,2.9,6,2,2,2,"13",2,7,0,0,"No",0,0,0,10,10,0,100
"Male","Sophomore","No","suburbs","Asian","Christian",8,28,3.4,6,6,2,0,"13",2,3,2,8,"No",8,5,6,1,10,0,10
"Male","Sophomore","No","Small_Town","Asian","Christian",5,29,3,8,4,0,0,"still_waiting",1,4,5,10,"No",8,7,7,5,5,0,90
"Female","Sophomore","No","suburbs","Mixed_Other","Christian",2,27,3.5,8,5,1,1,"17",3,1,5,0,"No",1,5,5,7,7,0,100
"Female","Sophomore","Yes","big_city","Hispanic","Christian",7,24,3,13,10,0,0,"14",7,4,0,0,"No",0,5,5,5,10,5,0
"Male","Sophomore","Yes","Medium_City","Hispanic","Christian",5,22,3.1,30,34,3,1,"12",2,4,2,6,"No",6,5,5,5,6,15,10
"Female","Sophomore","No","Small_Town","Black","Christian",7,25,3.3,5,1,0,0,"still_waiting",3,4,4,1,"No",8,6,7,5,7,0,80
"Male","Sophomore","Yes","Small_Town","White","Christian",1,31,3.3,15,30,2,2,"14",1,6,6,3,"No",5,8,8,6,8,0,50
"Male","Sophomore","Yes","suburbs","White","Agnostic",0,26,3.3,4,2,8,0,"18",3,2,7,0,"Yes",2,0,3,5,8,0,80
"Male","Sophomore","No","big_city","Hispanic","Other",5,23,3.1,6,5,0,0,"18",8,1,0,7,"No",8,5,8,3,8,0,30
"Female","Junior","No","suburbs","Black","Christian",10,18,3,1,0,3,1,"15",7,2,0,10,"No",4,1,2,0,10,15,0
"Female","Sophomore","No","big_city","White","Other",1,27,3.6,0,0,1,1,"13",4,1,2,0,"No",5,5,6,5,7,15,0
"Female","Freshman","Yes","suburbs","White","Christian",6,26,3.8,5,5,0,1,"15",6,5,7,2,"No",4,6,3,5,9,20,80
"Male","Junior","Yes","Small_Town","White","Christian",2,17,3,20,40,7,1,"15",4,2.5,7,3,"No",0,3,5,9,10,0,60
"Male","Senior","No","suburbs","Hispanic","Agnostic",5,27,3.6,6,4,1,1,"19",7,2,0,0,"Yes",0,0,5,0,9,0,100
"Female","Sophomore","No","big_city","Hispanic","Other",7,23,3.8,12,20,0,2,"9",22,1.5,3,7,"No",2,5,8,7,10,0,10
"Female","Sophomore","Yes","suburbs","White","Christian",6,28,3.2,4,4,1,1,"17",3,2,5,2,"No",5,7,6,7,8,0,80
"Male","Freshman","No","Small_Town","Asian","Atheist",3,29,3.9,3,0,49,19,"19",43,1,1,1,"Yes",1,3,7,9,7,5,10
"Female","Sophomore","Yes","suburbs","White","Christian",7,24,3.8,20,20,0,0,"16",9,6,0,0,"No",5,5,8,0,10,35,60
"Female","Junior","Yes","Medium_City","White","Agnostic",2,28,3.8,2,7,9,1,"13",1,1,0,3,"No",5,5,5,5,4,15,70
"Female","Sophomore","No","suburbs","White","Christian",10,29,3.2,10,10,3,1,"15",2,3,5,0,"Yes",2,8,9,10,9,15,0
"Male","Sophomore","Yes","big_city","Black","Christian",7,22,3.1,5,0,0,0,"18",0,5.5,5,10,"No",5,5,5,10,9,10,30
"Male","Sophomore","No","Medium_City","Asian","Christian",1,32,2.7,8,4,0,0,"19",2,2,5,2,"No",1,5,5,8,9,0,80
"Male","Freshman","Yes","suburbs","White","Christian",5,31,4,10,10,0,0,"16",0,0.5,4,5,"No",0,7,5,5,10,0,70
"Female","Sophomore","Yes","suburbs","Asian","Muslim",8,28,3.7,3,0,0,0,"still_waiting",2,2,7,5,"No",4,2,8,4,9,0,100
"Male","Sophomore","No","suburbs","Black","Christian",10,20,2.5,0,0,1,1,"12",3,2.5,4,5,"No",4,4,5,5,7,40,0
"Female","Senior","No","big_city","Mixed_Other","Christian",5,23,2.8,2,1,0,2,"15",1,1,5,0,"No",10,5,5,0,2,15,0
"Male","Freshman","No","Medium_City","White","Christian",7,26,3.9,5,10,0,1,"13",1,1,0,6,"No",9,9,7,4,9,25,80
"Female","Sophomore","Yes","Medium_City","White","Christian",3,25,3.8,20,27,1,2,"12",4,3,1,2,"Yes",5,5,5,0,5,0,90
"Female","Sophomore","Yes","suburbs","White","Jewish",7,24,3.9,5,5,1,1,"14",2,3,6,0,"No",0,3,9,3,8,0,100
"Female","Sophomore","No","Medium_City","Hispanic","Other",6,22,2.3,8,8,1,1,"14",4,4,4,0,"No",5,5,6,8,7,20,10
"Male","Sophomore","No","suburbs","Asian","Christian",5,30,3.7,6,10,1,2,"12",1,4,5,5,"No",6,6,5,5,5,15,0
"Male","Senior","Yes","Small_Town","White","Christian",7,22,2.9,8,15,3,1,"17",1,3,3,9,"No",8,7,8,7,4,15,0
"Female","Sophomore","Yes","suburbs","White","Christian",5,28,3.8,8,25,0,1,"14",10,1,3,0,"No",4,5,5,5,10,10,100
"Female","Senior","No","Small_Town","White","Christian",8,32,3.7,0,1,3,1,"13",1,2,0,9,"No",10,8,6,1,9,0,70
"Female","Sophomore","No","Medium_City","Black","Christian",3,21,2.8,4,0,4,1,"13",10,0,2,0,"No",5,2,6,7,8,10,0
"Female","Sophomore","Yes","Small_Town","Hispanic","Other",5,23,3.7,3,2,0,0,"19",14,1,0,0,"No",10,3,8,7,10,0,0
"Female","Sophomore","No","Medium_City","Asian","Christian",6,33,3.5,2,2,0,1,"17",16,3,0,6,"No",0,5,10,7,4,0,100
"Male","Sophomore","No","Small_Town","White","Christian",6,26,2.9,27,21,6,2,"14",1,2.5,7,10,"No",8,10,8,7,10,40,100
"Female","Sophomore","No","Medium_City","White","Agnostic",0,28,3.1,8,10,3,1,"14",50,6,5,0,"No",0,0,5,4,10,10,0
"Female","Sophomore","No","Medium_City","Black","Christian",9,26,3.1,0,0,0,0,"still_waiting",7,5,5,10,"No",8,5,2,1,8,10,0
"Male","Sophomore","No","big_city","Hispanic","Christian",4,28,3.2,6,10,2,1,"13",3,3,1,0,"No",2,3,4,8,10,0,40
"Male","Junior","Yes","suburbs","Asian","Hindu",3,24,3.1,9,15,0,0,"18",3,2.5,0,0,"No",0,5,4,5,8,0,70
"Female","Junior","No","big_city","Black","Christian",5,20,2.8,6,1,5,1,"12",3,7.5,0,0,"Yes",5,5,5,3,1,35,0
"Female","Sophomore","Yes","suburbs","White","Christian",5,27,3.5,22,36,13,3,"14",4,8,2,1,"Yes",3,5,4,4,8,10,60
"Female","Sophomore","No","big_city","Hispanic","Christian",7,31,3.2,1,0,0,0,"19",3,5.5,0,0,"No",7,5,7,1,10,15,0
"Male","Sophomore","Yes","Small_Town","Hispanic","Christian",6,28,4,12,20,0,3,"16",4,4,7,4,"No",3,4,3,6,7,0,90
"Female","Sophomore","No","Medium_City","Asian","Atheist",5,29,3.7,2,0,0,0,"still_waiting",3,3,3,7,"No",5,5,8,8,8,10,30
"Female","Sophomore","No","Small_Town","White","Christian",7,26,3.3,4,4,2,3,"14",7,1,5,1,"No",10,8,5,1,9,0,90
"Female","Sophomore","No","big_city","Black","Christian",8,21,3.4,2,0,1,1,"18",20,2.5,6,6,"No",8,7,6,4,8,10,20
"Male","Sophomore","Yes","Medium_City","White","Christian",6,28,3.1,3,10,3,2,"15",3,3,4,7,"No",4,7,7,7,8,0,50
"Female","Sophomore","Yes","suburbs","White","Jewish",1,26,3.6,12,22,6,1,"13",4,1,0,0,"No",0,8,4,6,10,0,100
"Female","Freshman","No","suburbs","Asian","Christian",6,28,4,0,0,1,2,"16",3,1,5,6,"No",2,3,6,5,8,0,80
"Female","Sophomore","No","suburbs","Asian","Christian",6,28,3.5,1,0,0,2,"17",3,4.5,0,5,"No",5,5,5,10,7,0,0
"Female","Freshman","No","suburbs","White","Christian",8,28,4,20,10,1,1,"13",14,5,0,0,"No",0,5,5,6,10,0,100
"Female","Sophomore","Yes","suburbs","White","Christian",8,28,3.1,20,10,8,4,"14",6,8,4,5,"No",1,8,8,8,9,0,100
"Female","Sophomore","Yes","suburbs","White","Christian",5,26,3.8,2,2,1,2,"15",1,5,5,3,"No",0,5,7,5,9,40,80
"Male","Junior","No","Medium_City","Black","Christian",7,22,3,4,1,4,2,"12",5,1,1,10,"No",9,5,6,7,7,15,10
"Male","Sophomore","Yes","Small_Town","White","Christian",7,24,3.4,4,15,0,1,"16",3,3,5,5,"No",9,10,8,5,10,0,90
"Female","Junior","No","suburbs","Mixed_Other","Christian",6,19,3,3,0,15,1,"16",20,2,0,0,"Yes",5,5,5,0,8,25,80
"Male","Junior","No","suburbs","Hispanic","Christian",5,29,2.2,10,20,2,0,"18",1,1,5,1,"No",3,4,3,8,8,0,0
"Male","Sophomore","No","suburbs","Asian","Atheist",1,28,3.5,5,3,0,0,"16",1,8,10,0,"No",0,0,5,7,6,0,0
"Female","Senior","Yes","Small_Town","White","Christian",4,27,3.4,1,3,2,1,"15",9,1.5,5,3,"No",4,8,7,5,10,10,90
"Male","Sophomore","No","Medium_City","White","Atheist",0,18,3.1,6,10,17,2,"13",1,5,5,7,"No",0,5,8,8,10,0,0
"Female","Sophomore","No","big_city","Hispanic","Christian",7,19,2.3,1,0,1,1,"17",4,3,0,10,"No",5,5,8,3,8,15,90
"Female","Sophomore","No","suburbs","White","Christian",6,27,3.3,0,0,0,1,"18",1,2.5,5,4,"No",10,7,6,5,5,0,50
"Female","Sophomore","No","Medium_City","White","Agnostic",0,28,3.3,4,3,0,0,"19",5,1,8,0,"No",2,3,4,7,6,0,80
"Male","Sophomore","No","suburbs","White","Christian",6,26,3,30,23,0,0,"16",1,2,7,5,"No",9,8,10,10,7,35,0
"Female","Sophomore","Yes","suburbs","White","Christian",8,28,3.3,8,12,0,1,"15",1,3.5,2,10,"No",10,8,7,5,9,5,60
"Male","Senior","No","Medium_City","White","Christian",8,31,2.8,0,0,0,0,"17",1,0.5,2,10,"No",9,8,5,5,10,10,100
"Male","Sophomore","Yes","suburbs","White","Christian",3,29,3.1,20,50,6,0,"16",4,1.5,5,0,"No",3,5,4,3,10,0,90
"Female","Sophomore","Yes","suburbs","White","Jewish",4,26,3.7,8,3,0,0,"17",7,2,0,0,"No",10,5,5,4,7,0,50
"Female","Sophomore","Yes","suburbs","Asian","Hindu",4,30,3.4,8,10,2,2,"15",10,4,0,0,"No",0,3,6,10,10,15,100
"Female","Freshman","No","Small_Town","White","Christian",6,26,3.7,12,20,2,1,"14",2,3,5,5,"No",10,6,5,8,10,0,100
"Female","Freshman","No","suburbs","White","Jewish",7,26,3.8,12,20,1,0,"14",6,5,5,0,"No",10,6,6,2,9,10,100
"Female","Sophomore","Yes","suburbs","Mixed_Other","Christian",8,30,3,12,10,0,0,"13",10,1.5,2,10,"No",5,8,6,5,10,0,100
"Male","Sophomore","No","suburbs","Asian","Christian",8,26,3,1,1,0,0,"still_waiting",1,4,5,3,"No",8,5,4,5,8,0,90
"Female","Sophomore","Yes","Small_Town","White","Christian",2,29,3.7,8,15,6,1,"14",2,2,6,2,"No",3,6,7,3,9,0,100
"Female","Sophomore","No","suburbs","Black","Christian",6,24,3.3,3,4,3,3,"7",7,0.5,0,0,"Yes",0,4,5,4,7,0,80
"Female","Junior","No","suburbs","Mixed_Other","Agnostic",0,30,2.7,10,7,9,3,"14",1,5,5,0,"No",1,1,2,4,8,0,30
"Female","Senior","No","suburbs","White","Christian",8,22,3.3,6,12,1,1,"14",20,3,2,2,"No",4,0,10,0,10,0,0
"Female","Junior","No","Small_Town","White","Christian",6,25,2.9,4,5,0,0,"16",5,2,5,5,"No",5,4,4,4,3,10,100
"Female","Sophomore","No","Medium_City","Mixed_Other","Christian",0,32,3.8,2,4,0,1,"12",4,2,6,0,"No",0,1,3,8,8,10,100
"Male","Sophomore","No","big_city","White","Jewish",3,28,2.8,10,12,1,1,"15",4,1.5,6,0,"No",4,3,5,3,8,0,100
"Female","Junior","No","big_city","White","Agnostic",0,34,3.9,4,6,2,2,"13",1,1,0,0,"No",0,2,1,1,7,0,100
"Male","Sophomore","No","Medium_City","Asian","Christian",1,27,3.3,5,1,31,2,"14",2,0.5,5,5,"No",5,5,9,6,7,30,0
"Female","Sophomore","No","big_city","Black","Christian",3,24,2.9,4,1,1,1,"16",3,0,0,0,"No",0,0,4,7,7,15,0
"Male","Senior","No","suburbs","White","Atheist",0,25,3.7,12,16,1,1,"13",3,4,0,0,"Yes",2,0,2,8,9,0,100
"Female","Sophomore","No","big_city","Hispanic","Christian",6,22,2.5,10,10,3,0,"15",6,5,0,0,"Yes",2,4,3,3,8,0,0
"Female","Freshman","No","Medium_City","Asian","Christian",8,30,3.7,6,0,0,0,"16",5,8,4,4,"No",8,5,5,10,8,20,30
"Female","Sophomore","Yes","suburbs","White","Christian",8,26,3.6,20,30,13,3,"14",0,3,0,0,"No",5,5,0,5,10,0,100
"Female","Sophomore","Yes","suburbs","Hispanic","Christian",3,22,2.7,8,14,6,3,"15",1,8,3,1,"No",0,5,5,7,10,0,100
"Male","Junior","No","suburbs","Asian","Christian",7,23,2.6,6,3,0,0,"still_waiting",3,3,0,10,"No",3,0,4,5,4,0,100
"Female","Junior","No","Medium_City","Black","Christian",8,24,2.8,0,0,3,2,"13",10,3,5,10,"No",10,5,4,8,7,20,0
"Male","Sophomore","Yes","suburbs","White","Christian",5,29,3.7,10,14,2,1,"15",10,1.5,4,8,"No",7,7,7,7,9,5,90
"Male","Sophomore","Yes","suburbs","White","Agnostic",3,31,2.6,24,39,1,1,"12",2,2,2,0,"No",0,4,7,5,9,0,100
"Female","Junior","No","suburbs","Asian","Christian",7,28,2.8,0,0,0,0,"still_waiting",2,8,5,7,"No",9,6,7,3,9,10,50
"Female","Junior","No","suburbs","White","Atheist",0,30,3.6,0,0,0,0,"still_waiting",3,1,5,0,"Yes",0,2,1,3,9,0,60
"Male","Senior","No","Small_Town","White","Christian",7,24,2.8,6,6,3,2,"17",5,3,3,8,"No",5,9,3,7,10,15,100
"Female","Junior","Yes","Medium_City","Hispanic","Christian",2,16,3.4,6,5,2,1,"12",2,8,6,2,"No",5,8,3,0,9,0,0
"Female","Junior","Yes","suburbs","Asian","Other",4,27,3,10,25,4,0,"17",1,2,5,0,"No",7,6,6,6,8,15,90
"Female","Sophomore","Yes","suburbs","White","Christian",3,23,3.7,5,9,1,1,"15",6,2,4,0,"No",0,4,4,1,3,0,100
"Male","Sophomore","Yes","suburbs","White","Agnostic",0,29,3.8,8,16,10,1,"12",1,1,0,0,"No",2,5,5,7,6,0,90
"Female","Sophomore","No","big_city","Black","Christian",7,24,2.2,5,6,1,1,"12",7,8,0,10,"No",8,5,3,1,8,15,0
"Female","Junior","Yes","big_city","Hispanic","Christian",7,27,3.4,3,4,3,1,"16",10,2.5,5,9,"No",9,7,5,0,9,0,40
"Female","Sophomore","No","suburbs","Black","Christian",7,27,2.5,5,5,3,3,"15",5,3,0,1,"No",0,5,5,0,9,10,0
"Female","Sophomore","No","suburbs","White","Christian",7,28,3.8,10,10,0,0,"18",3,8,0,0,"No",6,6,9,6,8,0,0
"Male","Sophomore","No","Medium_City","Asian","Atheist",0,29,2,1,2,2,0,"21",1,2.5,0,4,"No",7,4,4,7,2,0,60
"Male","Senior","No","big_city","Asian","Agnostic",2,26,3,1,2,0,0,"20",2,1,2,5,"No",2,2,9,5,8,10,0
"Female","Sophomore","Yes","suburbs","White","Christian",5,25,3.9,20,25,2,2,"15",2,8,5,5,"No",10,5,8,0,8,5,90
"Male","Sophomore","Yes","Small_Town","White","Christian",8,30,2.8,5,8,1,2,"16",4,5,8,1,"Yes",1,5,8,4,3,10,50
"Male","Sophomore","Yes","suburbs","White","Christian",2,27,3.3,25,50,6,1,"13",1,0.5,10,3,"No",1,5,3,8,2,0,50
"Female","Sophomore","No","Medium_City","Asian","Christian",8,26,3.1,6,10,1,1,"18",2,6,4,3,"No",6,10,8,5,10,35,20
"Female","Junior","No","suburbs","Asian","Christian",6,24,3.2,6,1,3,2,"16",2,1.5,2,4,"No",4,5,3,6,3,0,100
"Female","Sophomore","No","big_city","Hispanic","Christian",3,17,2.5,0,0,1,0,"14",10,8,0,0,"No",5,0,5,0,5,15,30
"Female","Sophomore","No","big_city","Hispanic","Atheist",0,22,3.2,16,25,0,0,"17",7,3,2,0,"No",7,7,8,7,9,0,0
"Male","Sophomore","No","Small_Town","Black","Christian",10,27,3.3,0,0,0,20,"15",1,3,9,3,"No",10,8,6,0,9,0,20
"Female","Sophomore","Yes","suburbs","White","Christian",7,25,3.7,24,20,3,1,"14",2,2.5,5,2,"No",5,5,5,4,7,0,100
"Male","Freshman","No","Small_Town","Asian","Atheist",1,33,4,0,0,0,1,"still_waiting",0,1,6,0,"No",2,2,5,5,5,0,100
"Female","Sophomore","No","big_city","White","Christian",2,25,3.7,2,6,0,0,"16",1,1,5,0,"No",0,8,6,8,9,0,50
"Male","Senior","No","suburbs","Mixed_Other","Atheist",0,32,2.3,10,15,2,1,"19",5,2,5,4,"No",3,4,4,8,7,0,100
"Male","Junior","No","big_city","Asian","Atheist",5,24,3,6,8,1,2,"16",2,4,5,5,"No",5,3,8,7,8,0,100
"Female","Junior","Yes","big_city","White","Christian",6,30,3.3,12,10,9,3,"14",10,2,3,0,"No",0,1,5,3,9,0,90
"Female","Freshman","No","big_city","Black","Christian",6,21,3.1,0,0,0,2,"9",2,1,5,0,"Yes",3,0,6,5,5,20,0
"Female","Sophomore","No","suburbs","Asian","Hindu",5,28,3,12,8,1,1,"16",7,8,0,0,"No",0,4,5,5,4,0,100
"Male","Junior","No","big_city","Hispanic","Other",3,27,3.2,4,6,1,1,"14",4,4,1,7,"No",0,3,6,6,6,0,10
"Female","Sophomore","Yes","suburbs","Asian","Christian",3,33,3.3,8,4,2,1,"13",7,1,5,0,"No",5,3,6,3,10,0,100
"Female","Sophomore","No","big_city","Hispanic","Christian",7,23,3.4,12,18,3,5,"15",3,2,0,1,"No",8,3,4,4,8,0,10
"Female","Freshman","No","suburbs","White","Agnostic",0,27,3.9,14,12,0,0,"16",9,2,2,0,"No",0,4,7,6,9,0,100
"Female","Sophomore","No","suburbs","White","Christian",6,29,3.5,5,4,1,1,"18",1,0.5,5,0,"No",4,5,5,3,9,0,100
"Male","Sophomore","Yes","big_city","Hispanic","Christian",6,22,2.9,4,0,1,1,"13",3,4,3,1,"No",9,2,6,3,10,35,100
"Female","Junior","No","suburbs","Asian","Christian",9,33,3.8,0,0,0,1,"16",2,4,5,8,"No",5,9,4,9,10,20,90
"Female","Sophomore","No","big_city","Asian","Christian",6,19,3.3,0,0,0,0,"19",1,5,3,9,"No",8,5,6,2,5,15,10
"Female","Junior","No","suburbs","White","Christian",2,28,3.4,4,4,3,1,"16",3,4,3,0,"No",0,2,7,8,2,0,0
"Female","Sophomore","No","Small_Town","White","Christian",9,23,3.8,0,0,0,2,"16",3,1,0,5,"No",9,10,8,5,8,20,100
"Male","Freshman","No","big_city","Asian","Other",8,31,4,2,0,0,0,"still_waiting",4,1,5,4,"No",8,8,3,5,10,0,100
"Female","Freshman","No","suburbs","White","Christian",8,29,3.7,10,15,0,0,"17",2,5,5,2,"No",5,8,7,8,9,20,80
"Female","Sophomore","No","big_city","Mixed_Other","Buddhist",4,23,3.2,8,4,0,0,"19",6,8,5,0,"No",0,5,2,5,4,0,20
"Female","Sophomore","No","suburbs","Asian","Christian",10,29,3.6,0,0,0,1,"3",7,2,2,3,"No",2,9,6,5,5,15,40
"Female","Sophomore","No","suburbs","White","Christian",6,27,3.6,8,10,0,1,"18",1,7,1,1,"No",9,4,5,3,5,10,100
"Female","Freshman","No","suburbs","Asian","Hindu",5,26,3.9,7,12,0,0,"17",12,3.5,5,0,"No",5,4,8,5,7,5,90
"Female","Freshman","No","suburbs","White","Christian",7,27,3.7,12,12,3,1,"16",7,3,7,7,"No",10,10,6,7,10,0,90
"Female","Freshman","Yes","suburbs","Mixed_Other","Christian",2,28,4,10,12,0,0,"16",2,5.5,7,1,"No",2,2,9,9,9,10,20
"Male","Junior","No","Small_Town","Asian","Buddhist",7,30,3.5,1,0,2,1,"16",2,2,0,0,"No",5,5,5,0,10,0,0
"Male","Sophomore","No","Medium_City","Asian","Atheist",0,32,3.4,6,3,5,8,"9",8,8,3,4,"Yes",3,4,7,7,2,25,20
"Female","Sophomore","No","big_city","Black","Christian",6,20,2.7,15,8,0,1,"17",5,8,5,5,"No",10,2,3,0,6,10,0
"Female","Sophomore","No","suburbs","White","Christian",1,26,2.9,20,35,4,1,"14",4,6,5,5,"No",0,5,8,7,7,0,50
"Female","Sophomore","No","suburbs","White","Christian",7,30,3.7,8,10,0,0,"18",4,0,3,8,"No",8,7,3,4,9,10,90
"Female","Sophomore","No","suburbs","Asian","Christian",8,27,3.7,3,0,0,0,"still_waiting",7,5,2,2,"No",5,5,8,5,10,0,100
"Female","Sophomore","No","big_city","Black","Christian",6,21,3.7,9,3,2,2,"14",4,8,5,2,"No",2,3,6,5,9,0,10
"Female","Freshman","No","suburbs","White","Christian",6,32,4,0,0,0,0,"15",5,1.5,2,0,"No",6,5,5,1,6,15,0
"Female","Sophomore","No","suburbs","Black","Christian",6,21,3,5,1,0,1,"16",1,1,6,0,"Yes",0,5,5,7,10,0,0
"Female","Senior","No","suburbs","White","Other",3,34,3.3,0,0,1,1,"19",3,0,5,0,"Yes",0,6,7,7,10,0,40
